treatment_name,player,most_aligned_count,most_aligned_share,treatment_total
VALIDATION_0_C,CHICKEN,23,0.71875,32
VALIDATION_0_C,RABBIT,7,0.21875,32
VALIDATION_0_C,SLOTH,1,0.03125,32
VALIDATION_0_C,GORILLA,1,0.03125,32
VALIDATION_0_T,MOOSE,23,0.71875,32
VALIDATION_0_T,RABBIT,8,0.25,32
VALIDATION_0_T,GORILLA,1,0.03125,32
VALIDATION_10_C,SLOTH,29,0.90625,32
VALIDATION_10_C,GORILLA,2,0.0625,32
VALIDATION_10_C,DUCK,1,0.03125,32
VALIDATION_10_T,GORILLA,29,0.90625,32
VALIDATION_10_T,SLOTH,3,0.09375,32
VALIDATION_11_C,CHICK,18,0.5625,32
VALIDATION_11_C,GORILLA,14,0.4375,32
VALIDATION_11_T,SLOTH,16,0.5,32
VALIDATION_11_T,CHICK,16,0.5,32
VALIDATION_12_C,GORILLA,32,1.0,32
VALIDATION_12_T,DOG,11,0.34375,32
VALIDATION_12_T,DUCK,9,0.28125,32
VALIDATION_12_T,SLOTH,8,0.25,32
VALIDATION_12_T,CHICKEN,2,0.0625,32
VALIDATION_12_T,PARROT,1,0.03125,32
VALIDATION_12_T,GORILLA,1,0.03125,32
VALIDATION_13_C,GORILLA,14,0.4375,32
VALIDATION_13_C,PARROT,8,0.25,32
VALIDATION_13_C,COW,5,0.15625,32
VALIDATION_13_C,PINGUIN,3,0.09375,32
VALIDATION_13_C,CROCODILE,1,0.03125,32
VALIDATION_13_C,CHICKEN,1,0.03125,32
VALIDATION_13_T,SNAKE,11,0.34375,32
VALIDATION_13_T,MONKEY,11,0.34375,32
VALIDATION_13_T,OWL,8,0.25,32
VALIDATION_13_T,CHICKEN,2,0.0625,32
VALIDATION_14_C,CHICKEN,20,0.625,32
VALIDATION_14_C,PARROT,9,0.28125,32
VALIDATION_14_C,SLOTH,2,0.0625,32
VALIDATION_14_C,DUCK,1,0.03125,32
VALIDATION_14_T,DUCK,24,0.75,32
VALIDATION_14_T,GORILLA,5,0.15625,32
VALIDATION_14_T,PARROT,3,0.09375,32
VALIDATION_15_C,COW,16,0.5,32
VALIDATION_15_C,SLOTH,15,0.46875,32
VALIDATION_15_C,MOOSE,1,0.03125,32
VALIDATION_15_T,GORILLA,13,0.40625,32
VALIDATION_15_T,CROCODILE,7,0.21875,32
VALIDATION_15_T,PARROT,5,0.15625,32
VALIDATION_15_T,SLOTH,4,0.125,32
VALIDATION_15_T,DUCK,2,0.0625,32
VALIDATION_15_T,DOG,1,0.03125,32
VALIDATION_16_C,CHICKEN,15,0.46875,32
VALIDATION_16_C,CHICK,12,0.375,32
VALIDATION_16_C,RABBIT,2,0.0625,32
VALIDATION_16_C,GORILLA,2,0.0625,32
VALIDATION_16_C,DUCK,1,0.03125,32
VALIDATION_16_T,CHICKEN,17,0.53125,32
VALIDATION_16_T,MOOSE,10,0.3125,32
VALIDATION_16_T,PARROT,3,0.09375,32
