model_name,score_family,metric,metric_label,score,stderr,num_treatments_x,noise_ceiling_mean,noise_ceiling_stderr,num_treatments_y,gap_to_noise_ceiling,ratio_to_noise_ceiling
gpt-5-mini demo-only,mean_wasserstein_distance,mean_round_normalized_efficiency,Mean eff,0.3226721585533291,0.028222531478922102,40,0.11420978116650542,0.011733043498248148,40,0.20846237738682366,2.825258530903831
gpt-5-mini twin,mean_wasserstein_distance,mean_round_normalized_efficiency,Mean eff,0.24422857684924434,0.02133352744234965,40,0.11420978116650542,0.011733043498248148,40,0.13001879568273894,2.1384208458747125
gpt-5-mini twin unadj,mean_wasserstein_distance,mean_round_normalized_efficiency,Mean eff,0.23164388205492664,0.022393767835878646,40,0.11420978116650542,0.011733043498248148,40,0.11743410088842123,2.0282315550295564
gpt-5.1 baseline,mean_wasserstein_distance,mean_round_normalized_efficiency,Mean eff,0.24658233271552846,0.02365903065214999,40,0.11420978116650542,0.011733043498248148,40,0.13237255154902305,2.159029902666903
gpt-5.1 demo-only,mean_wasserstein_distance,mean_round_normalized_efficiency,Mean eff,0.24541645761374747,0.023149881948270626,40,0.11420978116650542,0.011733043498248148,40,0.13120667644724204,2.14882171305413
gpt-5.1 twin,mean_wasserstein_distance,mean_round_normalized_efficiency,Mean eff,0.2058789883676722,0.016739257009641455,40,0.11420978116650542,0.011733043498248148,40,0.0916692072011668,1.8026388481344087
gpt-5.1 twin unadj,mean_wasserstein_distance,mean_round_normalized_efficiency,Mean eff,0.19880648044128602,0.018827017308731007,40,0.11420978116650542,0.011733043498248148,40,0.0845966992747806,1.7407132595013717
gpt-5-mini baseline,mean_wasserstein_distance,mean_total_contribution_rate,Mean contrib,0.29562363575373196,0.023744795380824406,40,0.06288863853825111,0.004139751376675106,40,0.23273499721548085,4.700747903358143
gpt-5-mini demo-only,mean_wasserstein_distance,mean_total_contribution_rate,Mean contrib,0.2550935731539184,0.024432808317159965,40,0.06288863853825111,0.004139751376675106,40,0.1922049346156673,4.056274377744104
gpt-5-mini twin,mean_wasserstein_distance,mean_total_contribution_rate,Mean contrib,0.1788054205854436,0.017822337637223278,40,0.06288863853825111,0.004139751376675106,40,0.1159167820471925,2.8432070520446677
gpt-5-mini twin unadj,mean_wasserstein_distance,mean_total_contribution_rate,Mean contrib,0.16587694869528927,0.019681738804586513,40,0.06288863853825111,0.004139751376675106,40,0.10298831015703816,2.6376298255271817
gpt-5.1 baseline,mean_wasserstein_distance,mean_total_contribution_rate,Mean contrib,0.18587488713795688,0.02061123303892934,40,0.06288863853825111,0.004139751376675106,40,0.12298624859970578,2.9556195118598594
gpt-5.1 demo-only,mean_wasserstein_distance,mean_total_contribution_rate,Mean contrib,0.18499375686002884,0.020057353995280226,40,0.06288863853825111,0.004139751376675106,40,0.12210511832177773,2.941608550605036
gpt-5.1 twin,mean_wasserstein_distance,mean_total_contribution_rate,Mean contrib,0.15281802440684994,0.012645557738069038,40,0.06288863853825111,0.004139751376675106,40,0.08992938586859883,2.429978259330588
gpt-5.1 twin unadj,mean_wasserstein_distance,mean_total_contribution_rate,Mean contrib,0.15113125748899697,0.012924993435125078,40,0.06288863853825111,0.004139751376675106,40,0.08824261895074587,2.4031567704725165
gpt-5-mini baseline,rmse_of_config_means,final_round_normalized_efficiency,Final-round eff,0.6340587057794794,0.041953034530675525,40,0.4271898738445386,0.14910491039723328,40,0.20686883193494082,1.4842549990082952
gpt-5-mini demo-only,rmse_of_config_means,final_round_normalized_efficiency,Final-round eff,0.5700163397697681,0.04091700887740256,40,0.4271898738445386,0.14910491039723328,40,0.14282646592522946,1.3343395400266589
gpt-5-mini twin,rmse_of_config_means,final_round_normalized_efficiency,Final-round eff,0.45563001345763576,0.036199132049918,40,0.4271898738445386,0.14910491039723328,40,0.02844013961309716,1.0665749385797636
gpt-5-mini twin unadj,rmse_of_config_means,final_round_normalized_efficiency,Final-round eff,0.4539965464429692,0.04115507111765696,40,0.4271898738445386,0.14910491039723328,40,0.026806672598430614,1.0627511892011419
gpt-5.1 baseline,rmse_of_config_means,final_round_normalized_efficiency,Final-round eff,0.5047466315497993,0.04299300208117743,40,0.4271898738445386,0.14910491039723328,40,0.07755675770526066,1.181551020878095
gpt-5.1 demo-only,rmse_of_config_means,final_round_normalized_efficiency,Final-round eff,0.5029289876876794,0.04416157029947112,40,0.4271898738445386,0.14910491039723328,40,0.07573911384314075,1.1772961357007807
gpt-5.1 twin,rmse_of_config_means,final_round_normalized_efficiency,Final-round eff,0.43515313152781676,0.038713866349726296,40,0.4271898738445386,0.14910491039723328,40,0.007963257683278158,1.018641026323054
gpt-5.1 twin unadj,rmse_of_config_means,final_round_normalized_efficiency,Final-round eff,0.4299658773381391,0.042339784994403905,40,0.4271898738445386,0.14910491039723328,40,0.0027760034936005207,1.0064982895512424
gpt-5-mini baseline,rmse_of_config_means,final_total_contribution_rate,Final-round contrib,0.5835857695224685,0.0312776224907879,40,0.0899828044856207,0.006097913679464722,40,0.49360296503684786,6.485525460764294
gpt-5-mini demo-only,rmse_of_config_means,final_total_contribution_rate,Final-round contrib,0.4853751498549293,0.03019395408813582,40,0.0899828044856207,0.006097913679464722,40,0.3953923453693086,5.39408782188482
gpt-5-mini twin,rmse_of_config_means,final_total_contribution_rate,Final-round contrib,0.36684633844153725,0.026700357146214694,40,0.0899828044856207,0.006097913679464722,40,0.27686353395591656,4.076849355147177
gpt-5-mini twin unadj,rmse_of_config_means,final_total_contribution_rate,Final-round contrib,0.3551547781846398,0.029560792815509513,40,0.0899828044856207,0.006097913679464722,40,0.2651719736990191,3.946918305279024
gpt-5.1 baseline,rmse_of_config_means,final_total_contribution_rate,Final-round contrib,0.45592590081527656,0.0373178842189854,40,0.0899828044856207,0.006097913679464722,40,0.3659430963296559,5.066811413820002
gpt-5.1 demo-only,rmse_of_config_means,final_total_contribution_rate,Final-round contrib,0.44059448143801266,0.03705438811198047,40,0.0899828044856207,0.006097913679464722,40,0.350611676952392,4.896429756292158
gpt-5.1 twin,rmse_of_config_means,final_total_contribution_rate,Final-round contrib,0.37271746307691406,0.030562496921435756,40,0.0899828044856207,0.006097913679464722,40,0.2827346585912934,4.142096539528
gpt-5.1 twin unadj,rmse_of_config_means,final_total_contribution_rate,Final-round contrib,0.35210617451725584,0.031888318223435234,40,0.0899828044856207,0.006097913679464722,40,0.26212337003163516,3.9130384580703153
gpt-5-mini baseline,rmse_of_config_means,first_round_normalized_efficiency,First-round eff,0.15059031003690213,0.013805841006701482,40,0.0773826146361513,0.005509619640343571,40,0.07320769540075082,1.946048356532915
gpt-5-mini demo-only,rmse_of_config_means,first_round_normalized_efficiency,First-round eff,0.13861070261837075,0.01585645855010155,40,0.0773826146361513,0.005509619640343571,40,0.061228087982219445,1.7912382938998697
gpt-5-mini twin,rmse_of_config_means,first_round_normalized_efficiency,First-round eff,0.09743694828165919,0.011744822852989474,40,0.0773826146361513,0.005509619640343571,40,0.02005433364550789,1.2591581292490857
gpt-5-mini twin unadj,rmse_of_config_means,first_round_normalized_efficiency,First-round eff,0.09996374036736445,0.009314322422643882,40,0.0773826146361513,0.005509619640343571,40,0.022581125731213153,1.2918113563025537
gpt-5.1 baseline,rmse_of_config_means,first_round_normalized_efficiency,First-round eff,0.18690015098603552,0.01295670586832359,40,0.0773826146361513,0.005509619640343571,40,0.10951753634988422,2.4152731445535864
gpt-5.1 demo-only,rmse_of_config_means,first_round_normalized_efficiency,First-round eff,0.14587061470016108,0.010638421490478351,40,0.0773826146361513,0.005509619640343571,40,0.06848800006400978,1.8850566808324647
gpt-5.1 twin,rmse_of_config_means,first_round_normalized_efficiency,First-round eff,0.1311155132579005,0.013983236027000464,40,0.0773826146361513,0.005509619640343571,40,0.053732898621749195,1.69437946590973
gpt-5.1 twin unadj,rmse_of_config_means,first_round_normalized_efficiency,First-round eff,0.12827079515218198,0.012274232889683373,40,0.0773826146361513,0.005509619640343571,40,0.05088818051603068,1.6576177447002023
gpt-5-mini baseline,rmse_of_config_means,first_round_total_contribution_rate,First-round contrib,0.14275544501665025,0.010093269102223152,40,0.06488316782894103,0.0042819301061502515,40,0.07787227718770921,2.200192280885743
gpt-5-mini demo-only,rmse_of_config_means,first_round_total_contribution_rate,First-round contrib,0.12443803817823633,0.01066139779443852,40,0.06488316782894103,0.0042819301061502515,40,0.0595548703492953,1.9178785861119891
gpt-5-mini twin,rmse_of_config_means,first_round_total_contribution_rate,First-round contrib,0.0656619474438071,0.006510493930415017,40,0.06488316782894103,0.0042819301061502515,40,0.0007787796148660681,1.012002798891066
gpt-5-mini twin unadj,rmse_of_config_means,first_round_total_contribution_rate,First-round contrib,0.0777507626457271,0.009188814661502908,40,0.06488316782894103,0.0042819301061502515,40,0.012867594816786065,1.1983194601519824
gpt-5.1 baseline,rmse_of_config_means,first_round_total_contribution_rate,First-round contrib,0.18241878710681908,0.014496258252902797,40,0.06488316782894103,0.0042819301061502515,40,0.11753561927787805,2.8114963126916175
gpt-5.1 demo-only,rmse_of_config_means,first_round_total_contribution_rate,First-round contrib,0.1425014026837921,0.012996753357531874,40,0.06488316782894103,0.0042819301061502515,40,0.07761823485485107,2.196276899726674
gpt-5.1 twin,rmse_of_config_means,first_round_total_contribution_rate,First-round contrib,0.10724094262002806,0.012073235084696392,40,0.06488316782894103,0.0042819301061502515,40,0.04235777479108703,1.6528314847813799
gpt-5.1 twin unadj,rmse_of_config_means,first_round_total_contribution_rate,First-round contrib,0.1127058367480418,0.011848031771927676,40,0.06488316782894103,0.0042819301061502515,40,0.047822668919100766,1.7370581696192944
gpt-5-mini baseline,rmse_of_config_means,mean_round_normalized_efficiency,Mean eff,0.3775503096973168,0.030159972399793563,40,0.12962728874642232,0.014785179935581353,40,0.24792302095089447,2.9125835566605343
gpt-5-mini demo-only,rmse_of_config_means,mean_round_normalized_efficiency,Mean eff,0.34557910063526354,0.03258492203262162,40,0.12962728874642232,0.014785179935581353,40,0.21595181188884122,2.665944061449032
gpt-5-mini twin,rmse_of_config_means,mean_round_normalized_efficiency,Mean eff,0.25372166466052576,0.023098978307874656,40,0.12962728874642232,0.014785179935581353,40,0.12409437591410344,1.9573167587949603
gpt-5-mini twin unadj,rmse_of_config_means,mean_round_normalized_efficiency,Mean eff,0.2451848796637253,0.029127416468171134,40,0.12962728874642232,0.014785179935581353,40,0.11555759091730297,1.8914603709976332
gpt-5.1 baseline,rmse_of_config_means,mean_round_normalized_efficiency,Mean eff,0.2523524648111146,0.030411987620355324,40,0.12962728874642232,0.014785179935581353,40,0.1227251760646923,1.9467541692148482
gpt-5.1 demo-only,rmse_of_config_means,mean_round_normalized_efficiency,Mean eff,0.24853781976768113,0.029171746756792898,40,0.12962728874642232,0.014785179935581353,40,0.11891053102125881,1.9173263760370112
gpt-5.1 twin,rmse_of_config_means,mean_round_normalized_efficiency,Mean eff,0.19475111159198472,0.020896226376127053,40,0.12962728874642232,0.014785179935581353,40,0.0651238228455624,1.5023928485687763
gpt-5.1 twin unadj,rmse_of_config_means,mean_round_normalized_efficiency,Mean eff,0.19188307352456208,0.023643218260164748,40,0.12962728874642232,0.014785179935581353,40,0.062255784778139756,1.4802675839338497
gpt-5-mini baseline,rmse_of_config_means,mean_total_contribution_rate,Mean contrib,0.3259441931301217,0.02546153443461145,40,0.06797262766196324,0.004939491256470482,40,0.25797156546815847,4.795227201618345
gpt-5-mini demo-only,rmse_of_config_means,mean_total_contribution_rate,Mean contrib,0.2916516969126174,0.028017831917241193,40,0.06797262766196324,0.004939491256470482,40,0.22367906925065414,4.290722706249336
gpt-5-mini twin,rmse_of_config_means,mean_total_contribution_rate,Mean contrib,0.20380252825187262,0.02149056282504585,40,0.06797262766196324,0.004939491256470482,40,0.13582990058990937,2.998302923721137
gpt-5-mini twin unadj,rmse_of_config_means,mean_total_contribution_rate,Mean contrib,0.19926719229566234,0.025515967852845284,40,0.06797262766196324,0.004939491256470482,40,0.1312945646336991,2.9315799484263594
gpt-5.1 baseline,rmse_of_config_means,mean_total_contribution_rate,Mean contrib,0.21066383068710176,0.024858792292393454,40,0.06797262766196324,0.004939491256470482,40,0.14269120302513852,3.099245062803229
gpt-5.1 demo-only,rmse_of_config_means,mean_total_contribution_rate,Mean contrib,0.2095260151066779,0.024556779424777957,40,0.06797262766196324,0.004939491256470482,40,0.14155338744471466,3.0825057425862386
gpt-5.1 twin,rmse_of_config_means,mean_total_contribution_rate,Mean contrib,0.15299473028404562,0.01673358197759317,40,0.06797262766196324,0.004939491256470482,40,0.08502210262208237,2.250828540054511
gpt-5.1 twin unadj,rmse_of_config_means,mean_total_contribution_rate,Mean contrib,0.15971669854450704,0.015802202685072767,40,0.06797262766196324,0.004939491256470482,40,0.0917440708825438,2.3497208220167543
