score_family,metric,run,score,stderr,noise_ceiling_mean,noise_ceiling_stderr,gap_to_noise_ceiling,ratio_to_noise_ceiling
rmse_of_config_means,Mean contrib,gpt-5.1 baseline,0.2042,0.0246,0.0684,0.0051,0.1358,2.9865
mean_wasserstein_distance,Mean contrib,gpt-5.1 baseline,0.1817,0.0198,0.0626,0.0042,0.1191,2.9021
rmse_of_config_means,First-round contrib,gpt-5.1 baseline,0.1741,0.0131,0.0652,0.0044,0.1089,2.6685
mean_wasserstein_distance,First-round contrib,gpt-5.1 baseline,0.1629,0.0131,0.0606,0.0039,0.1024,2.6902
rmse_of_config_means,Final-round contrib,gpt-5.1 baseline,0.4573,0.0373,0.0907,0.0062,0.3666,5.0392
mean_wasserstein_distance,Final-round contrib,gpt-5.1 baseline,0.3959,0.039,0.0807,0.0055,0.3152,4.9062
rmse_of_config_means,Mean eff,gpt-5.1 baseline,0.2466,0.0304,0.1307,0.0151,0.1159,1.8867
mean_wasserstein_distance,Mean eff,gpt-5.1 baseline,0.2421,0.0233,0.1137,0.0118,0.1284,2.1293
rmse_of_config_means,First-round eff,gpt-5.1 baseline,0.1809,0.0129,0.078,0.0058,0.103,2.3207
mean_wasserstein_distance,First-round eff,gpt-5.1 baseline,0.1769,0.0123,0.0727,0.0049,0.1042,2.4326
rmse_of_config_means,Final-round eff,gpt-5.1 baseline,0.5055,0.0429,0.4269,0.1488,0.0787,1.1843
mean_wasserstein_distance,Final-round eff,gpt-5.1 baseline,0.5259,0.0626,0.2349,0.0484,0.2911,2.2393
rmse_of_config_means,Mean contrib,gpt-5.1 twin,0.154,0.0166,0.0684,0.0051,0.0857,2.2534
mean_wasserstein_distance,Mean contrib,gpt-5.1 twin,0.1535,0.0126,0.0626,0.0042,0.0909,2.4517
rmse_of_config_means,First-round contrib,gpt-5.1 twin,0.1072,0.0121,0.0652,0.0044,0.042,1.6433
mean_wasserstein_distance,First-round contrib,gpt-5.1 twin,0.108,0.0092,0.0606,0.0039,0.0474,1.7831
rmse_of_config_means,Final-round contrib,gpt-5.1 twin,0.3757,0.0302,0.0907,0.0062,0.2849,4.1396
mean_wasserstein_distance,Final-round contrib,gpt-5.1 twin,0.3343,0.0304,0.0807,0.0055,0.2536,4.1426
rmse_of_config_means,Mean eff,gpt-5.1 twin,0.1949,0.021,0.1307,0.0151,0.0642,1.491
mean_wasserstein_distance,Mean eff,gpt-5.1 twin,0.2043,0.0171,0.1137,0.0118,0.0906,1.7966
rmse_of_config_means,First-round eff,gpt-5.1 twin,0.1323,0.0138,0.078,0.0058,0.0543,1.6963
mean_wasserstein_distance,First-round eff,gpt-5.1 twin,0.1313,0.0105,0.0727,0.0049,0.0585,1.8049
rmse_of_config_means,Final-round eff,gpt-5.1 twin,0.4368,0.0385,0.4269,0.1488,0.0099,1.0232
mean_wasserstein_distance,Final-round eff,gpt-5.1 twin,0.461,0.0584,0.2349,0.0484,0.2262,1.9631
rmse_of_config_means,Mean contrib,gpt-5-mini baseline,0.3253,0.0256,0.0684,0.0051,0.2569,4.7583
mean_wasserstein_distance,Mean contrib,gpt-5-mini baseline,0.294,0.0239,0.0626,0.0042,0.2314,4.6955
rmse_of_config_means,First-round contrib,gpt-5-mini baseline,0.1423,0.0101,0.0652,0.0044,0.077,2.1807
mean_wasserstein_distance,First-round contrib,gpt-5-mini baseline,0.1361,0.0095,0.0606,0.0039,0.0755,2.2464
rmse_of_config_means,Final-round contrib,gpt-5-mini baseline,0.5827,0.0314,0.0907,0.0062,0.4919,6.421
mean_wasserstein_distance,Final-round contrib,gpt-5-mini baseline,0.5375,0.0366,0.0807,0.0055,0.4568,6.66
rmse_of_config_means,Mean eff,gpt-5-mini baseline,0.3772,0.0303,0.1307,0.0151,0.2464,2.8851
mean_wasserstein_distance,Mean eff,gpt-5-mini baseline,0.3539,0.0281,0.1137,0.0118,0.2402,3.1131
rmse_of_config_means,First-round eff,gpt-5-mini baseline,0.1488,0.0129,0.078,0.0058,0.0709,1.909
mean_wasserstein_distance,First-round eff,gpt-5-mini baseline,0.1415,0.0113,0.0727,0.0049,0.0687,1.9447
rmse_of_config_means,Final-round eff,gpt-5-mini baseline,0.6332,0.0421,0.4269,0.1488,0.2064,1.4835
mean_wasserstein_distance,Final-round eff,gpt-5-mini baseline,0.662,0.0619,0.2349,0.0484,0.4271,2.8185
rmse_of_config_means,Mean contrib,gpt-5-mini twin,0.2036,0.0215,0.0684,0.0051,0.1352,2.9779
mean_wasserstein_distance,Mean contrib,gpt-5-mini twin,0.1786,0.0178,0.0626,0.0042,0.116,2.8521
rmse_of_config_means,First-round contrib,gpt-5-mini twin,0.0662,0.0065,0.0652,0.0044,0.001,1.0152
mean_wasserstein_distance,First-round contrib,gpt-5-mini twin,0.0722,0.0058,0.0606,0.0039,0.0117,1.1926
rmse_of_config_means,Final-round contrib,gpt-5-mini twin,0.368,0.0271,0.0907,0.0062,0.2773,4.0555
mean_wasserstein_distance,Final-round contrib,gpt-5-mini twin,0.3265,0.0279,0.0807,0.0055,0.2458,4.0456
rmse_of_config_means,Mean eff,gpt-5-mini twin,0.2534,0.0231,0.1307,0.0151,0.1227,1.9386
mean_wasserstein_distance,Mean eff,gpt-5-mini twin,0.2436,0.0214,0.1137,0.0118,0.1299,2.1428
rmse_of_config_means,First-round eff,gpt-5-mini twin,0.097,0.0115,0.078,0.0058,0.019,1.2443
mean_wasserstein_distance,First-round eff,gpt-5-mini twin,0.0994,0.0089,0.0727,0.0049,0.0267,1.3666
rmse_of_config_means,Final-round eff,gpt-5-mini twin,0.4567,0.0363,0.4269,0.1488,0.0298,1.0698
mean_wasserstein_distance,Final-round eff,gpt-5-mini twin,0.4712,0.0552,0.2349,0.0484,0.2364,2.0064
