fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,elastic_net,800,200,262,65,ok,0.9270811676979065,0.8921861052513123,0.9446331858634949,0.05244707688689232,0.025,0.045,9.158090688288212e-05,5.9401
1,mlp,800,200,262,65,ok,0.8296355605125427,0.8908001184463501,0.9446331858634949,0.05383312329649925,0.0,0.03,0.0002507099125068635,247.8001
2,elastic_net,800,200,262,65,ok,0.9306234121322632,0.8981738090515137,0.9450035691261292,0.046829838305711746,0.01,0.06,8.720559708308429e-05,5.0524
2,mlp,800,200,262,65,ok,0.8393313884735107,0.8941633701324463,0.9450035691261292,0.050840262323617935,0.005,0.025,0.0002259806205984205,245.2777
3,elastic_net,800,200,262,65,ok,0.9271196126937866,0.8955029845237732,0.9420643448829651,0.046561356633901596,0.035,0.065,9.150945697911084e-05,5.4485
3,mlp,800,200,262,65,ok,0.8354871869087219,0.8904054760932922,0.9420643448829651,0.05165883153676987,0.02,0.055,0.00022599172370973974,210.3365
4,elastic_net,800,200,261,66,ok,0.9265971183776855,0.8898252248764038,0.9424307346343994,0.05260545760393143,0.01,0.055,9.212941949954256e-05,5.9613
4,mlp,800,200,261,66,ok,0.8281688094139099,0.8826339840888977,0.9424307346343994,0.05979664623737335,0.0,0.025,0.00025058872415684164,230.044
5,elastic_net,800,200,261,66,ok,0.928892195224762,0.8944105505943298,0.9456439018249512,0.051233433187007904,0.0,0.025,8.933472417993471e-05,3.8159
5,mlp,800,200,261,66,ok,0.8394903540611267,0.889014720916748,0.9456439018249512,0.05662919580936432,0.005,0.025,0.0002163504104828462,234.275
