factor,direction,split,style_source,eval_granularity,model,k_clusters,baseline_r2,augmented_r2,delta_r2,baseline_rmse,augmented_rmse,delta_rmse,baseline_mae,augmented_mae,delta_mae,n_train_eval_rows,n_val_eval_rows,style_map_val_rmse,style_map_val_mae,win_r2,win_rmse,win_mae,win_r2_rmse,win_all
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,game,ridge,16,-0.2765850328198154,-0.1140442037677138,0.1625408290521015,0.2984567372100869,0.2788096006944269,-0.0196471365156599,0.2383265343709062,0.2139687541942771,-0.0243577801766291,104,102,0.0,0.0,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,game,linear,16,-0.3308678516741214,-0.155153961242505,0.1757138904316164,0.3047361524696312,0.2839072274916662,-0.0208289249779649,0.2430958919666387,0.2204445947526614,-0.0226512972139772,104,102,0.0,0.0,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,config_treatment,ridge,16,-2.289593657680525,-0.9412039548186,1.3483897028619252,0.2000631248250011,0.153685007885401,-0.0463781169396001,0.156430751292521,0.1265640310870373,-0.0298667202054837,100,18,0.0,0.0,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,config_treatment,linear,16,-2.74711619402505,-1.1275782559987175,1.6195379380263324,0.2135229201111828,0.1608935712702292,-0.0526293488409536,0.1681209578006016,0.1338893937754191,-0.0342315640251825,100,18,0.0,0.0,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,game,ridge,16,-0.2765850328198154,-0.2181161385761953,0.05846889424362,0.2984567372100869,0.2915418204570043,-0.0069149167530826,0.2383265343709062,0.2336173430928109,-0.0047091912780952,104,102,0.1444571915578008,0.0768452136888048,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,game,linear,16,-0.3308678516741214,-0.321013795175006,0.0098540564991154,0.3047361524696312,0.3036058875625247,-0.0011302649071064,0.2430958919666387,0.2435988525223947,0.0005029605557559,104,102,0.1444571915578008,0.0768452136888048,True,True,False,True,False
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,config_treatment,ridge,12,-2.289593657680525,-1.8184035248126424,0.4711901328678829,0.2000631248250011,0.1851814612194976,-0.0148816636055034,0.156430751292521,0.1554643166106301,-0.0009664346818908,100,18,0.1581054409292424,0.0870340646535501,True,True,True,True,True
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,config_treatment,linear,4,-2.74711619402505,-2.477581784700357,0.2695344093246929,0.2135229201111828,0.2057001442337844,-0.0078227758773983,0.1681209578006016,0.1608689685164483,-0.0072519892841533,100,18,0.2473185252931516,0.1756062818031912,True,True,True,True,True
all_or_nothing,true_to_false,all_or_nothing/true_to_false,oracle,game,ridge,4,-0.0307829043181051,-0.0066745594279704,0.0241083448901346,0.2632814626811559,0.2601843828343681,-0.0030970798467878,0.1891863871558311,0.1882496776213686,-0.0009367095344624,110,147,0.0,0.0,True,True,True,True,True
all_or_nothing,true_to_false,all_or_nothing/true_to_false,oracle,game,linear,4,-0.0750661831658607,-0.0408378637671431,0.0342283193987176,0.2688773870713292,0.2645624598058487,-0.0043149272654804,0.1935316863308323,0.1911521615737657,-0.0023795247570666,110,147,0.0,0.0,True,True,True,True,True
all_or_nothing,true_to_false,all_or_nothing/true_to_false,oracle,config_treatment,ridge,6,-0.1111207563884213,-0.006440362811668,0.1046803935767533,0.1471472888205001,0.1400443709668897,-0.0071029178536103,0.1171444128955621,0.1092284487557522,-0.0079159641398098,106,22,0.0,0.0,True,True,True,True,True
all_or_nothing,true_to_false,all_or_nothing/true_to_false,oracle,config_treatment,linear,10,-0.2677470834136504,-0.1504632560809367,0.1172838273327137,0.15717661969724,0.1497297193905904,-0.0074469003066496,0.1262416280661313,0.1087170981247866,-0.0175245299413446,106,22,0.0,0.0,True,True,True,True,True
all_or_nothing,true_to_false,all_or_nothing/true_to_false,synthetic,game,ridge,4,-0.0307829043181051,-0.0025686683624022,0.0282142359557029,0.2632814626811559,0.2596532378636874,-0.0036282248174685,0.1891863871558311,0.1864762917745196,-0.0027100953813114,110,147,0.2569660385726146,0.1876334899296906,True,True,True,True,True
all_or_nothing,true_to_false,all_or_nothing/true_to_false,synthetic,game,linear,4,-0.0750661831658607,-0.0485401235593081,0.0265260596065526,0.2688773870713292,0.2655395441934987,-0.0033378428778305,0.1935316863308323,0.1906740806287081,-0.0028576057021241,110,147,0.2569660385726146,0.1876334899296906,True,True,True,True,True
all_or_nothing,true_to_false,all_or_nothing/true_to_false,synthetic,config_treatment,ridge,4,-0.1111207563884213,-0.0312048179511679,0.0799159384372534,0.1471472888205001,0.1417568653349485,-0.0053904234855516,0.1171444128955621,0.1131968498031532,-0.0039475630924088,106,22,0.2569660385726146,0.1876334899296906,True,True,True,True,True
all_or_nothing,true_to_false,all_or_nothing/true_to_false,synthetic,config_treatment,linear,4,-0.2677470834136504,-0.1629853623199315,0.1047617210937188,0.15717661969724,0.1505423733992502,-0.0066342462979898,0.1262416280661313,0.1223980592519669,-0.0038435688141643,106,22,0.2569660385726146,0.1876334899296906,True,True,True,True,True
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,oracle,game,ridge,6,-0.111963451302117,-0.0766841730188154,0.0352792782833015,0.2859185430849513,0.2813463143981977,-0.0045722286867536,0.2240683084797504,0.2098305922815578,-0.0142377161981925,110,109,0.0,0.0,True,True,True,True,True
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,oracle,game,linear,6,-0.1100276895030729,-0.0853122255356828,0.0247154639673901,0.2856695640021576,0.2824713550862052,-0.0031982089159524,0.2240813837427984,0.2111334714130248,-0.0129479123297736,110,109,0.0,0.0,True,True,True,True,True
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,oracle,config_treatment,ridge,6,-1.9296806084122256,-1.9660450948560837,-0.0363644864438579,0.1478064702796704,0.1487209607807627,0.0009144905010922,0.1221301734444402,0.1163099590113719,-0.0058202144330683,102,16,0.0,0.0,False,False,True,False,False
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,oracle,config_treatment,linear,6,-2.043254552129672,-2.158647222559672,-0.1153926704299999,0.1506442112257989,0.1534736668534647,0.0028294556276658,0.1217426718101692,0.1172245166391932,-0.0045181551709759,102,16,0.0,0.0,False,False,True,False,False
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,synthetic,game,ridge,4,-0.111963451302117,-0.102442700654322,0.009520750647795,0.2859185430849513,0.2846918790766493,-0.0012266640083019,0.2240683084797504,0.2232111684067244,-0.0008571400730259,110,109,0.283347490496875,0.2098163713072999,True,True,True,True,True
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,synthetic,game,linear,4,-0.1100276895030729,-0.0981432369414943,0.0118844525615786,0.2856695640021576,0.2841361957110203,-0.0015333682911373,0.2240813837427984,0.2225700951455106,-0.0015112885972878,110,109,0.283347490496875,0.2098163713072999,True,True,True,True,True
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,synthetic,config_treatment,ridge,4,-1.9296806084122256,-1.9064770952023604,0.0232035132098653,0.1478064702796704,0.1472199819100052,-0.0005864883696652,0.1221301734444402,0.119523613382585,-0.0026065600618552,102,16,0.283347490496875,0.2098163713072999,True,True,True,True,True
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,synthetic,config_treatment,linear,4,-2.043254552129672,-2.024603793401818,0.0186507587278539,0.1506442112257989,0.1501818859793643,-0.0004623252464346,0.1217426718101692,0.119750711687034,-0.0019919601231351,102,16,0.283347490496875,0.2098163713072999,True,True,True,True,True
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,oracle,game,ridge,8,-0.1767355629250504,0.212046807232399,0.3887823701574494,0.2755681287788785,0.2254964751683537,-0.0500716536105247,0.1945219196408301,0.1586994293475853,-0.0358224902932448,104,140,0.0,0.0,True,True,True,True,True
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,oracle,game,linear,8,-0.2865094913942416,0.1121850207036115,0.3986945120978532,0.2881350195919177,0.2393595622452075,-0.0487754573467101,0.2029173396539058,0.1650711341919741,-0.0378462054619317,104,140,0.0,0.0,True,True,True,True,True
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,oracle,config_treatment,ridge,8,-0.4805114100640115,0.1254667247050396,0.6059781347690512,0.1781108633136406,0.1368903073732243,-0.0412205559404162,0.1401303619289715,0.1097161781511317,-0.0304141837778398,104,24,0.0,0.0,True,True,True,True,True
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,oracle,config_treatment,linear,8,-0.642326286449036,0.0555708456720439,0.69789713212108,0.1875919731031489,0.1422555509232603,-0.0453364221798886,0.1488135414272726,0.1146697359763563,-0.0341438054509162,104,24,0.0,0.0,True,True,True,True,True
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,synthetic,game,ridge,16,-0.1767355629250504,0.0557192661711305,0.2324548290961809,0.2755681287788785,0.2468539678098135,-0.028714160969065,0.1945219196408301,0.1807319099371683,-0.0137900097036618,104,140,0.1567167623449156,0.0795370862491117,True,True,True,True,True
