factor,direction,split,style_source,eval_granularity,model,k_clusters,baseline_r2,augmented_r2,delta_r2,baseline_rmse,augmented_rmse,delta_rmse,baseline_mae,augmented_mae,delta_mae,n_train_eval_rows,n_val_eval_rows,style_map_val_rmse,style_map_val_mae
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,game,ridge,16,-0.2765850328198154,-0.11404420376771385,0.16254082905210154,0.2984567372100869,0.27880960069442695,-0.01964713651565997,0.23832653437090623,0.2139687541942771,-0.024357780176629124,104,102,0.0,0.0
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,game,linear,16,-0.33086785167412147,-0.15515396124250502,0.17571389043161645,0.3047361524696312,0.28390722749166625,-0.020828924977964958,0.2430958919666387,0.22044459475266148,-0.022651297213977212,104,102,0.0,0.0
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,config_treatment,ridge,16,-2.289593657680525,-0.9412039548186,1.3483897028619252,0.2000631248250011,0.153685007885401,-0.04637811693960012,0.15643075129252107,0.12656403108703734,-0.029866720205483727,100,18,0.0,0.0
all_or_nothing,false_to_true,all_or_nothing/false_to_true,oracle,config_treatment,linear,16,-2.74711619402505,-1.1275782559987175,1.6195379380263324,0.21352292011118282,0.1608935712702292,-0.052629348840953605,0.16812095780060166,0.1338893937754191,-0.03423156402518254,100,18,0.0,0.0
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,game,ridge,16,-0.2765850328198154,-0.21811613857619538,0.05846889424362001,0.2984567372100869,0.2915418204570043,-0.006914916753082645,0.23832653437090623,0.23361734309281096,-0.0047091912780952705,104,102,0.14445719155780087,0.07684521368880487
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,game,linear,16,-0.33086785167412147,-0.32101379517500606,0.009854056499115416,0.3047361524696312,0.30360588756252477,-0.0011302649071064375,0.2430958919666387,0.2435988525223947,0.0005029605557559935,104,102,0.14445719155780087,0.07684521368880487
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,config_treatment,ridge,12,-2.289593657680525,-1.8184035248126422,0.4711901328678829,0.2000631248250011,0.1851814612194976,-0.014881663605503498,0.15643075129252107,0.15546431661063018,-0.0009664346818908931,100,18,0.15810544092924247,0.08703406465355017
all_or_nothing,false_to_true,all_or_nothing/false_to_true,synthetic,config_treatment,linear,4,-2.74711619402505,-2.477581784700357,0.26953440932469297,0.21352292011118282,0.20570014423378447,-0.007822775877398352,0.16812095780060166,0.1608689685164483,-0.007251989284153354,100,18,0.24731852529315163,0.1756062818031912
all_or_nothing,true_to_false,all_or_nothing/true_to_false,oracle,game,ridge,4,-0.030782904318105153,-0.006674559427970461,0.024108344890134692,0.26328146268115593,0.2601843828343681,-0.003097079846787809,0.1891863871558311,0.18824967762136868,-0.0009367095344624266,110,147,0.0,0.0
all_or_nothing,true_to_false,all_or_nothing/true_to_false,oracle,game,linear,4,-0.07506618316586078,-0.04083786376714316,0.03422831939871762,0.2688773870713292,0.2645624598058487,-0.004314927265480495,0.19353168633083231,0.1911521615737657,-0.0023795247570666256,110,147,0.0,0.0
all_or_nothing,true_to_false,all_or_nothing/true_to_false,oracle,config_treatment,ridge,6,-0.11112075638842134,-0.006440362811668043,0.1046803935767533,0.14714728882050013,0.14004437096688976,-0.007102917853610363,0.11714441289556211,0.10922844875575223,-0.007915964139809883,106,22,0.0,0.0
all_or_nothing,true_to_false,all_or_nothing/true_to_false,oracle,config_treatment,linear,10,-0.2677470834136504,-0.1504632560809367,0.1172838273327137,0.15717661969724006,0.14972971939059046,-0.007446900306649601,0.1262416280661313,0.10871709812478665,-0.017524529941344638,106,22,0.0,0.0
all_or_nothing,true_to_false,all_or_nothing/true_to_false,synthetic,game,ridge,4,-0.030782904318105153,-0.0025686683624022155,0.028214235955702938,0.26328146268115593,0.2596532378636874,-0.0036282248174685505,0.1891863871558311,0.18647629177451963,-0.002710095381311478,110,147,0.2569660385726146,0.18763348992969067
all_or_nothing,true_to_false,all_or_nothing/true_to_false,synthetic,game,linear,4,-0.07506618316586078,-0.048540123559308146,0.026526059606552632,0.2688773870713292,0.2655395441934987,-0.0033378428778305103,0.19353168633083231,0.19067408062870816,-0.0028576057021241497,110,147,0.2569660385726146,0.18763348992969067
all_or_nothing,true_to_false,all_or_nothing/true_to_false,synthetic,config_treatment,ridge,4,-0.11112075638842134,-0.031204817951167918,0.07991593843725342,0.14714728882050013,0.14175686533494852,-0.005390423485551604,0.11714441289556211,0.11319684980315325,-0.0039475630924088595,106,22,0.2569660385726146,0.18763348992969067
all_or_nothing,true_to_false,all_or_nothing/true_to_false,synthetic,config_treatment,linear,4,-0.2677470834136504,-0.16298536231993155,0.10476172109371884,0.15717661969724006,0.15054237339925022,-0.0066342462979898376,0.1262416280661313,0.12239805925196694,-0.0038435688141643526,106,22,0.2569660385726146,0.18763348992969067
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,oracle,game,ridge,6,-0.11196345130211705,-0.07668417301881547,0.035279278283301574,0.2859185430849513,0.2813463143981977,-0.00457222868675361,0.2240683084797504,0.20983059228155782,-0.014237716198192585,110,109,0.0,0.0
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,oracle,game,linear,6,-0.11002768950307296,-0.08531222553568285,0.024715463967390106,0.28566956400215765,0.2824713550862052,-0.0031982089159524607,0.22408138374279843,0.2111334714130248,-0.012947912329773631,110,109,0.0,0.0
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,oracle,config_treatment,ridge,6,-1.9296806084122258,-1.9660450948560837,-0.036364486443857924,0.14780647027967045,0.14872096078076272,0.0009144905010922688,0.12213017344444028,0.11630995901137192,-0.005820214433068363,102,16,0.0,0.0
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,oracle,config_treatment,linear,6,-2.043254552129672,-2.158647222559672,-0.1153926704299999,0.15064421122579894,0.15347366685346478,0.0028294556276658445,0.1217426718101692,0.11722451663919321,-0.004518155170975993,102,16,0.0,0.0
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,synthetic,game,ridge,4,-0.11196345130211705,-0.10244270065432204,0.009520750647795007,0.2859185430849513,0.28469187907664933,-0.0012266640083019587,0.2240683084797504,0.22321116840672448,-0.0008571400730259249,110,109,0.283347490496875,0.2098163713072999
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,synthetic,game,linear,4,-0.11002768950307296,-0.0981432369414943,0.011884452561578662,0.28566956400215765,0.2841361957110203,-0.0015333682911373714,0.22408138374279843,0.22257009514551063,-0.001511288597287802,110,109,0.283347490496875,0.2098163713072999
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,synthetic,config_treatment,ridge,4,-1.9296806084122258,-1.9064770952023604,0.023203513209865356,0.14780647027967045,0.14721998191000524,-0.0005864883696652112,0.12213017344444028,0.11952361338258505,-0.002606560061855237,102,16,0.283347490496875,0.2098163713072999
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,synthetic,config_treatment,linear,4,-2.043254552129672,-2.024603793401818,0.018650758727853933,0.15064421122579894,0.15018188597936433,-0.00046232524643460837,0.1217426718101692,0.11975071168703405,-0.001991960123135156,102,16,0.283347490496875,0.2098163713072999
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,oracle,game,ridge,8,-0.17673556292505044,0.212046807232399,0.38878237015744943,0.27556812877887854,0.22549647516835378,-0.05007165361052476,0.19452191964083018,0.15869942934758535,-0.03582249029324483,104,140,0.0,0.0
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,oracle,game,linear,8,-0.28650949139424164,0.11218502070361158,0.3986945120978532,0.28813501959191773,0.23935956224520755,-0.04877545734671018,0.20291733965390588,0.1650711341919741,-0.037846205461931764,104,140,0.0,0.0
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,oracle,config_treatment,ridge,8,-0.48051141006401155,0.1254667247050396,0.6059781347690512,0.1781108633136406,0.13689030737322436,-0.04122055594041624,0.14013036192897152,0.1097161781511317,-0.030414183777839818,104,24,0.0,0.0
