factor,direction,split,style_source,eval_granularity,model,k_clusters,baseline_r2,augmented_r2,delta_r2,baseline_rmse,augmented_rmse,delta_rmse,baseline_mae,augmented_mae,delta_mae,n_train_eval_rows,n_val_eval_rows,style_map_val_rmse,style_map_val_mae
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,oracle,config_treatment,linear,8,-0.642326286449036,0.055570845672043956,0.69789713212108,0.18759197310314896,0.1422555509232603,-0.04533642217988865,0.14881354142727266,0.11466973597635637,-0.03414380545091629,104,24,0.0,0.0
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,synthetic,game,ridge,16,-0.17673556292505044,0.055719266171130544,0.23245482909618098,0.27556812877887854,0.24685396780981353,-0.02871416096906501,0.19452191964083018,0.18073190993716837,-0.013790009703661815,104,140,0.15671676234491563,0.07953708624911174
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,synthetic,game,linear,16,-0.28650949139424164,-0.02653696780379855,0.2599725235904431,0.28813501959191773,0.25738121385206214,-0.03075380573985559,0.20291733965390588,0.18750375241018097,-0.015413587243724908,104,140,0.15671676234491563,0.07953708624911174
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,synthetic,config_treatment,ridge,16,-0.48051141006401155,0.002069472410805351,0.4825808824748169,0.1781108633136406,0.1462293950942584,-0.0318814682193822,0.14013036192897152,0.1104482166080663,-0.029682145320905226,104,24,0.15671676234491563,0.07953708624911174
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,synthetic,config_treatment,linear,16,-0.642326286449036,-0.09064275956886214,0.5516835268801739,0.18759197310314896,0.15287124044626055,-0.03472073265688841,0.14881354142727266,0.1190569902501837,-0.02975655117708896,104,24,0.15671676234491563,0.07953708624911174
mpcr,high_to_low,mpcr/high_to_low,oracle,game,ridge,6,-0.34284660697666913,-0.2943995814619571,0.04844702551471203,0.29642771243916544,0.2910313550376987,-0.0053963574014667115,0.22361116664797126,0.2192996207190386,-0.004311545928932653,105,134,0.0,0.0
mpcr,high_to_low,mpcr/high_to_low,oracle,game,linear,6,-0.4393102281670951,-0.34042214879648736,0.09888807937060773,0.3068900481088409,0.29615999709943197,-0.010730051009408936,0.23605865494276254,0.2242961763872611,-0.011762478555501443,105,134,0.0,0.0
mpcr,high_to_low,mpcr/high_to_low,oracle,config_treatment,ridge,16,-1.3571646137323112,-1.328013819624625,0.029150794107686284,0.19451143714853997,0.1933049446879586,-0.0012064924605813543,0.16935883385963252,0.16835143914933642,-0.0010073947102960945,100,22,0.0,0.0
mpcr,high_to_low,mpcr/high_to_low,oracle,config_treatment,linear,6,-1.4741261274619828,-1.3998112132430345,0.07431491421894831,0.1992788021688961,0.19626313213612687,-0.00301567003276923,0.17149419705592056,0.16450971205527357,-0.006984485000646995,100,22,0.0,0.0
mpcr,high_to_low,mpcr/high_to_low,synthetic,game,ridge,16,-0.34284660697666913,-0.18911811323543248,0.15372849374123665,0.29642771243916544,0.2789446888128649,-0.017483023626300553,0.22361116664797126,0.2003764913998682,-0.02323467524810305,105,134,0.15659235096140442,0.08134742373818894
mpcr,high_to_low,mpcr/high_to_low,synthetic,game,linear,16,-0.4393102281670951,-0.16777547823508399,0.2715347499320111,0.3068900481088409,0.2764300645436107,-0.03045998356523022,0.23605865494276254,0.19957273540398268,-0.03648591953877986,105,134,0.15659235096140442,0.08134742373818894
mpcr,high_to_low,mpcr/high_to_low,synthetic,config_treatment,ridge,16,-1.3571646137323112,-0.7709064114734985,0.5862582022588128,0.19451143714853997,0.1685962813719322,-0.025915155776607773,0.16935883385963252,0.13774146906105844,-0.03161736479857408,100,22,0.15659235096140442,0.08134742373818894
mpcr,high_to_low,mpcr/high_to_low,synthetic,config_treatment,linear,16,-1.4741261274619828,-0.4601331285021264,1.0139929989598564,0.1992788021688961,0.15308985566710948,-0.04618894650178662,0.17149419705592056,0.126589350089539,-0.044904846966381556,100,22,0.15659235096140442,0.08134742373818894
mpcr,low_to_high,mpcr/low_to_high,oracle,game,ridge,8,0.011477769410307315,0.17401809768957444,0.16254032827926712,0.2672358445614262,0.2442793499605437,-0.022956494600882477,0.20937872421473513,0.1760110330202033,-0.03336769119453184,109,115,0.0,0.0
mpcr,low_to_high,mpcr/low_to_high,oracle,game,linear,10,-0.013207201500707644,0.08737293125684176,0.1005801327575494,0.27055192212616447,0.25677229494712844,-0.013779627179036025,0.2133321936111836,0.1971835546455887,-0.016148638965594903,109,115,0.0,0.0
mpcr,low_to_high,mpcr/low_to_high,oracle,config_treatment,ridge,10,-0.6402263999845033,-0.45946418486642426,0.180762215118079,0.1641411492380412,0.15483255908662336,-0.009308590151417856,0.12272999264564967,0.12739414102681468,0.004664148381165009,106,18,0.0,0.0
mpcr,low_to_high,mpcr/low_to_high,oracle,config_treatment,linear,10,-0.6914941111603263,-0.5059815338328952,0.1855125773274311,0.1666866490905369,0.15728068583608504,-0.009405963254451866,0.12572314635930515,0.12903450456925578,0.0033113582099506267,106,18,0.0,0.0
mpcr,low_to_high,mpcr/low_to_high,synthetic,game,ridge,6,0.011477769410307315,0.05152912087367245,0.04005135146336514,0.2672358445614262,0.26176615292690547,-0.0054696916345207125,0.20937872421473513,0.20839781815589667,-0.0009809060588384655,109,115,0.2339210491155786,0.15792679699793677
mpcr,low_to_high,mpcr/low_to_high,synthetic,game,linear,6,-0.013207201500707644,-0.0037742170516150697,0.009432984449092574,0.27055192212616447,0.2692895544978362,-0.0012623676283282648,0.2133321936111836,0.21422335044342847,0.0008911568322448604,109,115,0.2339210491155786,0.15792679699793677
mpcr,low_to_high,mpcr/low_to_high,synthetic,config_treatment,ridge,6,-0.6402263999845033,-0.3617761038834937,0.2784502961010096,0.1641411492380412,0.1495610224453527,-0.014580126792688525,0.12272999264564967,0.11043382222783833,-0.012296170417811336,106,18,0.2339210491155786,0.15792679699793677
mpcr,low_to_high,mpcr/low_to_high,synthetic,config_treatment,linear,6,-0.6914941111603263,-0.4901384223612786,0.20135568879904775,0.1666866490905369,0.15645119236828317,-0.010235456722253733,0.12572314635930515,0.12077260247776232,-0.0049505438815428265,106,18,0.2339210491155786,0.15792679699793677
num_rounds,high_to_low,num_rounds/high_to_low,oracle,game,ridge,4,-0.14534720979257854,-0.14944602679935026,-0.004098817006771727,0.2702648706566776,0.27074803284816357,0.00048316219148597517,0.2022252258787866,0.203885804655189,0.0016605787764023827,107,132,0.0,0.0
num_rounds,high_to_low,num_rounds/high_to_low,oracle,game,linear,6,-0.17585233404643064,-0.1813098374505684,-0.0054575034041377535,0.2738403309295191,0.27447508514716373,0.0006347542176446397,0.20653184263220833,0.206406090515849,-0.00012575211635934558,107,132,0.0,0.0
num_rounds,high_to_low,num_rounds/high_to_low,oracle,config_treatment,ridge,12,-1.1948532398526237,-0.8989087905387929,0.2959444493138308,0.14032719313914668,0.13052423238840016,-0.00980296075074652,0.11520231057327839,0.10078745148616848,-0.014414859087109905,104,18,0.0,0.0
num_rounds,high_to_low,num_rounds/high_to_low,oracle,config_treatment,linear,12,-1.3769116134070907,-0.8684763379906155,0.5084352754164752,0.14603118574788043,0.12947409871703183,-0.0165570870308486,0.12011504638919315,0.1019199854916106,-0.01819506089758255,104,18,0.0,0.0
num_rounds,high_to_low,num_rounds/high_to_low,synthetic,game,ridge,4,-0.14534720979257854,-0.15343236705658292,-0.008085157264004383,0.2702648706566776,0.2712171108278006,0.0009522401711229977,0.2022252258787866,0.20289253786663566,0.0006673119878490563,107,132,0.2427834554103839,0.17943085478448503
num_rounds,high_to_low,num_rounds/high_to_low,synthetic,game,linear,4,-0.17585233404643064,-0.20651196522045057,-0.03065963117401993,0.2738403309295191,0.27738746702699696,0.0035471360974778654,0.20653184263220833,0.20974359111413968,0.0032117484819313424,107,132,0.2427834554103839,0.17943085478448503
num_rounds,high_to_low,num_rounds/high_to_low,synthetic,config_treatment,ridge,4,-1.1948532398526237,-1.2804630778052544,-0.08560983795263066,0.14032719313914668,0.1430377328357588,0.002710539696612113,0.11520231057327839,0.11657851488807577,0.0013762043147973885,104,18,0.2427834554103839,0.17943085478448503
num_rounds,high_to_low,num_rounds/high_to_low,synthetic,config_treatment,linear,4,-1.3769116134070907,-1.583928198066808,-0.2070165846597174,0.14603118574788043,0.15225771785924277,0.006226532111362343,0.12011504638919315,0.12453829025140889,0.004423243862215737,104,18,0.2427834554103839,0.17943085478448503
num_rounds,low_to_high,num_rounds/low_to_high,oracle,game,ridge,8,-0.3964194692488001,0.040891720632256545,0.43731118988105666,0.31870481783351556,0.26412803541732577,-0.054576782416189795,0.2653070098198236,0.18223569758014344,-0.08307131223968015,107,117,0.0,0.0
num_rounds,low_to_high,num_rounds/low_to_high,oracle,game,linear,8,-0.37455398404566687,-0.10607534054053702,0.26847864350512984,0.3161997932055355,0.2836436309046492,-0.03255616230088626,0.2619943709859344,0.20084696320955223,-0.061147407776382195,107,117,0.0,0.0
num_rounds,low_to_high,num_rounds/low_to_high,oracle,config_treatment,ridge,10,-1.6195569078937848,-0.30114389015972765,1.3184130177340572,0.2306767690289692,0.1625745664079623,-0.06810220262100689,0.19993248777937664,0.1336966317687095,-0.06623585601066714,102,22,0.0,0.0
num_rounds,low_to_high,num_rounds/low_to_high,oracle,config_treatment,linear,10,-1.4384859834605748,-0.5221495618175276,0.9163364216430472,0.22256151699145998,0.17584037632498883,-0.04672114066647115,0.1898796534901101,0.14931704969480478,-0.040562603795305324,102,22,0.0,0.0
num_rounds,low_to_high,num_rounds/low_to_high,synthetic,game,ridge,4,-0.3964194692488001,-1.031727157490097,-0.6353076882412969,0.31870481783351556,0.3844265498707569,0.06572173203724135,0.2653070098198236,0.3109316440464296,0.04562463422660601,107,117,0.22623499881454387,0.1563497049713812
num_rounds,low_to_high,num_rounds/low_to_high,synthetic,game,linear,8,-0.37455398404566687,-1.2133615772587718,-0.8388075932131049,0.3161997932055355,0.40124244151518734,0.08504264830965186,0.2619943709859344,0.32839000799593915,0.06639563701000473,107,117,0.2216618001592874,0.1340758159763274
num_rounds,low_to_high,num_rounds/low_to_high,synthetic,config_treatment,ridge,6,-1.6195569078937848,-3.1396693786279632,-1.5201124707341784,0.2306767690289692,0.28998315421876536,0.05930638518979617,0.19993248777937664,0.2551202187190197,0.05518773093964305,102,22,0.2458369514623275,0.16359262454354487
num_rounds,low_to_high,num_rounds/low_to_high,synthetic,config_treatment,linear,6,-1.4384859834605748,-3.8684316497099225,-2.4299456662493477,0.22256151699145998,0.31447380797980423,0.09191229098834425,0.1898796534901101,0.2711144064399221,0.08123475294981197,102,22,0.2458369514623275,0.16359262454354487
player_count,high_to_low,player_count/high_to_low,oracle,game,ridge,16,-0.04409875788484574,-0.024351703917304457,0.019747053967541284,0.2939083448808165,0.29111573141020836,-0.002792613470608163,0.21290308188338936,0.20958561548364274,-0.003317466399746616,94,170,0.0,0.0
player_count,high_to_low,player_count/high_to_low,oracle,game,linear,16,-0.08656630894582285,-0.08721960185800848,-0.0006532929121856323,0.2998259682973723,0.299916089233897,9.012093652471798e-05,0.21950245089485199,0.21450653799277608,-0.004995912902075905,94,170,0.0,0.0
player_count,high_to_low,player_count/high_to_low,oracle,config_treatment,ridge,16,-0.23909206500297397,-0.17726990164513934,0.061822163357834636,0.13307932322620067,0.12971697612462596,-0.0033623471015747086,0.10766320774157753,0.09246966914258156,-0.01519353859899597,92,20,0.0,0.0
player_count,high_to_low,player_count/high_to_low,oracle,config_treatment,linear,16,-0.5197123698262127,-0.6037135513085965,-0.08400118148238378,0.14738031992245224,0.15139871712356356,0.004018397201111329,0.1254088895937457,0.11724775206443702,-0.008161137529308665,92,20,0.0,0.0
player_count,high_to_low,player_count/high_to_low,synthetic,game,ridge,4,-0.04409875788484574,-0.03708701001518744,0.0070117478696583024,0.2939083448808165,0.2929197972184386,-0.0009885476623779366,0.21290308188338936,0.21304754760491487,0.0001444657215255163,94,170,0.279842115398676,0.20144730479094491
player_count,high_to_low,player_count/high_to_low,synthetic,game,linear,4,-0.08656630894582285,-0.06247907817852916,0.024087230767293688,0.2998259682973723,0.2964840407558758,-0.003341927541496481,0.21950245089485199,0.21815736654334564,-0.0013450843515063482,94,170,0.279842115398676,0.20144730479094491
player_count,high_to_low,player_count/high_to_low,synthetic,config_treatment,ridge,4,-0.23909206500297397,-0.20347831851646614,0.035613746486507836,0.13307932322620067,0.13115290996599172,-0.0019264132602089534,0.10766320774157753,0.10489402493024085,-0.0027691828113366873,92,20,0.279842115398676,0.20144730479094491
player_count,high_to_low,player_count/high_to_low,synthetic,config_treatment,linear,4,-0.5197123698262127,-0.37465883087220964,0.14505353895400308,0.14738031992245224,0.14017038263246653,-0.007209937289985702,0.1254088895937457,0.11896293627649275,-0.0064459533172529365,92,20,0.279842115398676,0.20144730479094491
player_count,low_to_high,player_count/low_to_high,oracle,game,ridge,12,-0.30181537452796414,0.11173401138134698,0.4135493859093111,0.2081772374066639,0.1719610386337462,-0.03621619877291771,0.16343672703687426,0.13885576314330061,-0.024580963893573643,120,79,0.0,0.0
player_count,low_to_high,player_count/low_to_high,oracle,game,linear,12,-0.9056367432052552,0.025798541956072563,0.9314352851613278,0.2518712525063082,0.18008723514070674,-0.07178401736560147,0.18838629915826166,0.14362875259480817,-0.04475754656345349,120,79,0.0,0.0
player_count,low_to_high,player_count/low_to_high,oracle,config_treatment,ridge,12,-1.1107697980996716,-0.17235869664185688,0.9384111014578147,0.18239245586674516,0.13593042977230035,-0.0464620260944448,0.15163189175860176,0.11066465312783921,-0.04096723863076254,114,20,0.0,0.0
player_count,low_to_high,player_count/low_to_high,oracle,config_treatment,linear,12,-2.7430723576844684,-0.48482580225818594,2.2582465554262825,0.24288491720687663,0.1529763125644266,-0.08990860464245004,0.19070184373715582,0.11927659551911751,-0.0714252482180383,114,20,0.0,0.0
player_count,low_to_high,player_count/low_to_high,synthetic,game,ridge,4,-0.30181537452796414,-0.2442569461399413,0.05755842838802283,0.2081772374066639,0.20352303942133898,-0.0046541979853249316,0.16343672703687426,0.1616728702932529,-0.001763856743621367,120,79,0.21348142481491125,0.16100973738237662
player_count,low_to_high,player_count/low_to_high,synthetic,game,linear,4,-0.9056367432052552,-1.1981950929675143,-0.29255834976225903,0.2518712525063082,0.2705151919847144,0.018643939478406202,0.18838629915826166,0.20717292533745446,0.0187866261791928,120,79,0.21348142481491125,0.16100973738237662
player_count,low_to_high,player_count/low_to_high,synthetic,config_treatment,ridge,4,-1.1107697980996716,-0.9700242189933639,0.1407455791063077,0.18239245586674516,0.17620661891967707,-0.006185836947068091,0.15163189175860176,0.14939335326231734,-0.0022385384962844146,114,20,0.21348142481491125,0.16100973738237662
player_count,low_to_high,player_count/low_to_high,synthetic,config_treatment,linear,4,-2.7430723576844684,-4.215463078084812,-1.4723907204003437,0.24288491720687663,0.2867034195914644,0.04381850238458776,0.19070184373715582,0.23428191923836436,0.04358007550120854,114,20,0.21348142481491125,0.16100973738237662
reward_exists,false_to_true,reward_exists/false_to_true,oracle,game,ridge,8,-0.05934895659254069,-0.010523049240613425,0.04882590735192727,0.2624320718356792,0.2563129206946856,-0.006119151140993595,0.19032193627963456,0.19345482558731786,0.0031328893076832953,117,137,0.0,0.0
reward_exists,false_to_true,reward_exists/false_to_true,oracle,game,linear,8,-0.09414807802934799,-0.020082681782554568,0.07406539624679342,0.2667076289005916,0.2575224377258773,-0.00918519117471428,0.1937990064046267,0.19351209119397508,-0.00028691521065160597,117,137,0.0,0.0
reward_exists,false_to_true,reward_exists/false_to_true,oracle,config_treatment,ridge,10,-0.7141937681124022,-1.092710218730605,-0.3785164506182028,0.15262790223062428,0.1686391974378186,0.016011295207194326,0.11299979306376357,0.13442110946004918,0.02142131639628561,110,22,0.0,0.0
reward_exists,false_to_true,reward_exists/false_to_true,oracle,config_treatment,linear,6,-0.8141949908893342,-1.2276055768395038,-0.41341058595016955,0.15701674170698815,0.17398953501182793,0.01697279330483978,0.1237773520702588,0.14009486502640234,0.01631751295614353,110,22,0.0,0.0
reward_exists,false_to_true,reward_exists/false_to_true,synthetic,game,ridge,6,-0.05934895659254069,-0.06240097281426693,-0.003052016221726239,0.2624320718356792,0.2628098372909742,0.0003777654552949983,0.19032193627963456,0.18795466843530534,-0.002367267844329224,117,137,0.20794669697868126,0.14225044582331772
reward_exists,false_to_true,reward_exists/false_to_true,synthetic,game,linear,6,-0.09414807802934799,-0.11661945197843471,-0.022471373949086715,0.2667076289005916,0.26943250077934133,0.0027248718787497572,0.1937990064046267,0.19284819204340425,-0.0009508143612224351,117,137,0.20794669697868126,0.14225044582331772
reward_exists,false_to_true,reward_exists/false_to_true,synthetic,config_treatment,ridge,6,-0.7141937681124022,-0.4205957028247538,0.2935980652876484,0.15262790223062428,0.1389438176712383,-0.013684084559385967,0.11299979306376357,0.10066506977333275,-0.01233472329043081,110,22,0.20794669697868126,0.14225044582331772
reward_exists,false_to_true,reward_exists/false_to_true,synthetic,config_treatment,linear,6,-0.8141949908893342,-0.5721972887241589,0.24199770216517535,0.15701674170698815,0.14616974883664402,-0.01084699287034413,0.1237773520702588,0.10672289278346804,-0.017054459286790766,110,22,0.20794669697868126,0.14225044582331772
reward_exists,true_to_false,reward_exists/true_to_false,oracle,game,ridge,12,0.01991825601464714,0.26637879022996813,0.246460534215321,0.2670270377028709,0.23102555776624312,-0.03600147993662778,0.1939268764255175,0.1642123867686677,-0.029714489656849807,97,112,0.0,0.0
reward_exists,true_to_false,reward_exists/true_to_false,oracle,game,linear,12,-0.007102737873534215,0.2535043821489348,0.260607120022469,0.27068299701725057,0.23304388913681084,-0.037639107880439726,0.19467136455952352,0.16431850799369827,-0.03035285656582526,97,112,0.0,0.0
reward_exists,true_to_false,reward_exists/true_to_false,oracle,config_treatment,ridge,12,-0.10857673062188677,0.28208822110395726,0.39066495172584403,0.1456114393717402,0.11717855959358355,-0.02843287977815666,0.11332393361687945,0.10003647805993772,-0.013287455556941732,96,18,0.0,0.0
reward_exists,true_to_false,reward_exists/true_to_false,oracle,config_treatment,linear,12,-0.14479991897079292,0.28170627313312246,0.4265061921039154,0.1479712732225937,0.11720972648839079,-0.03076154673420292,0.11517488849739105,0.09935477379958939,-0.01582011469780166,96,18,0.0,0.0
reward_exists,true_to_false,reward_exists/true_to_false,synthetic,game,ridge,4,0.01991825601464714,0.04705349578708673,0.02713523977243959,0.2670270377028709,0.2633045407430998,-0.0037224969597711155,0.1939268764255175,0.2034436167339342,0.009516740308416705,97,112,0.2828943108980219,0.20775250039245155
reward_exists,true_to_false,reward_exists/true_to_false,synthetic,game,linear,4,-0.007102737873534215,0.020568455282473308,0.027671193156007523,0.27068299701725057,0.2669384483629459,-0.00374454865430468,0.19467136455952352,0.20863235277233402,0.013960988212810499,97,112,0.2828943108980219,0.20775250039245155
reward_exists,true_to_false,reward_exists/true_to_false,synthetic,config_treatment,ridge,4,-0.10857673062188677,-0.13482692720335843,-0.026250196581471652,0.1456114393717402,0.14732533313804827,0.0017138937663080667,0.11332393361687945,0.11790960920766588,0.004585675590786431,96,18,0.2828943108980219,0.20775250039245155
reward_exists,true_to_false,reward_exists/true_to_false,synthetic,config_treatment,linear,4,-0.14479991897079292,-0.1879699420241434,-0.04317002305335049,0.1479712732225937,0.15073542919062846,0.002764155968034754,0.11517488849739105,0.11950142661953785,0.0043265381221467974,96,18,0.2828943108980219,0.20775250039245155
show_n_rounds,false_to_true,show_n_rounds/false_to_true,oracle,game,ridge,8,-0.1286019061672774,0.08223279800429284,0.21083470417157024,0.3021229747908154,0.27244549383348354,-0.02967748095733186,0.22639817745267277,0.19738574310380624,-0.029012434348866523,100,180,0.0,0.0
