bootstrap_iter,metric_family,metric_scope,metric,distance_kind,n_groups,mean_value,median_value,stderr,score
0,mean_alignment_abs_error,paper_index_scenario,equality_index_mean,,6,0.042141231387559396,0.02861148648648648,0.008275186151712592,0.042141231387559396
0,mean_alignment_abs_error,paper_index_scenario,intentions_index_mean,,6,0.031936504904269844,0.025666666666666782,0.005097529361222073,0.031936504904269844
0,mean_alignment_abs_error,paper_index_scenario,kindness_index_mean,,6,0.04446640191707607,0.03348837209302319,0.009422347659651003,0.04446640191707607
0,mean_alignment_abs_error,paper_index_scenario,payoff_index_mean,,6,0.018677226380950693,0.01388505495686343,0.003939853571639452,0.018677226380950693
0,mean_alignment_abs_error,paper_index_scenario,predictability_index_mean,,6,0.0810413201035524,0.06541666666666673,0.016896225013865406,0.0810413201035524
0,mean_alignment_abs_error,paper_index_scenario,prosociality_index_mean,,6,0.02856491739861225,0.022888888888888848,0.006081424834226535,0.02856491739861225
0,mean_alignment_abs_error,paper_index_session,delegation_index_mean,,4,0.04642857142857139,0.012857142857142873,0.03405427840302919,0.04642857142857139
0,mean_alignment_abs_error,scenario,C_decision_nonnull_rate,,6,0.018749999999999996,0.0,0.011898004034290791,0.018749999999999996
0,mean_alignment_abs_error,scenario,PD_decision_nonnull_rate,,6,0.013749999999999998,0.0,0.00723849662107632,0.013749999999999998
0,mean_alignment_abs_error,scenario,SH_decision_nonnull_rate,,6,0.023749999999999993,0.0,0.014401244159215312,0.023749999999999993
0,mean_alignment_abs_error,scenario,TGReceiver_decision_direct_mean,,6,0.3582497176084245,0.3530008417508419,0.04982863434495516,0.3582497176084245
0,mean_alignment_abs_error,scenario,TGReceiver_decision_nonnull_rate,,6,0.027500000000000004,0.0,0.01547847968417226,0.027500000000000004
0,mean_alignment_abs_error,scenario,TGSender_decision_nonnull_rate,,6,0.027500000000000004,0.0,0.0175,0.027500000000000004
0,mean_alignment_abs_error,scenario,UGProposer_decision_direct_mean,,6,0.21070615693779718,0.1430574324324323,0.04137593075856298,0.21070615693779718
0,mean_alignment_abs_error,scenario,UGProposer_decision_nonnull_rate,,6,0.010000000000000002,0.0,0.006324555320336755,0.010000000000000002
0,mean_alignment_abs_error,scenario,UGResponder_decision_direct_mean,,6,0.23701479973611403,0.19176470588235284,0.04554840450817356,0.23701479973611403
0,mean_alignment_abs_error,scenario,UGResponder_decision_nonnull_rate,,6,0.020000000000000007,0.0,0.013038404810405293,0.020000000000000007
0,mean_alignment_abs_error,session,C_delegated,,4,0.07500000000000001,0.04999999999999999,0.037749172176353755,0.07500000000000001
0,mean_alignment_abs_error,session,PD_delegated,,4,0.05499999999999999,0.05000000000000002,0.01707825127659933,0.05499999999999999
0,mean_alignment_abs_error,session,SH_delegated,,4,0.095,0.06999999999999999,0.043493294502332955,0.095
0,mean_alignment_abs_error,session,TGReceiver_delegated,,4,0.10999999999999999,0.09999999999999998,0.04203173404306163,0.10999999999999999
0,mean_alignment_abs_error,session,TGSender_delegated,,4,0.10999999999999997,0.08999999999999994,0.055677643628300216,0.10999999999999997
0,mean_alignment_abs_error,session,UGProposer_delegated,,4,0.03999999999999999,0.020000000000000004,0.019999999999999997,0.03999999999999999
0,mean_alignment_abs_error,session,UGResponder_delegated,,4,0.08000000000000002,0.05000000000000002,0.04242640687119287,0.08000000000000002
0,behavior_distribution_distance,distribution,cooperation_pd_wd,wasserstein_1d,6,0.1038856589147287,0.10744186046511628,0.017320162392684885,0.1038856589147287
0,behavior_distribution_distance,distribution,cooperation_sh_wd,wasserstein_1d,6,0.09149612403100775,0.09,0.0194629880586827,0.09149612403100775
0,behavior_distribution_distance,distribution,cooperation_wd,mean_wasserstein_1d,6,0.09769089147286822,0.08958333333333332,0.012301061007128378,0.09769089147286822
0,behavior_distribution_distance,distribution,coordination_earth_wd,wasserstein_1d,6,0.05681976744186047,0.053333333333333344,0.013204876560627314,0.05681976744186047
0,behavior_distribution_distance,distribution,coordination_wd,mean_wasserstein_1d,6,0.05681976744186047,0.053333333333333344,0.013204876560627314,0.05681976744186047
0,behavior_distribution_distance,distribution,fairness_offer_wd,wasserstein_1d,6,0.055692635658914726,0.043333333333333314,0.013316358478859692,0.055692635658914726
0,behavior_distribution_distance,distribution,fairness_wd,mean_wasserstein_1d,6,0.058356007751937986,0.06733333333333333,0.008464643305600943,0.058356007751937986
0,behavior_distribution_distance,distribution,inequality_tolerance_wd,wasserstein_1d,6,0.06101937984496125,0.05083333333333335,0.009436473392799339,0.06101937984496125
0,behavior_distribution_distance,distribution,trust_send_wd,wasserstein_1d,6,0.0618565891472868,0.06,0.010875060739921836,0.0618565891472868
0,behavior_distribution_distance,distribution,trust_wd,mean_wasserstein_1d,6,0.0618565891472868,0.06,0.010875060739921836,0.0618565891472868
0,behavior_distribution_distance,distribution,trustworthiness_return_wd,wasserstein_1d,6,0.059690245478036176,0.06479166666666668,0.007124143854348882,0.059690245478036176
0,behavior_distribution_distance,distribution,trustworthiness_wd,mean_wasserstein_1d,6,0.059690245478036176,0.06479166666666668,0.007124143854348882,0.059690245478036176
0,delegation_distribution_distance,distribution,C_delegated,wasserstein_1d,4,0.07499999999999998,0.04999999999999999,0.03774917217635375,0.07499999999999998
0,delegation_distribution_distance,distribution,PD_delegated,wasserstein_1d,4,0.05499999999999999,0.04999999999999999,0.01707825127659932,0.05499999999999999
0,delegation_distribution_distance,distribution,SH_delegated,wasserstein_1d,4,0.09499999999999997,0.06999999999999995,0.04349329450233296,0.09499999999999997
0,delegation_distribution_distance,distribution,TGReceiver_delegated,wasserstein_1d,4,0.11000000000000001,0.1,0.04203173404306164,0.11000000000000001
0,delegation_distribution_distance,distribution,TGSender_delegated,wasserstein_1d,4,0.11000000000000001,0.09000000000000002,0.05567764362830022,0.11000000000000001
0,delegation_distribution_distance,distribution,UGProposer_delegated,wasserstein_1d,4,0.04000000000000001,0.020000000000000018,0.01999999999999999,0.04000000000000001
0,delegation_distribution_distance,distribution,UGResponder_delegated,wasserstein_1d,4,0.08000000000000003,0.050000000000000044,0.042426406871192854,0.08000000000000003
