split_slug,direction,target,model_label,feature_source,k,oracle,env_val_mean_cluster_mae,env_val_avg_l1,mae,rmse,corr
all_or_nothing,true_to_false,normalized_efficiency,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.18658506366649813,0.7463402546659925,0.09760600466897404,0.11791058928796304,0.37167300781822976
all_or_nothing,true_to_false,normalized_efficiency,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.18658506366649813,0.7463402546659925,0.12003014135591031,0.14813934042945537,0.48114932007721145
all_or_nothing,true_to_false,normalized_efficiency,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.06755406301285137,0.08460795489682345,0.7562945614615889
all_or_nothing,true_to_false,normalized_efficiency,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.07227955269693533,0.08967876807228761,0.781954404474256
all_or_nothing,true_to_false,normalized_efficiency,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.12298911110226504,0.7379346666135902,0.07615283525836132,0.09751310398412259,0.678999067065328
all_or_nothing,true_to_false,normalized_efficiency,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.12298911110226504,0.7379346666135902,0.08185849891366442,0.10376209551359587,0.6523431647809481
default_contrib_prop,false_to_true,contribution_rate,ridge_config,config,,False,,,0.08729790857972805,0.10645529314403837,0.15977941645492533
default_contrib_prop,false_to_true,contribution_rate,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.06642956834281254,0.08157044081565878,0.5491638325871686
default_contrib_prop,false_to_true,contribution_rate,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.07900968491744287,0.0954241759271586,0.30374268982556424
default_contrib_prop,false_to_true,contribution_rate,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.19232358170874603,0.7692943268349841,0.07434955071046934,0.09209623258357373,0.09337722675168607
default_contrib_prop,false_to_true,contribution_rate,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.19232358170874603,0.7692943268349841,0.08037267012199228,0.10662247983109754,0.06105430854683115
default_contrib_prop,false_to_true,contribution_rate,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.046128656271042345,0.05700460647343887,0.8267118923074938
default_contrib_prop,false_to_true,contribution_rate,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.07197795963986985,0.08366625285248809,0.43174334399698233
default_contrib_prop,false_to_true,contribution_rate,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.16417023020263932,0.9850213812158359,0.0823415744287132,0.1024721052308303,0.4208415659521582
default_contrib_prop,false_to_true,contribution_rate,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.16417023020263932,0.9850213812158359,0.09378361668812688,0.1143937332912421,0.13839182469510244
default_contrib_prop,false_to_true,normalized_efficiency,ridge_config,config,,False,,,0.09828823560505488,0.11772703525995146,0.06400804466818774
default_contrib_prop,false_to_true,normalized_efficiency,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.06122429040727669,0.0780584432662532,0.5321446715245758
default_contrib_prop,false_to_true,normalized_efficiency,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.09024290416596162,0.11512117919853257,0.061099613925067804
default_contrib_prop,false_to_true,normalized_efficiency,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.19232358170874603,0.7692943268349841,0.07130882199131076,0.09238206781253182,0.36768005426970357
default_contrib_prop,false_to_true,normalized_efficiency,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.19232358170874603,0.7692943268349841,0.09036230331430448,0.11905628391816597,0.034589191972747804
default_contrib_prop,false_to_true,normalized_efficiency,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.050303224177314435,0.06748821809440618,0.6639532685531014
default_contrib_prop,false_to_true,normalized_efficiency,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.0888406281152001,0.10796649461564477,0.18392606059797922
default_contrib_prop,false_to_true,normalized_efficiency,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.16417023020263932,0.9850213812158359,0.08009553139456564,0.10743787912572082,0.2869603036099923
default_contrib_prop,false_to_true,normalized_efficiency,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.16417023020263932,0.9850213812158359,0.10473780940048222,0.12369583804888888,-0.022474332478452083
default_contrib_prop,true_to_false,contribution_rate,ridge_config,config,,False,,,0.07888979747947218,0.10377602036216543,0.2701004814388103
default_contrib_prop,true_to_false,contribution_rate,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.06477364413037015,0.07809744123852426,0.634269243271232
default_contrib_prop,true_to_false,contribution_rate,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.0705100029200111,0.09416620870383369,0.4548287422251381
default_contrib_prop,true_to_false,contribution_rate,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.20119583964128165,0.8047833585651266,0.09219263576492842,0.11118332033131953,0.09650713661124231
default_contrib_prop,true_to_false,contribution_rate,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.20119583964128165,0.8047833585651266,0.08963481414750478,0.11637150458770702,0.159790824097972
default_contrib_prop,true_to_false,contribution_rate,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.05643326522882817,0.06954866760715209,0.7656017587022622
default_contrib_prop,true_to_false,contribution_rate,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.06080759783089423,0.07424485578760925,0.6955169940446396
default_contrib_prop,true_to_false,contribution_rate,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.13680679352262193,0.8208407611357316,0.09884416514942906,0.11434761948253262,0.2962865435160671
default_contrib_prop,true_to_false,contribution_rate,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.13680679352262193,0.8208407611357316,0.09017519313315418,0.11115211099799942,0.30491371588040317
default_contrib_prop,true_to_false,normalized_efficiency,ridge_config,config,,False,,,0.1301745423944596,0.1564268135164365,0.2595490597928719
default_contrib_prop,true_to_false,normalized_efficiency,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.09017447297607716,0.10811428991670727,0.519914710453173
default_contrib_prop,true_to_false,normalized_efficiency,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.1269334519807488,0.14908785962149812,0.30547450257796815
default_contrib_prop,true_to_false,normalized_efficiency,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.20119583964128165,0.8047833585651266,0.10750851491061038,0.13554759836221972,0.14493267743475957
