target,model_label,n_splits,mean_mae,median_mae,mean_rmse,mean_corr
contribution_rate,ridge_config,18,0.07802624362916716,0.07647643700423268,0.09815356803768818,0.3886004451061936
contribution_rate,ridge_raw_cluster_pred_cluster_plus_config,18,0.08130302839283002,0.08324046495049917,0.10076531966290832,0.33162847292309605
contribution_rate,ridge_raw_cluster_pred_cluster_only,18,0.08149729424041689,0.0807097410706297,0.09836406883513604,0.2562763923822577
contribution_rate,ridge_text_cluster_pred_cluster_plus_config,18,0.08154099329983185,0.08304412505710057,0.09963516590518845,0.3785306099587774
contribution_rate,ridge_text_cluster_pred_cluster_only,18,0.08579392810569757,0.08058367680692216,0.10517830473282896,0.33578272175474894
normalized_efficiency,ridge_raw_cluster_pred_cluster_only,18,0.09952033505951538,0.09640203626498081,0.12264397681514295,0.23473027197011317
normalized_efficiency,ridge_text_cluster_pred_cluster_only,18,0.10682087276838055,0.10755992152485608,0.130318237346345,0.3383855502613125
normalized_efficiency,ridge_text_cluster_pred_cluster_plus_config,18,0.11191330628428757,0.11000777148747291,0.13564375156879738,0.37470465230001515
normalized_efficiency,ridge_config,18,0.11424282752775233,0.1117016382211119,0.13775850287381552,0.4018867446116093
normalized_efficiency,ridge_raw_cluster_pred_cluster_plus_config,18,0.11721712732104526,0.11922697515207781,0.14312290015948773,0.32209854022094786
