unique_id,game_id,up_choice,row_form_matrix,role,topology,logrt,logrt_norm,delta,delta_norm,choice_br,choice_psne
1,1,0.3023255813953488,[21 10 24 17  2 19  6  4],rowplayer,"('dilemma', 'hero')",8.42463921,-0.117175058,0.094916171,0.010440131841683326,0.6976744186046512,0.6976744186046512
2,1,0.2682926829268293,[ 2  6 19  4 21 24 10 17],colplayer,"('hero', 'dilemma')",8.660600654710967,0.16380375640401182,0.11769787997607492,0.046248883409874604,0.7317073170731707,0.2682926829268293
3,2,0.18181818181818182,[ 1  8 40 21  6 14  2  1],rowplayer,"('compromise', 'chicken')",8.554488976159934,-0.251558743,0.15624600434727018,-0.032561793,0.8181818181818182,0.8181818181818182
4,2,0.5217391304347826,[ 6  2 14  1  1 40  8 21],colplayer,"('chicken', 'compromise')",8.683974996749726,0.23024484877296292,0.098707403,0.23530456577566128,0.4782608695652174,0.5217391304347826
5,3,0.13513513513513514,[12  2 35 34 15 36 12 29],rowplayer,"('deadlock', 'deadlock')",8.151333337900432,-0.597582586,0.12352051915489841,-0.18126503,0.8648648648648649,0.8648648648648649
6,3,0.093023256,[15 12 36 29 12 35  2 34],colplayer,"('deadlock', 'deadlock')",8.572817095164234,-0.201073865,0.054487449,-0.205266514,0.9069767441860465,0.9069767441860465
7,4,0.725,[ 9 24 38  2 10 23  1  2],rowplayer,"('leader', 'dilemma')",8.678999747078453,-0.05055134,0.18659817351598176,0.2912955607063837,0.725,0.725
8,4,0.14,[10  1 23  2  9 38 24  2],colplayer,"('dilemma', 'leader')",8.497398480857383,-0.213001039,0.078838897,-0.153011009,0.86,0.86
9,5,0.063829787,[ 6  1 13  7 17 21 16  3],rowplayer,"('deadlock', 'chicken')",8.573951525234847,0.097141562,0.035581711181530105,-0.288871924,0.9361702127659575,0.9361702127659575
10,5,0.8947368421052632,[17 16 21  3  6 13  1  7],colplayer,"('chicken', 'deadlock')",8.450388750745747,-0.377979449,0.078075985,-0.282218568,0.8947368421052632,0.8947368421052632
11,6,0.24242424242424243,[ 3  5 33  8 15 39 16 28],rowplayer,"('compromise', 'compromise')",8.689464412,-0.166274892,0.16044714778891994,0.064480089,0.7575757575757576,0.7575757575757576
12,6,0.21951219512195122,[15 16 39 28  3 33  5  8],colplayer,"('compromise', 'compromise')",7.80016307,-0.64123894,0.1067193675889328,-0.109931328,0.7804878048780488,0.7804878048780488
13,7,0.5526315789473685,[16 17 21 12 14  4 11  3],rowplayer,"('leader', 'harmony')",8.787938069742264,0.2086893741447577,0.11785981541531557,0.39790772727653456,0.4473684210526316,0.4473684210526316
14,7,0.9354838709677419,[14 11  4  3 16 21 17 12],colplayer,"('harmony', 'leader')",8.137103389639302,-0.80117313,0.046408692,-0.377690237,0.9354838709677419,0.9354838709677419
