target,style_source,eval_granularity,group_col,model,k_clusters,baseline_r2,baseline_rmse,baseline_mae,augmented_r2,augmented_rmse,augmented_mae,delta_r2,baseline_r2_oos_train_mean,augmented_r2_oos_train_mean,delta_r2_oos_train_mean,delta_rmse,delta_mae,missing_style_games_learn,missing_style_games_val,n_train_eval_rows,n_val_eval_rows,style_map_val_rmse,style_map_val_mae
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,4,-0.058745563356710884,0.09630490659393558,0.07781576475098086,-0.13187943463365515,0.09957554618129616,0.08284092859982234,-0.07313387127694426,0.06625798355491475,0.001758852885536455,-0.06449913066937829,0.0032706395873605826,0.005025163848841482,0,0,114,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,10,-0.058745563356710884,0.09630490659393558,0.07781576475098086,-0.2801652944439983,0.10589748286195722,0.08500688896344777,-0.2214197310872874,0.06625798355491475,-0.12901925145014448,-0.19527723500505922,0.009592576268021638,0.007191124212466912,0,0,114,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,6,-0.058745563356710884,0.09630490659393558,0.07781576475098086,-0.3243688869364705,0.10771026573423816,0.09194711067589409,-0.2656233235797596,0.06625798355491475,-0.16800383189757317,-0.23426181545248792,0.011405359140302579,0.014131345924913233,0,0,114,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,16,-0.058745563356710884,0.09630490659393558,0.07781576475098086,-0.9257447091970816,0.12988289772867945,0.10925933971199146,-0.8669991458403707,0.06625798355491475,-0.6983766545601171,-0.7646346381150319,0.03357799113474387,0.031443574961010606,0,0,114,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,8,-0.058745563356710884,0.09630490659393558,0.07781576475098086,-0.9636973536794797,0.13115652154875637,0.10543077078591187,-0.9049517903227688,0.06625798355491475,-0.731848321422232,-0.7981063049771467,0.034851614954820795,0.027615006034931014,0,0,114,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,12,-0.058745563356710884,0.09630490659393558,0.07781576475098086,-2.325301331816317,0.17067429428221598,0.1303963803100471,-2.2665557684596065,0.06625798355491475,-1.932690986693252,-1.9989489702481666,0.0743693876882804,0.05258061555906625,0,0,114,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,4,0.06796580969806154,0.09035840052729593,0.07468191988722252,0.25816356665049267,0.08061329854071399,0.06597059450427953,0.19019775695243113,0.1780088489919074,0.34575041339292856,0.16774156440102117,-0.009745101986581947,-0.008711325382942989,0,0,114,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,10,0.06796580969806154,0.09035840052729593,0.07468191988722252,0.13270314996520483,0.08716386856831897,0.06966384571595764,0.06473734026714328,0.1780088489919074,0.23510280691007424,0.05709395791816685,-0.0031945319589769677,-0.005018074171264875,0,0,114,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,6,0.06796580969806154,0.09035840052729593,0.07468191988722252,0.10306402525186309,0.08864073208930513,0.07692905716046523,0.03509821555380155,0.1780088489919074,0.2089631024963342,0.03095425350442682,-0.001717668437990802,0.0022471372732427164,0,0,114,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,8,0.06796580969806154,0.09035840052729593,0.07468191988722252,-0.09479569345471872,0.09793076629683202,0.08534842372029808,-0.16276150315278026,0.1780088489919074,0.03446420577123377,-0.14354464322067362,0.007572365769536085,0.01066650383307556,0,0,114,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,16,0.06796580969806154,0.09035840052729593,0.07468191988722252,-0.32571292730343226,0.10776490694328003,0.09319035360378727,-0.3936787370014938,0.1780088489919074,-0.16918918464507526,-0.34719803363698265,0.017406506415984097,0.018508433716564757,0,0,114,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,12,0.06796580969806154,0.09035840052729593,0.07468191988722252,-0.8602402986433024,0.12765479625660975,0.10562295287480586,-0.928206108341364,0.1780088489919074,-0.6406061925025348,-0.8186150414944422,0.037296395729313814,0.030941032987583342,0,0,114,20,0.0,0.0
itt_efficiency,oracle,game,,linear,4,-0.12109296126648217,0.13722653848854144,0.11925363077363856,-0.13653059275159318,0.13816812394522823,0.11960994124187811,-0.015437631485111014,-0.10085148012433187,-0.11601038313876177,-0.015158903014429903,0.0009415854566867943,0.0003563104682395568,0,0,120,79,0.0,0.0
itt_efficiency,oracle,game,,linear,10,-0.12109296126648217,0.13722653848854144,0.11925363077363856,-0.159425485984658,0.13955285212624685,0.11542485198431529,-0.03833252471817583,-0.10085148012433187,-0.13849190605764194,-0.03764042593331007,0.0023263136377054128,-0.0038287787893232644,0,0,120,79,0.0,0.0
itt_efficiency,oracle,game,,linear,6,-0.12109296126648217,0.13722653848854144,0.11925363077363856,-0.25719147706178824,0.14531753072734155,0.1245177990869102,-0.13609851579530607,-0.10085148012433187,-0.23449271928324444,-0.13364123915891257,0.00809099223880011,0.005264168313271644,0,0,120,79,0.0,0.0
itt_efficiency,oracle,game,,linear,8,-0.12109296126648217,0.13722653848854144,0.11925363077363856,-0.25729723451188713,0.1453236427988092,0.1201215768067318,-0.13620427324540496,-0.10085148012433187,-0.2345965672686463,-0.13374508714431443,0.00809710431026775,0.0008679460330932448,0,0,120,79,0.0,0.0
itt_efficiency,oracle,game,,linear,16,-0.12109296126648217,0.13722653848854144,0.11925363077363856,-0.31719613170529093,0.1487450489219206,0.12449461540131905,-0.19610317043880876,-0.10085148012433187,-0.2934139819803421,-0.1925625018560102,0.011518510433379148,0.005240984627680495,0,0,120,79,0.0,0.0
itt_efficiency,oracle,game,,linear,12,-0.12109296126648217,0.13722653848854144,0.11925363077363856,-0.8209559770708275,0.17489082193754005,0.13655612743707946,-0.6998630158043453,-0.10085148012433187,-0.7880783769573398,-0.687226896833008,0.03766428344899861,0.0173024966634409,0,0,120,79,0.0,0.0
itt_efficiency,oracle,game,,ridge,8,-0.0771453875990249,0.13450996466538778,0.11663545091354569,0.09695368114869629,0.12316074544553902,0.10590672460020348,0.1740990687477212,-0.057697385690414826,0.11325830143002191,0.17095568712043674,-0.011349219219848758,-0.010728726313342207,0,0,120,79,0.0,0.0
itt_efficiency,oracle,game,,ridge,10,-0.0771453875990249,0.13450996466538778,0.11663545091354569,0.002342008865465983,0.12945181333624478,0.1081846865635848,0.07948739646449088,-0.057697385690414826,0.020354855356850887,0.07805224104726571,-0.005058151329143001,-0.00845076434996088,0,0,120,79,0.0,0.0
itt_efficiency,oracle,game,,ridge,4,-0.0771453875990249,0.13450996466538778,0.11663545091354569,-0.0002394751476124668,0.1296191862705829,0.11146389196226078,0.07690591245141243,-0.057697385690414826,0.017819980377790867,0.0755173660682057,-0.0048907783948048955,-0.005171558951284905,0,0,120,79,0.0,0.0
itt_efficiency,oracle,game,,ridge,6,-0.0771453875990249,0.13450996466538778,0.11663545091354569,-0.07281657764897509,0.13423940961294947,0.11581530804197672,0.004328809950049806,-0.057697385690414826,-0.05344673297442082,0.004250652715994008,-0.00027055505243830935,-0.0008201428715689657,0,0,120,79,0.0,0.0
itt_efficiency,oracle,game,,ridge,16,-0.0771453875990249,0.13450996466538778,0.11663545091354569,-0.0817848473719458,0.13479933276866995,0.11406425953451454,-0.004639459772920906,-0.057697385690414826,-0.06225307940579383,-0.004555693715379006,0.00028936810328217266,-0.0025711913790311403,0,0,120,79,0.0,0.0
itt_efficiency,oracle,game,,ridge,12,-0.0771453875990249,0.13450996466538778,0.11663545091354569,-0.22681275624311636,0.14355107102461323,0.12002960578153352,-0.14966736864409147,-0.057697385690414826,-0.2046624902719596,-0.14696510458154477,0.009041106359225448,0.003394154867987831,0,0,120,79,0.0,0.0
itt_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,12,-0.058745563356710884,0.09630490659393558,0.07781576475098086,0.33567941811589885,0.07628540681553801,0.05944147283575156,0.39442498147260974,0.06625798355491475,0.4141141543698341,0.3478561708149194,-0.020019499778397565,-0.018374291915229296,0,0,114,20,0.1615441484304537,0.08841703933056737
itt_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,10,-0.058745563356710884,0.09630490659393558,0.07781576475098086,0.26982154380950407,0.07997737029026299,0.0661059403413594,0.32856710716621496,0.06625798355491475,0.3560319611763393,0.28977397762142454,-0.01632753630367259,-0.011709824409621455,0,0,114,20,0.1912719239040538,0.10954583898829713
itt_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,8,-0.058745563356710884,0.09630490659393558,0.07781576475098086,0.031616632180561766,0.09210352958174,0.07435529436006208,0.09036219553727265,0.06625798355491475,0.14595133159962392,0.07969334804470918,-0.00420137701219557,-0.0034604703909187767,0,0,114,20,0.19882305044590964,0.1264033676809469
itt_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,6,-0.058745563356710884,0.09630490659393558,0.07781576475098086,-0.04507736929774819,0.09568124866230593,0.07297604901675112,0.01366819405896269,0.06625798355491475,0.07831240675487172,0.012054423199956976,-0.0006236579316296481,-0.004839715734229741,0,0,114,20,0.22951659692260618,0.15333694177853172
itt_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,16,-0.058745563356710884,0.09630490659393558,0.07781576475098086,-0.36609362477684737,0.10939383433207897,0.09254107886926011,-0.3073480614201365,0.06625798355491475,-0.20480223011063803,-0.2710602136655528,0.013088927738143394,0.01472531411827925,0,0,114,20,0.15284139692822432,0.07740803802132518
itt_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,4,-0.058745563356710884,0.09630490659393558,0.07781576475098086,-1.475917313378336,0.14727216829418818,0.11109319799378228,-1.4171717500216252,0.06625798355491475,-1.1835917001772356,-1.2498496837321502,0.050967261700252606,0.03327743324280143,0,0,114,20,0.21348142481491125,0.16100973738237662
