run_id,label,n_factors_evaluated,sign_match_rate_all,sign_match_rate_nonzero_human
260310_valraw417_archetype_cluster_plus,archetype_cluster_plus,11,0.8181818181818182,0.8181818181818182
260310_valraw417_archetype_cluster,archetype_cluster,11,0.8181818181818182,0.8181818181818182
linear_config_baseline,linear_config,11,0.7272727272727273,0.7272727272727273
