run_id,label,eval_csv,human_analysis_csv,human_rows_csv,n_games_simulated,n_games_after_merge
260310_valraw417_archetype_cluster_plus,archetype_cluster_plus,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/benchmark_statistical/macro/runs/260310_valraw417_archetype_cluster_plus/macro_simulation_eval.csv,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/benchmark_statistical/data/processed_data/df_analysis_val.csv,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/benchmark_statistical/data/raw_data/validation_wave/player-rounds.csv,417,40
260310_valraw417_archetype_cluster,archetype_cluster,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/benchmark_statistical/macro/runs/260310_valraw417_archetype_cluster/macro_simulation_eval.csv,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/benchmark_statistical/data/processed_data/df_analysis_val.csv,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/benchmark_statistical/data/raw_data/validation_wave/player-rounds.csv,417,40
linear_config_baseline,linear_config,,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/benchmark_statistical/data/processed_data/df_analysis_val.csv,/Users/robinna/Documents/projects/MultiAgent_LLM/PGG-finetuning/benchmark_statistical/data/raw_data/validation_wave/player-rounds.csv,417,40
