persona_source,run,metric,metric_label,mean_diff,game_id_cluster_ci_low,game_id_cluster_ci_high,candidate_uniform_sd,standardized_diff,standardized_game_ci_low,standardized_game_ci_high,game_ci_excludes_zero
No persona,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,mean_contribution_rate,Mean contribution,0.10524568952988919,0.07490619389951653,0.13863358384940333,0.25796060105940666,0.4079913331635159,0.29037842830218136,0.5374215414294097,True
No persona,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,full_contribution_rate,Full contribution,0.1086306538604199,0.06471600712308312,0.15448181196848945,0.3553757080435948,0.3056783325412155,0.1821058830367332,0.4346999765936134,True
No persona,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,zero_contribution_rate,Zero contribution,-0.07316164960737007,-0.10384720415228074,-0.04608446162001886,0.23177793839252675,-0.3156540700757611,-0.4480461120350922,-0.19883023354005624,True
No persona,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,contribution_sd,Contribution variability,-1.40030190356903,-2.0478887945323017,-0.770819689403564,3.5095699802207827,-0.3989952932868826,-0.5835155891102851,-0.21963365704281318,True
No persona,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,messages_per_round,Messages per round,0.06504847161389933,0.025433719067135284,0.11131902051801622,0.28955404565454823,0.2246505361955994,0.0878375538136287,0.38444988833216,True
No persona,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,reward_given_round_rate,Reward given,0.07695329785473373,0.028629420114932747,0.13075688391857232,0.269653583324469,0.2853783617706919,0.10617110947301418,0.4849069027991928,True
No persona,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,punish_given_round_rate,Punishment given,0.026902019178329954,0.004648729328137369,0.053721289305355774,0.1878891644720589,0.1431802587122078,0.0247418702467469,0.2859201032497257,True
No persona,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,punish_received_round_rate,Punishment received,-0.035973674946074743,-0.05756083390651273,-0.017669427879739453,0.17715862098426044,-0.20305912716079905,-0.3249112777392114,-0.09973789467072722,True
Demographic surveys,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,mean_contribution_rate,Mean contribution,0.11402105397154927,0.08300432999222637,0.1462272231485291,0.25796060105940666,0.4420095685282225,0.32177134667596397,0.5668587472195179,True
Demographic surveys,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,full_contribution_rate,Full contribution,0.12714566500894095,0.0894671388197868,0.16462700892296478,0.3553757080435948,0.35777815458715506,0.2517536702559637,0.46324778311175274,True
Demographic surveys,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,zero_contribution_rate,Zero contribution,-0.07744687117501417,-0.10899225386175143,-0.04930815463659017,0.23177793839252675,-0.3341425491664107,-0.47024429770001647,-0.21273877478832567,True
Demographic surveys,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,contribution_sd,Contribution variability,-1.5770744807031263,-2.088006855045177,-1.0797832986083817,3.5095699802207827,-0.4493640216867579,-0.5949466364291796,-0.3076682626913893,True
Demographic surveys,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,messages_per_round,Messages per round,0.08072541355328125,0.03652362031676825,0.13522525659746423,0.28955404565454823,0.2787922143197768,0.1261374892352313,0.4670121472203307,True
Demographic surveys,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,reward_given_round_rate,Reward given,0.03886271634702625,-0.0006848834597314342,0.0817898121852892,0.269653583324469,0.14412089714477663,-0.0025398641148681755,0.3033143901776862,False
