game,persona_source,persona_order,run,unit_id,treatment_name,n_players,n_features,features,kernel_sigma,q_raw_probability_total,q_unmatched_probability,p_kernel_effective_n,q_kernel_effective_n,kernel_effective_support_ratio,p_probability_effective_n,q_probability_effective_n,probability_effective_support_ratio,p_expected_pairwise_distance,q_expected_pairwise_distance,pairwise_distance_ratio
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,2KKC9nMd8nRXfgH5G,VALIDATION_19_C,4,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,1.5434679066337234,0.9999999999999999,0.0,1.3976611765770035,1.345665768208107,0.9627982738304015,4.0,2.1739130434782603,0.5434782608695651,1.1221735967902946,0.9441486132125942,0.8413570020833696
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,4,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,5.1048911913992185,0.9999999999999999,0.0,1.380358119819448,1.2689109475128244,0.9192621315393132,4.0,2.1739130434782603,0.5434782608695651,3.653413868816109,2.7490123320718536,0.7524502919135939
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,2TquMDieEiixty8AN,VALIDATION_0_T,10,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.2816279932097676,1.0,0.0,1.6188762859073904,1.2396025138036724,0.7657178776381095,9.999999999999996,2.6315789473684212,0.2631578947368422,3.154834667698445,1.7481088920047338,0.5541047554419187
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,2khRAszouj8vP8ZfP,VALIDATION_18_C,4,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,1.7690140968039425,1.0,0.0,1.369162270340986,1.166685747818874,0.8521164898360178,4.0,1.680672268907563,0.42016806722689076,1.2182018208630527,0.6597573218688635,0.5415829385326717
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,3,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.1236461436796743,0.9999999999999999,0.0,1.407681940112129,1.2649668518788897,0.898616950202635,3.0,2.1739130434782603,0.7246376811594201,2.2269749294288714,1.6722857305124852,0.7509225669376344
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,3EQGxadfbmAKaACgZ,VALIDATION_5_T,4,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.849458537650126,1.0,0.0,1.3538353471887432,1.1991963601603346,0.8857771091960935,4.0,1.6528925619834711,0.4132231404958678,2.5090659929760752,1.5903730680264068,0.6338506330556972
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,3v9ji6wNY7sXHe8cM,VALIDATION_4_C,7,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,4.162167154684459,1.0,0.0,1.4703587443665573,1.116293715925678,0.7591982026172712,6.999999999999997,2.247191011235955,0.3210272873194223,3.410135014779283,1.3047435729515162,0.38260759978618153
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,5R7YRmti4R5GiJKpi,VALIDATION_7_T,10,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,1.2240144168726461,1.0,0.0,1.548774450037891,1.1203230277062173,0.7233609953204021,9.999999999999996,2.6315789473684212,0.2631578947368422,1.0980526237895691,0.45968583562706633,0.4186373454858759
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,5mhtM66ewYHNxSp4q,VALIDATION_0_C,10,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,2.520722706963738,1.0,0.0,1.6565332900250622,1.0,0.6036703313006591,9.999999999999996,2.6315789473684212,0.2631578947368422,2.4460602969808996,0.0,0.0
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,65crAkEscRbHNJXbW,VALIDATION_10_C,3,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.600142042853393,1.0,0.0,1.2151336908639894,1.1467590214302572,0.9437307434171164,3.0,2.6315789473684212,0.8771929824561404,1.649652794816879,1.2138716245408534,0.7358346122012905
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,6BxRfLcBtXYodAS8h,VALIDATION_8_C,6,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.2259151828068195,0.9999999999999999,0.0,1.5016571155042717,1.2327341618112104,0.8209158729269869,5.999999999999998,1.8518518518518514,0.308641975308642,2.704296400325876,1.52175449338061,0.5627173460709536
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,6Pxb9DsQpyk22cJNr,VALIDATION_1_C,3,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,1.535472600552717,1.0,0.0,1.3471593593206328,1.2349063812062824,0.9166743137419472,3.0,2.02020202020202,0.6734006734006733,1.011717240868586,0.7537338236546187,0.7450044273314136
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,6pQRuemJv5faRcZft,VALIDATION_9_T,15,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.828000295870744,1.0,0.0,1.5597367505242832,1.1802940531360042,0.7567264493442661,14.999999999999995,2.247191011235955,0.14981273408239706,3.5062439759047797,1.6791043518364483,0.4788897644817083
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,6sSM4xSyZQkaxyHav,VALIDATION_5_C,4,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.114354670917861,1.0,0.0,1.3922297325407242,1.0532397805084552,0.7565129201675391,4.0,1.6528925619834711,0.4132231404958678,2.2221821317101034,0.5600698840532008,0.25203599473738597
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,7FQezekfKk3zctLN8,VALIDATION_17_T,19,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.923833253440947,0.9999999999999999,0.0,1.672500700429656,1.078481402825248,0.6448316598900032,18.99999999999999,2.1739130434782603,0.11441647597254008,3.949680793188276,1.084889058995213,0.2746776551832344
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,7Y6PBvgZNqtriKzaZ,VALIDATION_8_T,6,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.9643105260793376,1.0,0.0,1.5164307841364897,1.2326692608823793,0.8128753872431478,5.999999999999998,2.247191011235955,0.37453183520599265,3.3848985473937967,2.010516534645429,0.5939665566028342
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,7oRFMBwqmesGX7t3H,VALIDATION_15_C,13,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,2.758664794080282,1.0,0.0,1.620050018778341,1.077602034653855,0.6651659036221986,12.999999999999995,2.247191011235955,0.17286084701815047,2.6419977695074937,0.7734991178486228,0.2927705415863444
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,7tfDsTHHnxsgrhE3d,VALIDATION_16_T,10,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,2.6861239853746395,1.0,0.0,1.771535418179058,1.7562377519255434,0.9913647415137549,9.999999999999996,2.247191011235955,0.2247191011235956,2.977661882952584,2.710248739035188,0.9101935832780871
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,7ywewvEuctuz4Rq8j,VALIDATION_3_C,6,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,2.693948825705198,1.0,0.0,1.4632160823438949,1.1079798520372652,0.7572223032584605,5.999999999999998,2.247191011235955,0.37453183520599265,2.1780618520371515,0.9178777101685327,0.4214194878396301
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,8GneB6qmtDLSnbcJT,VALIDATION_4_T,7,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,4.177941410802461,1.0,0.0,1.5203435818098432,1.100254603888595,0.7236881301388683,6.999999999999997,2.4096385542168672,0.3442340791738383,3.598539058457959,1.3804567883323096,0.3836158968700651
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,925LF9k9CXpz8KjQm,VALIDATION_11_T,12,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.6957634928651903,1.0,0.0,1.5715030190776953,1.402348902659118,0.8923615708241829,11.999999999999998,2.247191011235955,0.1872659176029963,3.4228813113014906,2.4744700580926318,0.7229202046599033
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,9oyspxPncwXdAkruR,VALIDATION_2_C,4,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,1.2802701173174003,1.0,0.0,1.4378242581129614,1.3228680731172564,0.920048514728374,4.0,2.02020202020202,0.505050505050505,0.9789090563864875,0.7447407228727132,0.7607864264958631
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,AJ4ikZuWJeJcEXhgZ,VALIDATION_3_T,6,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,1.8275602553452222,0.9999999999999999,0.0,1.3321954867456707,1.0222320353287153,0.7673288533846155,5.999999999999998,2.1739130434782603,0.36231884057971014,1.184958271789469,0.27848806258792275,0.23501929917528908
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,ASQtYBWx6cGN27KxL,VALIDATION_12_C,6,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.1896783555662105,0.9999999999999999,0.0,1.3795773840046435,1.1990403380086128,0.8691359773730365,5.999999999999998,2.1739130434782603,0.36231884057971014,2.2995260196128697,1.451294708201273,0.6311277610355553
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,Aj2G7CTuhLZ7Z2SPK,VALIDATION_6_C,13,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,1.9602024321347906,1.0,0.0,1.6725991071804176,1.0518543601759829,0.6288741609752174,12.999999999999995,2.6315789473684212,0.20242914979757096,1.9969736718319233,0.4737193326496629,0.23721861701616556
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,AyQkFs97hRTki5zWR,VALIDATION_14_T,6,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,3.500450055999515,1.0,0.0,1.6346125471081658,1.0975211049703852,0.6714258415011175,5.999999999999998,2.247191011235955,0.37453183520599265,3.3745460479388827,1.1139270808835713,0.3300968678628462
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,C5Cd8Yq5dDbdycXKB,VALIDATION_14_C,6,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,1.5565157110085,1.0,0.0,1.4736337880953583,1.1607006088050356,0.7876452197158275,5.999999999999998,2.1561017680034498,0.3593502946672417,1.2798914367085907,0.6285490006478008,0.491095559061007
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,CbDvrXGkphmfGtH3G,VALIDATION_13_C,16,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,1.769370580556347,1.0,0.0,1.6866654470432738,1.4818056988275332,0.878541563429274,16.0,2.247191011235955,0.1404494382022472,1.823306396822612,1.332934340408821,0.7310533998738014
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,CoHyYysb84APn5gDE,VALIDATION_18_T,4,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,1.0678483400769556,1.0,0.0,1.471331679434892,1.1472300597753782,0.7797222582850968,4.0,2.02020202020202,0.505050505050505,0.8601839952288983,0.41120532533147025,0.478043450717828
Public goods game,No persona,0,no_persona_to_pgg_stratified_40_top3_gpt_5_mini_seed_2,DYFJDsdGg8bppBJ7P,VALIDATION_12_T,6,8,mean_contribution_rate|full_contribution_rate|zero_contribution_rate|contribution_sd|messages_per_round|reward_given_round_rate|punish_given_round_rate|punish_received_round_rate,2.335749706782183,0.9999999999999999,0.0,1.4275230405920596,1.0438802246624745,0.7312528029176533,5.999999999999998,2.173913043478261,0.3623188405797103,1.8053154183839872,0.5032569782174001,0.2787640171310819
