game,persona_source,persona_order,run,unit_id,treatment_name,n_players,top1_total,top1_unique_players,top1_effective_n,top1_effective_n_share_of_players,top1_top_player,top1_top_player_count,top1_top_player_share,uniform_null_low,uniform_null_mean,uniform_null_high,excess_modal_share
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2KKC9nMd8nRXfgH5G,VALIDATION_19_C,4,32,3,2.2208524585450715,0.5552131146362679,GORILLA,18,0.5625,0.28125,0.343021875,0.4375,0.21947812500000002
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,4,32,3,2.193800143154352,0.548450035788588,GORILLA,19,0.59375,0.28125,0.343021875,0.4375,0.250728125
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2TquMDieEiixty8AN,VALIDATION_0_T,10,32,4,3.0963991630307413,0.30963991630307414,RABBIT,13,0.40625,0.15625,0.193640625,0.28125,0.212609375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,2khRAszouj8vP8ZfP,VALIDATION_18_C,4,32,4,3.0185483223920655,0.7546370805980164,DUCK,17,0.53125,0.28125,0.343021875,0.4375,0.18822812500000002
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,3,32,2,1.4575692649810903,0.4858564216603634,GORILLA,28,0.875,0.34375,0.420984375,0.53125,0.454015625
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,3EQGxadfbmAKaACgZ,VALIDATION_5_T,4,32,2,1.8114543351456713,0.45286358378641783,GORILLA,23,0.71875,0.28125,0.343021875,0.4375,0.375728125
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,3v9ji6wNY7sXHe8cM,VALIDATION_4_C,7,32,2,1.3649655016647284,0.19499507166638977,SLOTH,29,0.90625,0.1875,0.238915625,0.3125,0.667334375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,5R7YRmti4R5GiJKpi,VALIDATION_7_T,10,32,4,3.41785180872263,0.341785180872263,OWL,16,0.5,0.15625,0.193640625,0.28125,0.306359375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,5mhtM66ewYHNxSp4q,VALIDATION_0_C,10,32,5,2.17646580194983,0.217646580194983,CHICKEN,25,0.78125,0.15625,0.193640625,0.28125,0.587609375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,65crAkEscRbHNJXbW,VALIDATION_10_C,3,32,3,1.7135323579168615,0.5711774526389538,SLOTH,27,0.84375,0.34375,0.420984375,0.53125,0.422765625
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6BxRfLcBtXYodAS8h,VALIDATION_8_C,6,32,3,2.1024637917818048,0.35041063196363414,SLOTH,23,0.71875,0.1875,0.262771875,0.34375,0.455978125
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6Pxb9DsQpyk22cJNr,VALIDATION_1_C,3,32,3,1.56371133134066,0.5212371104468867,SLOTH,28,0.875,0.34375,0.420984375,0.53125,0.454015625
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6pQRuemJv5faRcZft,VALIDATION_9_T,15,32,5,2.7251572823088885,0.1816771521539259,OWL,22,0.6875,0.125,0.15623125,0.21875,0.53126875
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,6sSM4xSyZQkaxyHav,VALIDATION_5_C,4,32,2,1.4575692649810903,0.3643923162452726,DUCK,28,0.875,0.28125,0.343021875,0.4375,0.531978125
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,7FQezekfKk3zctLN8,VALIDATION_17_T,19,32,5,2.23596424324933,0.11768232859207,GORILLA,25,0.78125,0.09375,0.138953125,0.1875,0.642296875
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,7Y6PBvgZNqtriKzaZ,VALIDATION_8_T,6,32,3,1.56371133134066,0.26061855522344335,CHICKEN,28,0.875,0.1875,0.262771875,0.34375,0.612228125
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,7oRFMBwqmesGX7t3H,VALIDATION_15_C,13,32,3,2.2480046710829824,0.1729234362371525,SLOTH,16,0.5,0.125,0.16825625,0.25,0.33174375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,7tfDsTHHnxsgrhE3d,VALIDATION_16_T,10,32,3,2.3743888938571454,0.23743888938571453,CHICKEN,18,0.5625,0.15625,0.193640625,0.28125,0.368859375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,7ywewvEuctuz4Rq8j,VALIDATION_3_C,6,32,3,2.327774743589413,0.38796245726490214,SLOTH,21,0.65625,0.1875,0.262771875,0.34375,0.393478125
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,8GneB6qmtDLSnbcJT,VALIDATION_4_T,7,32,3,2.8387205126507515,0.4055315018072502,DOG,14,0.4375,0.1875,0.238915625,0.3125,0.198584375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,925LF9k9CXpz8KjQm,VALIDATION_11_T,12,32,4,2.5057313231569647,0.20881094359641372,SLOTH,17,0.53125,0.125,0.175390625,0.25,0.355859375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,9oyspxPncwXdAkruR,VALIDATION_2_C,4,32,3,2.238942669899854,0.5597356674749635,DUCK,17,0.53125,0.28125,0.343021875,0.4375,0.18822812500000002
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,AJ4ikZuWJeJcEXhgZ,VALIDATION_3_T,6,32,4,2.0841907922754097,0.34736513204590164,GORILLA,25,0.78125,0.1875,0.262771875,0.34375,0.518478125
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,ASQtYBWx6cGN27KxL,VALIDATION_12_C,6,32,4,1.9585724475982536,0.3264287412663756,GORILLA,26,0.8125,0.1875,0.262771875,0.34375,0.549728125
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,Aj2G7CTuhLZ7Z2SPK,VALIDATION_6_C,13,32,4,2.63939030218995,0.20303002324538078,RABBIT,20,0.625,0.125,0.16825625,0.25,0.45674375
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,AyQkFs97hRTki5zWR,VALIDATION_14_T,6,32,4,3.4577907210939838,0.576298453515664,SLOTH,12,0.375,0.1875,0.262771875,0.34375,0.11222812500000001
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,C5Cd8Yq5dDbdycXKB,VALIDATION_14_C,6,32,5,2.6809591981221486,0.4468265330203581,CHICKEN,22,0.6875,0.1875,0.262771875,0.34375,0.424728125
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,CbDvrXGkphmfGtH3G,VALIDATION_13_C,16,32,8,6.739801754097088,0.421237609631068,SLOTH,9,0.28125,0.09375,0.150709375,0.21875,0.130540625
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,CoHyYysb84APn5gDE,VALIDATION_18_T,4,32,2,1.9649456432116543,0.4912364108029136,GORILLA,19,0.59375,0.28125,0.343021875,0.4375,0.250728125
Public goods game,Demographic surveys,0,argyle_anes2016_backstory_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,DYFJDsdGg8bppBJ7P,VALIDATION_12_T,6,32,5,3.62016042770678,0.6033600712844633,SLOTH,17,0.53125,0.1875,0.262771875,0.34375,0.268478125
