tag,alignment_score,k_with,k_without,n_with,n_without,sil_with,sil_without,db_with,db_without
PUNISHMENT,0.6931610355619523,6,7,1812,1879,0.40648627281188965,0.3860865831375122,0.785823929728033,0.7955402862821002
REWARD,0.17221586895087015,6,7,1815,1876,0.3803881108760834,0.4005562365055084,0.8019534789275599,0.7593053401622828
COMMUNICATION,0.4225330219088372,7,6,1870,1821,0.37168416380882263,0.39154675602912903,0.8562553342540946,0.8607853524942618
