tag,alignment_score_orig,k_with_orig,k_without_orig,n_with_orig,n_without_orig,sil_with_orig,sil_without_orig,db_with_orig,db_without_orig,ch_with_orig,ch_without_orig,alignment_score_delex,k_with_delex,k_without_delex,n_with_delex,n_without_delex,sil_with_delex,sil_without_delex,db_with_delex,db_without_delex,ch_with_delex,ch_without_delex
PUNISHMENT,1.0447961653384783,6,7,1812,1879,0.4398606419563293,0.4087656736373901,0.7051422797767944,0.7934746007800694,2272.772705078125,2173.789306640625,0.5714836469996344,6,7,1812,1879,0.438320130109787,0.4485348761081695,0.7105831165774038,0.7218990116707413,2460.272705078125,2297.9375
REWARD,0.9321677664303322,6,7,1815,1876,0.4184918403625488,0.4525707960128784,0.7298776778457055,0.7445483698061669,1946.0533447265625,2753.883056640625,0.4895360698369108,6,7,1815,1876,0.3953585028648376,0.4164086580276489,0.8373763232274252,0.7756516731162945,2227.023681640625,2462.980712890625
COMMUNICATION,0.8860834831616803,7,6,1870,1821,0.4056477844715118,0.466750830411911,0.7444594728378969,0.7010443972046914,2145.79638671875,2986.69287109375,0.3602475155860153,7,6,1870,1821,0.4007272720336914,0.4136203527450561,0.7926840550164352,0.7536895716264116,2150.386474609375,2232.404052734375
