Event.Index;UTC.Timestamp;UTC.Date;Local.Timestamp;Local.Timezone;Local.Date;Experiment.ID;Experiment.Version;Tree.Node.Key;Repeat.Key;Schedule.ID;Participant.Public.ID;Participant.Private.ID;Participant.Starting.Group;Participant.Status;Participant.Completion.Code;Participant.External.Session.ID;Participant.Device.Type;Participant.Device;Participant.OS;Participant.Browser;Participant.Monitor.Size;Participant.Viewport.Size;Checkpoint;Task.Name;Task.Version;randomiser.3zw7;randomiser.tygv;randomiser.eo93;branch.wr7f;branch.9coe;branch.rxc5;branch.fz1e;branch.kqoq;branch.56os;branch.bnrh;branch.l7jq;branch.gk6r;branch.6ucl;Randomise.questionnaire.elements.;Question.Key;Response
8;1,65E+12;07/06/2022 15:57:23;1,65E+12;2;07/06/2022 17:57:24;89054;12;questionnaire-89wj;NA;22341804;5e9cc130eb6b29000b962775;6585672;NA;complete;NA;629f752bcb066f97da8da3ad;computer;Desktop or Laptop;Windows 10;Chrome 102.0.5005.61;1920x1080;2133x1081;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_1;accept;Consent;;;;;Continue;;Continue;;No;education;High school degree or equivalent
9;1,65E+12;07/06/2022 15:57:23;1,65E+12;2;07/06/2022 17:57:24;89054;12;questionnaire-89wj;NA;22341804;5e9cc130eb6b29000b962775;6585672;NA;complete;NA;629f752bcb066f97da8da3ad;computer;Desktop or Laptop;Windows 10;Chrome 102.0.5005.61;1920x1080;2133x1081;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_1;accept;Consent;;;;;Continue;;Continue;;No;education-quantised;2
10;1,65E+12;07/06/2022 15:57:23;1,65E+12;2;07/06/2022 17:57:24;89054;12;questionnaire-89wj;NA;22341804;5e9cc130eb6b29000b962775;6585672;NA;complete;NA;629f752bcb066f97da8da3ad;computer;Desktop or Laptop;Windows 10;Chrome 102.0.5005.61;1920x1080;2133x1081;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_1;accept;Consent;;;;;Continue;;Continue;;No;education-text;
11;1,65E+12;07/06/2022 15:57:23;1,65E+12;2;07/06/2022 17:57:24;89054;12;questionnaire-89wj;NA;22341804;5e9cc130eb6b29000b962775;6585672;NA;complete;NA;629f752bcb066f97da8da3ad;computer;Desktop or Laptop;Windows 10;Chrome 102.0.5005.61;1920x1080;2133x1081;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_1;accept;Consent;;;;;Continue;;Continue;;No;END QUESTIONNAIRE;13656
1;1,65E+12;07/06/2022 15:57:30;1,65E+12;1;07/06/2022 16:57:30;89054;12;questionnaire-89wj;NA;22341821;60916bcb7a32838a66b8cb82;6585670;NA;complete;NA;629f7519098b9d58b89dbe8c;computer;Desktop or Laptop;Mac OS 10.15;Firefox 100.0;1280x800;1246x662;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;BEGIN QUESTIONNAIRE;
2;1,65E+12;07/06/2022 15:57:45;1,65E+12;1;07/06/2022 16:57:45;89054;12;questionnaire-89wj;NA;22341821;60916bcb7a32838a66b8cb82;6585670;NA;complete;NA;629f7519098b9d58b89dbe8c;computer;Desktop or Laptop;Mac OS 10.15;Firefox 100.0;1280x800;1231x662;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;age;27
3;1,65E+12;07/06/2022 15:57:45;1,65E+12;1;07/06/2022 16:57:45;89054;12;questionnaire-89wj;NA;22341821;60916bcb7a32838a66b8cb82;6585670;NA;complete;NA;629f7519098b9d58b89dbe8c;computer;Desktop or Laptop;Mac OS 10.15;Firefox 100.0;1280x800;1231x662;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;age-quantised;11
4;1,65E+12;07/06/2022 15:57:45;1,65E+12;1;07/06/2022 16:57:45;89054;12;questionnaire-89wj;NA;22341821;60916bcb7a32838a66b8cb82;6585670;NA;complete;NA;629f7519098b9d58b89dbe8c;computer;Desktop or Laptop;Mac OS 10.15;Firefox 100.0;1280x800;1231x662;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;gender;Male
5;1,65E+12;07/06/2022 15:57:45;1,65E+12;1;07/06/2022 16:57:45;89054;12;questionnaire-89wj;NA;22341821;60916bcb7a32838a66b8cb82;6585670;NA;complete;NA;629f7519098b9d58b89dbe8c;computer;Desktop or Laptop;Mac OS 10.15;Firefox 100.0;1280x800;1231x662;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;gender-quantised;2
6;1,65E+12;07/06/2022 15:57:45;1,65E+12;1;07/06/2022 16:57:45;89054;12;questionnaire-89wj;NA;22341821;60916bcb7a32838a66b8cb82;6585670;NA;complete;NA;629f7519098b9d58b89dbe8c;computer;Desktop or Laptop;Mac OS 10.15;Firefox 100.0;1280x800;1231x662;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;nationality;Portugal
