Event.Index;UTC.Timestamp;UTC.Date;Local.Timestamp;Local.Timezone;Local.Date;Experiment.ID;Experiment.Version;Tree.Node.Key;Repeat.Key;Schedule.ID;Participant.Public.ID;Participant.Private.ID;Participant.Starting.Group;Participant.Status;Participant.Completion.Code;Participant.External.Session.ID;Participant.Device.Type;Participant.Device;Participant.OS;Participant.Browser;Participant.Monitor.Size;Participant.Viewport.Size;Checkpoint;Task.Name;Task.Version;randomiser.3zw7;randomiser.tygv;randomiser.eo93;branch.wr7f;branch.9coe;branch.rxc5;branch.fz1e;branch.kqoq;branch.56os;branch.bnrh;branch.l7jq;branch.gk6r;branch.6ucl;Randomise.questionnaire.elements.;Question.Key;Response
8;1,65E+12;07/06/2022 15:59:18;1,65E+12;2;07/06/2022 17:59:15;89054;12;questionnaire-89wj;NA;22341869;5e84b9cd3c01b3072fac9470;6585680;NA;complete;NA;629f754a45b7df917bbbe241;computer;Desktop or Laptop;Windows 7;Firefox 101.0;1920x1080;1920x908;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;education;Master's degree (e.g. MA / MSc / MEd)
9;1,65E+12;07/06/2022 15:59:18;1,65E+12;2;07/06/2022 17:59:15;89054;12;questionnaire-89wj;NA;22341869;5e84b9cd3c01b3072fac9470;6585680;NA;complete;NA;629f754a45b7df917bbbe241;computer;Desktop or Laptop;Windows 7;Firefox 101.0;1920x1080;1920x908;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;education-quantised;4
10;1,65E+12;07/06/2022 15:59:18;1,65E+12;2;07/06/2022 17:59:15;89054;12;questionnaire-89wj;NA;22341869;5e84b9cd3c01b3072fac9470;6585680;NA;complete;NA;629f754a45b7df917bbbe241;computer;Desktop or Laptop;Windows 7;Firefox 101.0;1920x1080;1920x908;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;education-text;
11;1,65E+12;07/06/2022 15:59:18;1,65E+12;2;07/06/2022 17:59:15;89054;12;questionnaire-89wj;NA;22341869;5e84b9cd3c01b3072fac9470;6585680;NA;complete;NA;629f754a45b7df917bbbe241;computer;Desktop or Laptop;Windows 7;Firefox 101.0;1920x1080;1920x908;NA;Socio_Demographic_Characteristics;10;NoAdjudication;Version_1;;accept;Consent;Continue;Continue;;;;;;;No;END QUESTIONNAIRE;20649
1;1,65E+12;07/06/2022 15:59:25;1,65E+12;2;07/06/2022 17:59:25;89054;12;questionnaire-89wj;NA;22341882;5b62fd6b11f749000157f863;6585683;NA;complete;NA;629f754de408e8b27605e07c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;2048x1152;2048x1002;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;BEGIN QUESTIONNAIRE;
2;1,65E+12;07/06/2022 15:59:45;1,65E+12;2;07/06/2022 17:59:45;89054;12;questionnaire-89wj;NA;22341882;5b62fd6b11f749000157f863;6585683;NA;complete;NA;629f754de408e8b27605e07c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;2048x1152;2048x1002;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;age;22
3;1,65E+12;07/06/2022 15:59:45;1,65E+12;2;07/06/2022 17:59:45;89054;12;questionnaire-89wj;NA;22341882;5b62fd6b11f749000157f863;6585683;NA;complete;NA;629f754de408e8b27605e07c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;2048x1152;2048x1002;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;age-quantised;6
4;1,65E+12;07/06/2022 15:59:45;1,65E+12;2;07/06/2022 17:59:45;89054;12;questionnaire-89wj;NA;22341882;5b62fd6b11f749000157f863;6585683;NA;complete;NA;629f754de408e8b27605e07c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;2048x1152;2048x1002;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;gender;Male
5;1,65E+12;07/06/2022 15:59:45;1,65E+12;2;07/06/2022 17:59:45;89054;12;questionnaire-89wj;NA;22341882;5b62fd6b11f749000157f863;6585683;NA;complete;NA;629f754de408e8b27605e07c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;2048x1152;2048x1002;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;gender-quantised;2
6;1,65E+12;07/06/2022 15:59:45;1,65E+12;2;07/06/2022 17:59:45;89054;12;questionnaire-89wj;NA;22341882;5b62fd6b11f749000157f863;6585683;NA;complete;NA;629f754de408e8b27605e07c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;2048x1152;2048x1002;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;nationality;Hungary
7;1,65E+12;07/06/2022 15:59:45;1,65E+12;2;07/06/2022 17:59:45;89054;12;questionnaire-89wj;NA;22341882;5b62fd6b11f749000157f863;6585683;NA;complete;NA;629f754de408e8b27605e07c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;2048x1152;2048x1002;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;nationality-quantised;74
8;1,65E+12;07/06/2022 15:59:45;1,65E+12;2;07/06/2022 17:59:45;89054;12;questionnaire-89wj;NA;22341882;5b62fd6b11f749000157f863;6585683;NA;complete;NA;629f754de408e8b27605e07c;computer;Desktop or Laptop;Windows 10;Chrome 102.0.0.0;2048x1152;2048x1002;NA;Socio_Demographic_Characteristics;10;Adjudication;;Version_2;accept;Consent;;;;;;Continue;;Continue;No;education;Bachelor's degree (e.g. BA / BS)
