metric,run_id_a,run_label_a,run_id_b,run_label_b,n_a,n_b,mean_a,mean_b,diff_a_minus_b,se_diff,z_score,p_value,p_value_bh,significant_0_05,significant_bh_0_05
contrib_mae,2602262019,no archetype,2602270203,oracle archetype,2810,4873,4.068327402135231,3.4598809768109993,0.6084464253242317,0.16216934834694194,3.75192002389091,0.00017548544968737367,0.0002339805995831649,True,True
contrib_mae,2602262019,no archetype,2602270212,retrieved archetype,2810,5158,4.068327402135231,3.7846064366033345,0.2837209655318964,0.1624922044240121,1.7460589357969831,0.08080071136604583,0.0881462305811409,False,False
contrib_mae,2602262019,no archetype,2602270902,random archetype,2810,5134,4.068327402135231,4.437475652512661,-0.36914825037742993,0.16729595802732958,-2.206558094590221,0.02734494733892312,0.032813936806707744,True,True
contrib_mae,2602270203,oracle archetype,2602270212,retrieved archetype,4873,5158,3.4598809768109993,3.7846064366033345,-0.32472545979233525,0.13359442241563624,-2.4306812658844095,0.015070465557691204,0.01903637754655731,True,True
contrib_mae,2602270203,oracle archetype,2602270902,random archetype,4873,5134,3.4598809768109993,4.437475652512661,-0.9775946757016616,0.13939759960011697,-7.012995048021195,2.332800619342379e-12,3.999086776015507e-12,True,True
contrib_mae,2602270212,retrieved archetype,2602270902,random archetype,5158,5134,3.7846064366033345,4.437475652512661,-0.6528692159093263,0.1397730651076153,-4.670922937882657,2.998494226247317e-06,4.233168319407977e-06,True,True
target_f1,2602262019,no archetype,2602270203,oracle archetype,2810,4873,0.4831506048320995,0.6680769796782146,-0.18492637484611507,0.011137489616434609,-16.603954860100213,0.0,0.0,True,True
target_f1,2602262019,no archetype,2602270212,retrieved archetype,2810,5158,0.4831506048320995,0.6582313033129404,-0.17508069848084096,0.011101672267448163,-15.770659974732357,0.0,0.0,True,True
target_f1,2602262019,no archetype,2602270902,random archetype,2810,5134,0.4831506048320995,0.5578324450686271,-0.07468184023652757,0.011265215649638399,-6.629419494417293,3.370104195710155e-11,5.3921667131362484e-11,True,True
target_f1,2602270203,oracle archetype,2602270212,retrieved archetype,4873,5158,0.6680769796782146,0.6582313033129404,0.009845676365274114,0.009033669252716953,1.0898867436742765,0.2757630367286552,0.28775273397772716,False,False
target_f1,2602270203,oracle archetype,2602270902,random archetype,4873,5134,0.6680769796782146,0.5578324450686271,0.1102445346095875,0.009233912316375652,11.939092643762393,0.0,0.0,True,True
target_f1,2602270212,retrieved archetype,2602270902,random archetype,5158,5134,0.6582313033129404,0.5578324450686271,0.10039885824431338,0.009190679454977898,10.923986494810773,0.0,0.0,True,True
action_exact_match,2602262019,no archetype,2602270203,oracle archetype,2810,4873,0.4202846975088968,0.5922429714754771,-0.1719582739665803,0.011674956396729937,-14.72881509131327,0.0,0.0,True,True
action_exact_match,2602262019,no archetype,2602270212,retrieved archetype,2810,5158,0.4202846975088968,0.597712291585886,-0.17742759407698921,0.011548326001798816,-15.363923225699756,0.0,0.0,True,True
action_exact_match,2602262019,no archetype,2602270902,random archetype,2810,5134,0.4202846975088968,0.493961823139852,-0.07367712563095519,0.011637645763532968,-6.33093042424658,2.436872925670741e-10,3.6553093885061116e-10,True,True
action_exact_match,2602270203,oracle archetype,2602270212,retrieved archetype,4873,5158,0.5922429714754771,0.597712291585886,-0.005469320110408904,0.009807831522726327,-0.5576482525964692,0.5770846000649144,0.5770846000649144,False,False
action_exact_match,2602270203,oracle archetype,2602270902,random archetype,4873,5134,0.5922429714754771,0.493961823139852,0.09828114833562512,0.009912846445488725,9.914523429378074,0.0,0.0,True,True
action_exact_match,2602270212,retrieved archetype,2602270902,random archetype,5158,5134,0.597712291585886,0.493961823139852,0.10375046844603403,0.009763388306838757,10.626481830427876,0.0,0.0,True,True
target_hit_any,2602262019,no archetype,2602270203,oracle archetype,2810,4873,0.5192170818505338,0.7092140365278062,-0.1899969546772724,0.011454156822206943,-16.587598513485737,0.0,0.0,True,True
target_hit_any,2602262019,no archetype,2602270212,retrieved archetype,2810,5158,0.5192170818505338,0.6915471112834431,-0.17233002943290932,0.011411893504462658,-15.100914617326133,0.0,0.0,True,True
target_hit_any,2602262019,no archetype,2602270902,random archetype,2810,5134,0.5192170818505338,0.6026490066225165,-0.08343192477198269,0.011641300447454503,-7.166890430203267,7.671641100159832e-13,1.4163029723371996e-12,True,True
target_hit_any,2602270203,oracle archetype,2602270212,retrieved archetype,4873,5158,0.7092140365278062,0.6915471112834431,0.017666925244363085,0.00914836989465993,1.9311555444074897,0.05346381976902137,0.06110150830745299,False,False
target_hit_any,2602270203,oracle archetype,2602270902,random archetype,4873,5134,0.7092140365278062,0.6026490066225165,0.10656502990528971,0.009432986509066337,11.29706162548486,0.0,0.0,True,True
target_hit_any,2602270212,retrieved archetype,2602270902,random archetype,5158,5134,0.6915471112834431,0.6026490066225165,0.08889810466092662,0.009381622425237263,9.475770888176452,0.0,0.0,True,True
