factor,direction,split,eval_granularity,n_train_rows,n_test_rows,n_train_unique_configs,n_test_unique_configs,n_overlap_configs,unseen_test_share,train_mean_target,oracle_test_config_mean_r2,oracle_test_config_mean_r2_oos_train_mean,oracle_test_config_mean_rmse,oracle_test_config_mean_mae,train_to_test_config_mean_r2,train_to_test_config_mean_r2_oos_train_mean,train_to_test_config_mean_rmse,train_to_test_config_mean_mae
all_or_nothing,false_to_true,all_or_nothing/false_to_true,game,104,102,100,20,0,1.0,0.8100281250854819,0.23400327096584095,0.2406108206234806,0.1277129493327886,0.1009205838793083,-0.008701137489297128,0.0,0.14655570605996915,0.12234403934377668
all_or_nothing,false_to_true,all_or_nothing/false_to_true,config_treatment,100,18,100,18,0,1.0,0.8089202339683493,1.0,1.0,0.0,0.0,-0.004363066868026566,0.0,0.08521470294067365,0.06831073723766022
all_or_nothing,true_to_false,all_or_nothing/true_to_false,game,110,147,109,22,0,1.0,0.8336809182007239,0.261704164545265,0.2730221252506383,0.11617309762239805,0.08708699320193856,-0.01556850778887231,0.0,0.13625265471575354,0.1045485846148354
all_or_nothing,true_to_false,all_or_nothing/true_to_false,config_treatment,106,22,106,22,0,1.0,0.8354372476974371,1.0,1.0,0.0,0.0,-0.05564505418812993,0.0,0.07836393784860671,0.06356726582990989
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,game,110,109,105,17,0,1.0,0.8162924259084344,0.21804813355063635,0.222919912352342,0.11845264806515407,0.08804415147066809,-0.006269339388753625,0.0,0.1343729599285287,0.10692203276926109
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,config_treatment,102,16,102,16,0,1.0,0.8165952205070716,1.0,1.0,0.0,0.0,-0.010993558507490508,0.0,0.07715909294137038,0.06277530528605042
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,game,104,140,104,25,0,1.0,0.8284197996254032,0.26850253114507316,0.2758508953206438,0.12300518024976735,0.09642053604336855,-0.010147584424376799,0.0,0.14454710656153177,0.11452145281866226
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,config_treatment,104,24,104,24,0,1.0,0.8284197996254032,1.0,1.0,0.0,0.0,-0.035471461401239024,0.0,0.08455391425136378,0.06657327924565808
mpcr,high_to_low,mpcr/high_to_low,game,105,134,101,22,0,1.0,0.8282641280886833,0.3033987038176166,0.30355287926794383,0.10571576103224173,0.07897088552926913,-0.00022137423752321972,0.0,0.1266763866460257,0.09967728568662595
mpcr,high_to_low,mpcr/high_to_low,config_treatment,100,22,100,22,0,1.0,0.8295101718634335,1.0,1.0,0.0,0.0,-0.0003076400751298447,0.0,0.08085062625685693,0.06574034381075948
mpcr,low_to_high,mpcr/low_to_high,game,109,115,108,20,0,1.0,0.8163311244188807,0.1976992474189695,0.2004812048361354,0.13673396886949765,0.10881381648219439,-0.003479539735642856,0.0,0.15291922244916592,0.12578317646941153
mpcr,low_to_high,mpcr/low_to_high,config_treatment,106,18,106,18,0,1.0,0.8160127779850934,1.0,1.0,0.0,0.0,-0.11654070907400293,0.0,0.07961542440985679,0.06336698216161252
num_rounds,high_to_low,num_rounds/high_to_low,game,107,132,105,20,0,1.0,0.8420278399048056,0.2125210636219066,0.26965658009446325,0.11695229680795369,0.09299662929112822,-0.07823102791827252,0.0,0.13685012387638198,0.10982276641558664
num_rounds,high_to_low,num_rounds/high_to_low,config_treatment,104,18,104,18,0,1.0,0.8431262737775889,1.0,1.0,0.0,0.0,-0.677136206019745,0.0,0.09166528617530001,0.07270776955723794
num_rounds,low_to_high,num_rounds/low_to_high,game,107,117,104,22,0,1.0,0.8023443658051921,0.26624944335163103,0.3028372023947282,0.12547842867167863,0.09247976487132896,-0.052480940131594656,0.0,0.15028027099066849,0.12325919591545025
num_rounds,low_to_high,num_rounds/low_to_high,config_treatment,102,22,102,22,0,1.0,0.801600384116608,1.0,1.0,0.0,0.0,-0.14262673005103932,0.0,0.08751157861989219,0.07587887596203839
player_count,high_to_low,player_count/high_to_low,game,94,170,93,21,0,1.0,0.8041543938333099,0.1860032422825454,0.19573125501143784,0.13009857828709473,0.1014282505265618,-0.01209547528672239,0.0,0.14506811060911043,0.11392287093707568
player_count,high_to_low,player_count/high_to_low,config_treatment,92,20,92,20,0,1.0,0.8049095923521964,1.0,1.0,0.0,0.0,-0.0526064529162511,0.0,0.0656933077419097,0.05396616173231446
player_count,low_to_high,player_count/low_to_high,game,120,79,116,21,0,1.0,0.836310941588655,0.4195341068934414,0.43001449508150436,0.09874284791478533,0.07408715147922673,-0.01838711352767053,0.0,0.13078976009213594,0.11063466641047702
player_count,low_to_high,player_count/low_to_high,config_treatment,114,20,114,20,0,1.0,0.836813062775098,1.0,1.0,0.0,0.0,-0.13387375175376115,0.0,0.09966323123546261,0.08269463122855505
reward_exists,false_to_true,reward_exists/false_to_true,game,117,137,113,22,0,1.0,0.813544799708061,0.26026661301447984,0.26386128564383715,0.11176459837692401,0.08621978444736594,-0.0048831457431242065,0.0,0.1302640068329662,0.1020378790105298
reward_exists,false_to_true,reward_exists/false_to_true,config_treatment,110,22,110,22,0,1.0,0.8127919303692306,1.0,1.0,0.0,0.0,-0.0029911431532680943,0.0,0.07608333622535257,0.06310665058507807
