eval_granularity,n_splits,mean_unseen_test_share,mean_oracle_r2,mean_oracle_r2_oos_train_mean,mean_oracle_rmse,mean_train_to_test_r2,mean_train_to_test_r2_oos_train_mean,mean_train_to_test_rmse
config_treatment,18,1.0,1.0,1.0,0.0,-0.12421674182012477,0.0,0.08310632447381344
game,18,1.0,0.25652880744714257,0.2712413227558018,0.11898264683700657,-0.021159674730368123,0.0,0.13927320528019316
