style_source,eval_granularity,model,n_splits,r2_win_rate,r2_oos_train_mean_win_rate,rmse_win_rate,mae_win_rate,r2_rmse_win_rate,all3_win_rate,mean_delta_r2,mean_delta_r2_oos_train_mean,mean_delta_rmse,mean_delta_mae,median_delta_r2,median_delta_r2_oos_train_mean,median_delta_rmse,median_delta_mae
oracle,config_treatment,linear,18,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.14821158150657612,0.14425401456683465,-0.00578333397872257,-0.004448741269913306,0.21330284040085962,0.1721686769921884,-0.007877133941304619,-0.0068241971502534735
oracle,config_treatment,ridge,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.16022805208841664,0.15385309383390325,-0.006669425864739532,-0.004497614033799387,0.22235288892004323,0.19342564992032152,-0.009316688885883374,-0.006722076996908646
oracle,game,linear,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.15798203866781707,0.15610269890004103,-0.010886954521790391,-0.010750731136625929,0.1705191229882178,0.1700239296482563,-0.0121675657502857,-0.009903777742574074
oracle,game,ridge,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.16727397104305586,0.16509093976554132,-0.011642287832434352,-0.011542373732201723,0.17628797081489883,0.17531130871986106,-0.012247959505733264,-0.010026519991569241
synthetic,config_treatment,linear,18,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6111111111111112,0.07542343560360115,0.06949615604209934,-0.0027365251091438884,-0.00232061285093736,0.09608890765355477,0.07893818407341935,-0.0036149071628236787,-0.00022100241025001244
synthetic,config_treatment,ridge,18,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.06617799978300759,0.06149963953071685,-0.0025901996411952875,-0.0026881442369658176,0.07715529946010186,0.054090183951622905,-0.0024014204691867533,-0.001534764567071835
synthetic,game,linear,18,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6666666666666666,0.6111111111111112,0.5555555555555556,0.021156703095463265,0.02107835603441959,-0.001205609007150007,-0.0017052649458593363,0.013403549029217587,0.012986422207938553,-0.0009029846128179447,-0.0018127469169243807
synthetic,game,ridge,18,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.027559858335992504,0.02730391315535893,-0.0016514830013160512,-0.0018239328583218954,0.020294065842312414,0.019854633078500217,-0.0014135531849820832,-0.0012399867562873923
