factor,direction,split,group_col,n_rows,n_groups,n_groups_with_replicates,mean_group_size,median_group_size,mse_floor,rmse_floor,r2_ceiling_test_mean,r2_ceiling_train_mean
all_or_nothing,false_to_true,all_or_nothing/false_to_true,CONFIG_treatmentName,102,18,16,5.666666666666667,6.5,0.0045366445566707115,0.0673546179312949,0.3725250114875457,0.3752508338750925
all_or_nothing,true_to_false,all_or_nothing/true_to_false,CONFIG_treatmentName,147,22,22,6.681818181818182,7.0,0.00244312439808065,0.04942797181840107,0.580017692755006,0.6021557572038343
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,CONFIG_treatmentName,109,16,14,6.8125,7.5,0.0015587880655900217,0.039481490164253195,0.7352955554335677,0.738173955373949
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,CONFIG_treatmentName,140,24,24,5.833333333333333,6.0,0.004602822072016947,0.06784410123228804,0.33335460039912457,0.3561914311972001
mpcr,high_to_low,mpcr/high_to_low,CONFIG_treatmentName,134,22,21,6.090909090909091,6.5,0.003626214396413044,0.06021805706275356,0.4450928929613588,0.4452635521238607
mpcr,low_to_high,mpcr/low_to_high,CONFIG_treatmentName,115,18,17,6.388888888888889,7.0,0.003090645669820007,0.055593575796309476,0.4555859174300222,0.5124100015829385
num_rounds,high_to_low,num_rounds/high_to_low,CONFIG_treatmentName,132,18,17,7.333333333333333,8.5,0.0020644321879147855,0.045436023020449155,0.5879412325309795,0.7543081080773177
num_rounds,low_to_high,num_rounds/low_to_high,CONFIG_treatmentName,117,22,21,5.318181818181818,6.0,0.004465843608880953,0.06682696767683652,0.333689198694638,0.41686048139658083
player_count,high_to_low,player_count/high_to_low,CONFIG_treatmentName,170,20,20,8.5,9.0,0.002528334282010432,0.050282544506124904,0.3833222743125132,0.414142176329075
player_count,low_to_high,player_count/low_to_high,CONFIG_treatmentName,79,20,18,3.95,4.0,0.004242082656881923,0.06513127249549117,0.5157452367808282,0.5729200341129904
reward_exists,false_to_true,reward_exists/false_to_true,CONFIG_treatmentName,137,22,21,6.2272727272727275,7.0,0.003930586286403661,0.06269438799768015,0.31895574050176434,0.32098676628676404
reward_exists,true_to_false,reward_exists/true_to_false,CONFIG_treatmentName,112,18,17,6.222222222222222,7.0,0.002718635582053698,0.052140536840865934,0.627713792528322,0.6681980301768049
show_n_rounds,false_to_true,show_n_rounds/false_to_true,CONFIG_treatmentName,180,28,27,6.428571428571429,7.0,0.0039929982304261515,0.06319017510995005,0.3386613066341021,0.34014248179304074
show_n_rounds,true_to_false,show_n_rounds/true_to_false,CONFIG_treatmentName,69,12,11,5.75,6.5,0.0019670323604929043,0.04435123854519628,0.7068730470285037,0.7492965071650528
show_other_summaries,false_to_true,show_other_summaries/false_to_true,CONFIG_treatmentName,173,26,25,6.653846153846154,7.5,0.004282929655326017,0.06544409564908064,0.33179961298351945,0.49688090631420256
show_other_summaries,true_to_false,show_other_summaries/true_to_false,CONFIG_treatmentName,76,14,13,5.428571428571429,6.0,0.0017180119813836182,0.0414489080843346,0.6713373321019058,0.7348841252157636
show_punishment_id,false_to_true,show_punishment_id/false_to_true,CONFIG_treatmentName,125,20,20,6.25,6.5,0.0022799640776303954,0.04774896938814905,0.5280683995998383,0.534087278155221
show_punishment_id,true_to_false,show_punishment_id/true_to_false,CONFIG_treatmentName,124,20,18,6.2,7.0,0.004490452861261958,0.06701084137109427,0.3731218795311555,0.44481873865568167
