eval_granularity,model,synthetic_beats_oracle_on_r2_gain,synthetic_beats_oracle_on_r2_oos_gain,synthetic_beats_oracle_on_rmse_drop,n_splits
config_treatment,linear,0.3888888888888889,0.3888888888888889,0.3888888888888889,18
config_treatment,ridge,0.3333333333333333,0.3333333333333333,0.3333333333333333,18
game,linear,0.16666666666666666,0.16666666666666666,0.16666666666666666,18
game,ridge,0.1111111111111111,0.1111111111111111,0.1111111111111111,18
