model_name,cue,cue_label,outcome,outcome_label,eligibility_filter,beta,stderr,pvalue,ci_low,ci_high,num_seats,num_games,num_twin_profiles
gpt-5-mini twin,conditional_cooperation,Conditional cooperation,player_punish_round_rate,Punish rate,punishment_enabled,0.43093747788024367,0.026034177667597982,1.5292973892849884e-61,0.3799104896517516,0.4819644661087357,1751,206,1100
gpt-5.1 twin,conditional_cooperation,Conditional cooperation,player_punish_round_rate,Punish rate,punishment_enabled,0.36774830514511736,0.04049244050395471,1.0669554074293629e-19,0.28838312175736613,0.4471134885328686,1751,206,1100
gpt-5-mini twin,cooperation_orientation,Cooperation orientation,player_mean_contribution_rate,Mean contribution,all_games,0.7125819888567018,0.017809603776899077,0.0,0.6776751654539795,0.747488812259424,3582,417,1576
gpt-5.1 twin,cooperation_orientation,Cooperation orientation,player_mean_contribution_rate,Mean contribution,all_games,0.5468529428084393,0.03657830642050996,1.5528556214422637e-50,0.4751594622242398,0.6185464233926389,3582,417,1576
gpt-5-mini twin,cooperation_orientation,Cooperation orientation,player_mean_normalized_payoff,Mean normalized payoff,all_games,-0.5272842314236402,0.028072829243263004,1.045729307760065e-78,-0.5823069767404357,-0.47226148610684476,3582,417,1576
gpt-5.1 twin,cooperation_orientation,Cooperation orientation,player_mean_normalized_payoff,Mean normalized payoff,all_games,-0.49557094499904786,0.03473194343668323,3.4415036106328073e-46,-0.563645554134947,-0.4274963358631487,3582,417,1576
gpt-5-mini twin,cooperation_orientation,Cooperation orientation,player_message_rate,Message rate,chat_enabled,0.20362104538158068,0.02882217513839072,1.6092215489186772e-12,0.1471295821103349,0.2601125086528265,2125,277,1224
gpt-5.1 twin,cooperation_orientation,Cooperation orientation,player_message_rate,Message rate,chat_enabled,0.2999034009436901,0.02766218392800514,2.185215400528361e-27,0.24568552044480002,0.3541212814425802,2125,277,1224
gpt-5-mini twin,cooperation_orientation,Cooperation orientation,player_reward_round_rate,Reward rate,reward_enabled,0.4970339671533359,0.02842461871078312,1.830488639463291e-68,0.441321714480201,0.5527462198264709,1953,230,1207
gpt-5.1 twin,cooperation_orientation,Cooperation orientation,player_reward_round_rate,Reward rate,reward_enabled,0.3512812453035933,0.043842139121777694,1.1248107538441556e-15,0.265350652624909,0.4372118379822776,1953,230,1207
gpt-5-mini twin,generosity_without_return,Generosity without return,player_mean_contribution_rate,Mean contribution,all_games,0.7159765713218994,0.017951791152680915,0.0,0.6807910606626448,0.751162081981154,3582,417,1576
gpt-5.1 twin,generosity_without_return,Generosity without return,player_mean_contribution_rate,Mean contribution,all_games,0.5476606216296515,0.0377375922389834,1.0121396565415499e-47,0.47369494084124397,0.6216263024180589,3582,417,1576
gpt-5-mini twin,generosity_without_return,Generosity without return,player_mean_normalized_payoff,Mean normalized payoff,all_games,-0.525139735459775,0.027865337192823747,3.191643536830825e-79,-0.5797557963577096,-0.47052367456184047,3582,417,1576
gpt-5.1 twin,generosity_without_return,Generosity without return,player_mean_normalized_payoff,Mean normalized payoff,all_games,-0.49842664991633523,0.0352907557281408,2.723888136874813e-45,-0.5675965311434912,-0.4292567686891793,3582,417,1576
gpt-5-mini twin,norm_enforcement,Norm enforcement,player_punish_round_rate,Punish rate,punishment_enabled,0.46177611963356596,0.028125606820651277,1.4135347464031556e-60,0.40664993026508944,0.5169023090020425,1751,206,1100
gpt-5.1 twin,norm_enforcement,Norm enforcement,player_punish_round_rate,Punish rate,punishment_enabled,0.3856395459951936,0.041099160146185885,6.40311606157845e-21,0.3050851921086693,0.46619389988171794,1751,206,1100
