metric_family,metric,distance_kind,bootstrap_mean,bootstrap_median,bootstrap_p05,bootstrap_p95,n_treatments,model_score,median_value
distribution_distance,final_surplus_ratio,wasserstein_1d,0.08676737461778652,0.08238796005675386,0.05056289547768863,0.14191258297316373,2,0.4034255150519843,0.4034255150519843
distribution_distance,proposer_net_surplus,wasserstein_1d,0.25404242149758455,0.2452125420875421,0.15135133033230863,0.38236939137754333,2,1.3698250622163664,1.3698250622163664
distribution_distance,trade_ratio,wasserstein_1d,0.06209180989574257,0.05939945666696872,0.038433128225549736,0.09341760154599829,2,0.4538053099722786,0.4538053099722786
distribution_distance,acceptance_rate,wasserstein_1d,0.04617241253110818,0.042842373005416476,0.010807348850827132,0.09583333333333333,2,0.007767896354852838,0.007767896354852838
distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.26111307020430297,0.2515787671754647,0.16359104501890487,0.38403794501781957,2,0.9697969276094274,0.9697969276094274
distribution_distance,declined_proposer_net_surplus,wasserstein_1d,0.35537293071600706,0.3481313814049126,0.2033891438582542,0.5407973178689331,2,1.779687211249711,1.779687211249711
distribution_distance,accepted_trade_ratio,wasserstein_1d,0.08144185787172703,0.07877584922866956,0.04502603527528095,0.12245211479795902,2,0.3160724056036556,0.3160724056036556
distribution_distance,declined_trade_ratio,wasserstein_1d,0.07277374418969473,0.06951777391354233,0.03987653903879153,0.11588466926136409,2,0.59751726001726,0.59751726001726
distribution_distance,final_total_surplus,wasserstein_1d,1.8441791831357048,1.7575675230566528,1.1377350955204215,3.010034173254282,2,5.927330368906455,5.927330368906455
distribution_distance,mean_player_final_surplus,wasserstein_1d,0.6147263943785682,0.5858558410188842,0.3792450318401406,1.003344724418094,2,1.9757767896354852,1.9757767896354852
