question_id,question,variable_code,variable_label,cond1_label,cond2_label,left_role,right_role,left_treatments,right_treatments,direction,cond1_mean,cond1_sd,cond1_n,cond2_mean,cond2_sd,cond2_n,effect,supports_direction
Q1,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.3715393133997785,0.22816831509922142,43,0.7900332225913622,0.12748687588887314,43,-0.4184939091915837,True
Q2,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.4242857142857142,0.14565089303795592,100,0.3985714285714285,0.1886219268603653,100,0.02571428571428569,True
Q3,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.8008571428571429,0.11376497007399855,50,0.7900332225913622,0.12748687588887314,43,0.010823920265780718,False
Q4,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.415,0.20993301190745625,50,0.3590439276485789,0.20812078489415414,43,0.05595607235142108,False
Q5,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.3360119047619048,0.18055175148432245,48,0.3715393133997785,0.22816831509922142,43,-0.035527408637873736,False
Q6,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.43142857142857144,0.1598546030770547,100,0.39142857142857146,0.17539894744493412,100,0.03999999999999998,True
Q7,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.8143809523809523,0.10192051865866938,50,0.8008571428571429,0.11376497007399855,50,0.013523809523809383,True
Q8,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.4346666666666666,0.22063366449339808,50,0.415,0.20993301190745625,50,0.01966666666666661,True
