baseline,k,num_games,future_rounds,actor_rows,contribution_mae,contribution_rate_mae,contribution_exact_rate,round_payoff_mae,round_coin_gen_mae,round_relative_efficiency_mae,round_normalized_efficiency_mae,total_contribution_mae,total_contribution_rate_mae,target_precision,target_recall,target_f1,target_set_exact_rate,action_exact_match_rate,punish_target_precision,punish_target_recall,punish_target_f1,reward_target_precision,reward_target_recall,reward_target_f1,punish_any_accuracy,reward_any_accuracy,unit_mae_on_overlap,punish_unit_mae_on_overlap,reward_unit_mae_on_overlap,cumulative_future_payoff_mae,actual_future_relative_efficiency,predicted_future_relative_efficiency,future_relative_efficiency_abs_error,actual_future_normalized_efficiency,predicted_future_normalized_efficiency,future_normalized_efficiency_abs_error
ewma,1,136,2565,22257,5.258974704587321,0.262948735229366,0.5591050006739453,15.88026238936065,110.33957115009747,0.3335865658129095,0.3335865658129095,29.601949317738793,0.1843488648385902,0.21272915946039433,0.14989032415305872,0.17586502716614238,0.7949409174641686,0.7930538706923664,0.1263877028181042,0.10720753350235422,0.11601019008426415,0.27151162790697675,0.17153351698806243,0.21024198086662912,0.9052432942445073,0.9227209417261985,1.9252032520325204,4.081081081081081,1.2419700214132763,253.00334168755222,0.8225454639746609,0.6517110860924027,0.294211925155974,0.8225454639746609,0.6517110860924027,0.294211925155974
persistence,1,136,2565,22257,5.258974704587321,0.262948735229366,0.5591050006739453,16.12099564182055,110.33957115009747,0.3335865658129095,0.3335865658129095,29.601949317738793,0.1843488648385902,0.2230659705742762,0.17182549354131124,0.19412129138844908,0.795210495574426,0.7936379565979242,0.12297989751675206,0.11300253531329228,0.11778029445073614,0.290169133192389,0.20165289256198346,0.2379456062411962,0.9052432942445073,0.9227209417261985,1.7063829787234042,3.9038461538461537,1.0819672131147542,258.6591478696742,0.8225454639746609,0.6517110860924027,0.294211925155974,0.8225454639746609,0.6517110860924027,0.294211925155974
within_game_ar,1,136,2565,22257,5.258974704587321,0.262948735229366,0.5591050006739453,15.88026238936065,110.33957115009747,0.3335865658129095,0.3335865658129095,29.601949317738793,0.1843488648385902,0.21272915946039433,0.14989032415305872,0.17586502716614238,0.7949409174641686,0.7930538706923664,0.1263877028181042,0.10720753350235422,0.11601019008426415,0.27151162790697675,0.17153351698806243,0.21024198086662912,0.9052432942445073,0.9227209417261985,1.9252032520325204,4.081081081081081,1.2419700214132763,253.00334168755222,0.8225454639746609,0.6517110860924027,0.294211925155974,0.8225454639746609,0.6517110860924027,0.294211925155974
ewma,3,136,2293,19863,4.025424155464934,0.20127120777324672,0.563308664350803,12.533252781553642,82.2232882686437,0.27709718959910645,0.27709718959910645,21.196249454862624,0.13962263348092765,0.2415071770334928,0.28541136556403734,0.2616301671634055,0.7631274228464985,0.75995569652117,0.14607069821793747,0.21404109589041095,0.17364125716270185,0.30767672675714,0.3205994090333474,0.3140051679586563,0.8983033781402607,0.9267985702059105,1.4526993561168895,2.718,1.0362080315997366,169.42857142857142,0.811759854757948,0.682551705624673,0.24483736656218902,0.811759854757948,0.682551705624673,0.24483736656218902
persistence,3,136,2293,19863,3.8557619694910135,0.19278809847455064,0.6856466797563309,12.64129285606404,79.85608373310075,0.2760157884054614,0.2760157884054614,20.62058438726559,0.13610183461723568,0.26805263739909324,0.3426632739609839,0.30080039709623385,0.7758646730101193,0.7719881186124956,0.14470356841809498,0.2204623287671233,0.17472434266327394,0.34810357403355213,0.4029126213592233,0.3735081197417335,0.9004178623571465,0.9320344358858178,1.3308580858085808,2.4737864077669904,1.0225248821372446,176.99916457811196,0.811759854757948,0.6964196924239652,0.2443728964203775,0.811759854757948,0.6964196924239652,0.2443728964203775
within_game_ar,3,136,2293,19863,4.242611891456477,0.21213059457282385,0.6480894124754569,13.510245179479433,87.29088530309637,0.28126916673545477,0.28126916673545477,23.150021805494983,0.1475668711247777,0.23319682004336303,0.27367825841108284,0.2518210197710718,0.761969491013442,0.7593515581734884,0.13497478493028775,0.19477739726027396,0.15945330296127563,0.30034475765564794,0.3125791473195441,0.30633984900196504,0.8983033781402607,0.9267985702059105,1.4354338842975207,2.8263736263736265,1.0081026333558407,179.02756892230576,0.811759854757948,0.6965687433216196,0.24690890069019214,0.811759854757948,0.6965687433216196,0.24690890069019214
ewma,5,136,2021,17469,3.4232068235159425,0.17116034117579712,0.5845783960157994,11.740969717785791,73.6046511627907,0.2817806650146725,0.2817806650146725,18.064324591786246,0.11166591785062817,0.26687332675778497,0.31709358781181984,0.2898240244835501,0.7721678401740225,0.7664434140477417,0.16612694300518135,0.2731629392971246,0.20660491341119613,0.3444749314043402,0.33724053724053726,0.3408193484698914,0.9045738164748984,0.9367450913045967,1.558078141499472,2.8947368421052633,1.0615496017378712,140.79281537176274,0.8077662260754737,0.629991558938791,0.2694041377715424,0.8077662260754737,0.629991558938791,0.2694041377715424
persistence,5,136,2021,17469,3.2997881962333278,0.16498940981166638,0.7185872116320339,11.713377983857118,70.8149430974765,0.276549737575018,0.276549737575018,17.288471053933698,0.10625256473674612,0.2988474939694452,0.3733467269378872,0.3319687383699293,0.7901997824718072,0.7854485087869941,0.1736111111111111,0.2928647497337593,0.2179944510503369,0.3912435957149511,0.41025641025641024,0.4005244963642866,0.9077222508443529,0.9433281813498197,1.3143497757847533,2.618181818181818,0.8875,140.9465329991646,0.8077662260754737,0.6274401514321329,0.26560680364186273,0.8077662260754737,0.6274401514321329,0.26560680364186273
within_game_ar,5,136,2021,17469,3.809662831301162,0.1904831415650581,0.6652355601350964,13.154616749670845,82.27016328550222,0.3004448562796086,0.3004448562796086,19.98169223156853,0.12368854640709624,0.25253882915173237,0.28310731625648755,0.2669508248480543,0.7731409926154903,0.766672391092793,0.13837837837837838,0.20447284345047922,0.1650548033526757,0.3333333333333333,0.31916971916971915,0.32609780439121755,0.9045738164748984,0.9367450913045967,1.5133057362507392,2.9895833333333335,1.0795715378729915,153.24812030075188,0.8077662260754737,0.6152132267770635,0.2869917548439113,0.8077662260754737,0.6152132267770635,0.2869917548439113
ewma,8,136,1613,13878,2.9566940481337367,0.14783470240668684,0.6310707594754288,10.53206513906903,64.38685678859268,0.26017822266318735,0.26017822266318735,15.300061996280224,0.10072049924624377,0.307472359893252,0.3667576170986812,0.33450850269597676,0.7831820146995244,0.7760484219628189,0.20391061452513967,0.2691740412979351,0.23204068658614113,0.3611111111111111,0.41025641025641024,0.38411819021237303,0.9044530912235192,0.9417783542297161,1.4054556726596403,2.8986301369863012,0.96875,99.02088554720133,0.7842947976344227,0.675405591923868,0.22452900626755937,0.7842947976344227,0.675405591923868,0.22452900626755937
persistence,8,136,1613,13878,2.8603545179420666,0.14301772589710332,0.7521256665225536,10.07897391554979,64.52696838189709,0.25639773928313636,0.25639773928313636,14.812151270923744,0.09597536691826102,0.3389741800418702,0.4417917235106867,0.3836130306021717,0.8011961377720133,0.7947110534659173,0.20438799076212472,0.2610619469026549,0.22927461139896374,0.39725,0.522353714661407,0.4512922465208748,0.9102896670990056,0.9477590430897824,1.2655687081832219,2.9293785310734464,0.89490245437382,93.70760233918129,0.7842947976344227,0.6789146907968454,0.22432097011354146,0.7842947976344227,0.6789146907968454,0.22432097011354146
within_game_ar,8,136,1613,13878,3.0845943219484075,0.15422971609742034,0.6809338521400778,11.472402363452947,69.7743335399876,0.26654672655334627,0.26654672655334627,16.16986980781153,0.10116447331994409,0.29996081504702193,0.34811277853569805,0.32224794780046306,0.7823893932843349,0.7737426142095403,0.19182027649769584,0.24557522123893805,0.21539456662354461,0.35570071258907365,0.3938198553583169,0.37379095163806547,0.9044530912235192,0.9417783542297161,1.4676681907250164,3.1021021021021022,1.013355592654424,102.01837928153718,0.7842947976344227,0.672472981394147,0.22626956721281363,0.7842947976344227,0.672472981394147,0.22626956721281363
