config_base,arm,mean_target,std_target,n_games,se_target
0,C,0.9227272727272727,0.0949951534321322,2,0.06717171717171722
0,T,0.8333333333333334,0.0499974491748064,2,0.03535353535353536
10,T,0.75585,,1,
100,C,0.7766439909297052,,1,
100,T,0.738095238095238,,1,
102,C,0.7158067158067158,,1,
103,C,0.8824786324786325,,1,
103,T,0.5924145299145299,,1,
104,C,0.6515151515151515,,1,
104,T,0.6151515151515151,,1,
106,T,0.8870201820340324,,1,
107,T,0.986097236097236,,1,
108,C,0.7382297551789078,,1,
108,T,0.9706214689265537,,1,
11,C,0.7167182662538699,,1,
11,T,0.7652587350729766,,1,
110,T,0.7524630541871922,,1,
111,C,0.9626068376068376,,1,
112,C,0.7397660818713451,,1,
112,T,1.0,,1,
113,T,0.558076923076923,,1,
114,T,0.8655623168807755,,1,
115,C,0.7683035714285714,,1,
117,T,0.908755165289256,,1,
118,C,0.9537037037037036,,1,
119,C,0.8855085243974132,,1,
119,T,0.803424456202234,,1,
120,C,0.91501976284585,,1,
122,T,0.7168141592920353,,1,
124,C,0.8906832298136648,,1,
127,C,0.8936274509803922,,1,
127,T,1.0,,1,
128,C,1.0,,1,
128,T,0.75,,1,
129,C,0.6120808678500986,,1,
130,T,0.5803952991452992,,1,
131,C,0.9384346959122633,,1,
131,T,0.8301595214356929,,1,
132,C,0.7963636363636364,,1,
134,T,0.8869621903520208,,1,
135,C,0.8344444444444444,,1,
135,T,0.7,,1,
136,C,0.925,,1,
136,T,0.7865384615384615,,1,
137,T,0.9853242570633874,,1,
138,C,0.7166666666666667,,1,
14,C,0.5486324786324787,,1,
14,T,0.7162393162393162,,1,
140,C,0.969,,1,
140,T,0.8515,,1,
142,T,0.8246620046620047,,1,
143,C,0.8805555555555555,,1,
143,T,0.9944444444444444,,1,
144,C,0.85625,,1,
144,T,0.790625,,1,
145,C,0.9163690476190476,,1,
146,C,0.6687365211571353,,1,
146,T,0.7975756674351155,,1,
148,C,0.875,,1,
148,T,0.7976190476190477,,1,
151,T,0.7586980920314254,,1,
152,C,0.9210069444444444,,1,
152,T,0.8090277777777778,,1,
154,T,0.853144096195545,,1,
156,C,0.9842171717171716,,1,
158,C,0.85,,1,
159,C,0.9992857142857144,,1,
159,T,0.9335714285714286,,1,
16,C,0.8181818181818182,,1,
16,T,1.0,,1,
160,C,0.9884615384615384,,1,
160,T,0.8653846153846154,,1,
162,C,0.6649305555555556,,1,
164,C,0.9642857142857144,,1,
167,C,0.9971590909090908,,1,
167,T,0.8899621212121213,,1,
17,C,0.735240524781341,,1,
170,C,0.6270668039488826,,1,
171,C,0.8964585834333734,,1,
172,T,0.7007073386383731,,1,
173,C,0.8564337127255965,,1,
174,T,0.8034274193548387,,1,
175,C,0.9270833333333334,,1,
175,T,0.9140625,,1,
176,C,0.6932773109243697,,1,
178,T,0.8923796791443849,,1,
179,C,0.8108314263920672,,1,
18,T,0.6667299177735609,,1,
180,C,0.8887043189368771,,1,
180,T,0.564935064935065,,1,
19,C,0.7438016528925618,,1,
19,T,0.8670798898071623,,1,
2,C,0.809375,,1,
2,T,0.871875,,1,
20,C,0.8956043956043956,,1,
20,T,0.9244505494505496,,1,
22,C,0.7648578811369509,,1,
22,T,0.520671834625323,,1,
23,C,0.6865432098765432,,1,
23,T,0.6109876543209877,,1,
24,C,0.8028549382716049,,1,
24,T,0.9263117283950616,,1,
25,C,0.9659244264507424,,1,
25,T,0.8674089068825911,,1,
26,C,0.8109297634329728,,1,
26,T,0.7271583430120017,,1,
27,C,0.7080928330928331,,1,
27,T,0.4796176046176046,,1,
28,C,0.8277777777777777,,1,
29,C,0.7476572958500669,,1,
29,T,0.7508785140562249,,1,
3,C,0.8191089640365004,0.060403109749391504,2,0.04271144850854999
3,T,0.7197215598925881,0.2864767823357699,2,0.20256967544212542
30,C,0.756969696969697,,1,
31,C,0.9939271255060728,,1,
31,T,0.7945344129554656,,1,
32,C,0.9583333333333334,,1,
32,T,1.0,,1,
33,C,0.990920781893004,,1,
33,T,0.8377829218106996,,1,
34,T,0.929490291262136,,1,
37,T,0.8073055555555556,,1,
38,T,0.691198224852071,,1,
39,C,0.7506631299734748,,1,
39,T,0.9254641909814324,,1,
