config_base,mean_target_C,mean_target_T,std_target_C,std_target_T,n_games_C,n_games_T,se_target_C,se_target_T
0,0.9227272727272727,0.8333333333333334,0.0949951534321322,0.0499974491748064,2.0,2.0,0.06717171717171722,0.03535353535353536
100,0.7766439909297052,0.738095238095238,,,1.0,1.0,,
103,0.8824786324786325,0.5924145299145299,,,1.0,1.0,,
104,0.6515151515151515,0.6151515151515151,,,1.0,1.0,,
108,0.7382297551789078,0.9706214689265537,,,1.0,1.0,,
11,0.7167182662538699,0.7652587350729766,,,1.0,1.0,,
112,0.7397660818713451,1.0,,,1.0,1.0,,
119,0.8855085243974132,0.803424456202234,,,1.0,1.0,,
127,0.8936274509803922,1.0,,,1.0,1.0,,
128,1.0,0.75,,,1.0,1.0,,
131,0.9384346959122633,0.8301595214356929,,,1.0,1.0,,
135,0.8344444444444444,0.7,,,1.0,1.0,,
136,0.925,0.7865384615384615,,,1.0,1.0,,
14,0.5486324786324787,0.7162393162393162,,,1.0,1.0,,
140,0.969,0.8515,,,1.0,1.0,,
143,0.8805555555555555,0.9944444444444444,,,1.0,1.0,,
144,0.85625,0.790625,,,1.0,1.0,,
146,0.6687365211571353,0.7975756674351155,,,1.0,1.0,,
148,0.875,0.7976190476190477,,,1.0,1.0,,
152,0.9210069444444444,0.8090277777777778,,,1.0,1.0,,
159,0.9992857142857144,0.9335714285714286,,,1.0,1.0,,
16,0.8181818181818182,1.0,,,1.0,1.0,,
160,0.9884615384615384,0.8653846153846154,,,1.0,1.0,,
167,0.9971590909090908,0.8899621212121213,,,1.0,1.0,,
175,0.9270833333333334,0.9140625,,,1.0,1.0,,
180,0.8887043189368771,0.564935064935065,,,1.0,1.0,,
19,0.7438016528925618,0.8670798898071623,,,1.0,1.0,,
2,0.809375,0.871875,,,1.0,1.0,,
20,0.8956043956043956,0.9244505494505496,,,1.0,1.0,,
22,0.7648578811369509,0.520671834625323,,,1.0,1.0,,
23,0.6865432098765432,0.6109876543209877,,,1.0,1.0,,
24,0.8028549382716049,0.9263117283950616,,,1.0,1.0,,
25,0.9659244264507424,0.8674089068825911,,,1.0,1.0,,
26,0.8109297634329728,0.7271583430120017,,,1.0,1.0,,
27,0.7080928330928331,0.4796176046176046,,,1.0,1.0,,
29,0.7476572958500669,0.7508785140562249,,,1.0,1.0,,
3,0.8191089640365004,0.7197215598925881,0.060403109749391504,0.2864767823357699,2.0,2.0,0.04271144850854999,0.20256967544212542
31,0.9939271255060728,0.7945344129554656,,,1.0,1.0,,
32,0.9583333333333334,1.0,,,1.0,1.0,,
33,0.990920781893004,0.8377829218106996,,,1.0,1.0,,
39,0.7506631299734748,0.9254641909814324,,,1.0,1.0,,
4,0.7218251329787234,0.7461768617021277,0.12729332513713945,,2.0,1.0,0.0900099734042553,
43,0.9803767660910518,0.881083202511774,,,1.0,1.0,,
44,0.6951388888888889,0.7524305555555556,,,1.0,1.0,,
46,0.9241496598639456,0.5933673469387755,,,1.0,1.0,,
47,0.8291446208112875,0.5083774250440917,,,1.0,1.0,,
48,0.74375,0.8078125,,,1.0,1.0,,
51,0.9408195970695972,0.992445054945055,,,1.0,1.0,,
52,0.7267156862745098,0.8890931372549019,,,1.0,1.0,,
54,0.6799816345270889,0.8693755739210283,,,1.0,1.0,,
61,0.8974358974358975,0.9848646723646725,,,1.0,1.0,,
62,0.62,0.7542592592592593,,,1.0,1.0,,
63,0.9953703703703703,0.8425925925925926,,,1.0,1.0,,
64,0.7113095238095238,0.503968253968254,,,1.0,1.0,,
66,0.9899400684931506,0.9864542563600784,,,1.0,1.0,,
7,0.7605820105820106,0.8925925925925926,,,1.0,1.0,,
70,0.8669871794871795,0.7628205128205128,,,1.0,1.0,,
71,0.8892005610098177,0.9712482468443198,,,1.0,1.0,,
72,0.8425925925925926,0.8727513227513227,,,1.0,1.0,,
74,0.8526785714285714,0.8803571428571428,,,1.0,1.0,,
79,0.9260835913312694,0.7472910216718266,,,1.0,1.0,,
8,0.875,0.7347222222222223,0.1767766952966369,0.11588694469446198,2.0,2.0,0.125,0.08194444444444446
80,0.9305555555555556,0.7685185185185185,,,1.0,1.0,,
82,0.7285067873303167,0.8200100553041729,,,1.0,1.0,,
87,0.9290458937198068,0.8934178743961353,,,1.0,1.0,,
88,0.7634920634920634,0.9365079365079364,,,1.0,1.0,,
91,0.7449392712550608,1.0,,,1.0,1.0,,
94,0.9189857761286332,0.7120439084724799,,,1.0,1.0,,
95,0.9984326018808778,1.0,,,1.0,1.0,,
