tag,model,folds_ok,fit_eval_seconds_mean,pred_true_cosine_mean_mean,pred_true_cosine_mean_std,retrieved_true_cosine_mean_mean,retrieved_true_cosine_mean_std,oracle_true_cosine_mean_mean,oracle_true_cosine_mean_std,retrieval_cosine_regret_mean_mean,retrieval_cosine_regret_mean_std,oracle_hit_at_1_mean,oracle_hit_at_1_std,oracle_hit_at_5_mean,oracle_hit_at_5_std,embedding_mse_mean_mean,embedding_mse_mean_std
COMMUNICATION,elastic_net,3,1.3042666666666667,0.836396594842275,0.007431709335665654,0.7990130186080933,0.003106920224458193,0.8823696970939636,0.004501721954924197,0.08335668345292409,0.0064158833710051145,0.041666666666666664,0.02357022603955158,0.14166666666666666,0.02357022603955158,0.00020090770946505168,8.313405877983605e-06
COMMUNICATION,mlp,3,5.251366666666667,0.23681210478146872,0.005888259726655586,0.7890015244483948,0.003674146710059607,0.8823696970939636,0.004501721954924197,0.0933682198325793,0.002596491051418264,0.041666666666666664,0.011785113019775792,0.10000000000000002,0.020412414523193152,0.005218447186052799,0.0003638633193237925
CONTRIBUTION,elastic_net,3,1.6889333333333332,0.9081648588180542,0.0030773474719716187,0.8825565576553345,0.004800654817148935,0.9354546070098877,0.0028878501464580757,0.052898005892833076,0.002857566220405873,0.025000000000000005,0.020412414523193152,0.225,0.08164965809277261,0.00011588248889893293,3.9727962520220515e-06
CONTRIBUTION,mlp,3,9.045,0.2626535991827647,0.000995184874919104,0.8623368144035339,0.004307929453902588,0.9354546070098877,0.0028878501464580757,0.07311777273813884,0.006113471490730242,0.0,0.0,0.075,0.035355339059327376,0.004929847549647093,0.00012391803004633872
PUNISHMENT,elastic_net,3,1.6375,0.8822839260101318,0.004404127368308887,0.841955562432607,0.008425224714212923,0.9091792305310568,0.0034482616001973924,0.06722365071376164,0.010830190751041642,0.025000000000000005,0.020412414523193152,0.15,0.040824829046386304,0.00014642089081462473,5.717460786391234e-06
PUNISHMENT,mlp,3,6.736033333333334,0.25842003027598065,0.013799088341254288,0.8382747371991476,0.0016790308382880798,0.9091792305310568,0.0034482616001973924,0.07090454548597336,0.004724996506857676,0.016666666666666666,0.011785113019775792,0.09999999999999999,0.05400617248673216,0.00479634137203296,0.0005350615522729711
RESPONSE_TO_END_GAME,elastic_net,3,2.060833333333333,0.8929945627848307,0.0031826439690291215,0.8593533039093018,0.0020945063150259557,0.9050332307815552,0.0020910879693145654,0.04567995543281237,0.00030259723325300495,0.05833333333333333,0.02357022603955158,0.17500000000000002,0.03535533905932738,0.00013362574100028723,3.964791234822998e-06
RESPONSE_TO_END_GAME,mlp,3,8.5266,0.265054593483607,0.004346495705335473,0.845904012521108,0.006112388305654007,0.9050332307815552,0.0020910879693145654,0.05912925799687704,0.006337358418740075,0.016666666666666666,0.011785113019775792,0.075,0.035355339059327376,0.004767590047170718,0.000291230865060914
RESPONSE_TO_OTHERS_OUTCOME,elastic_net,3,1.8849,0.8809409340222677,0.009786805384423117,0.8419511119524637,0.008113506676016673,0.8871955871582031,0.0038995837264685306,0.045244513700405754,0.008093922943979568,0.03333333333333333,0.023570226039551584,0.2416666666666667,0.031180478223116183,0.00014816954111059508,1.2306488673422234e-05
RESPONSE_TO_OTHERS_OUTCOME,mlp,3,6.721266666666666,0.24764858186244965,0.009148280585780797,0.8136959274609884,0.0065287175806848455,0.8871955871582031,0.0038995837264685306,0.07349966714779536,0.003639800616670026,0.05000000000000001,0.035355339059327376,0.10833333333333332,0.04714045207910316,0.005116078381737073,0.0002851217368104564
RESPONSE_TO_PUNISHER,elastic_net,3,1.2348000000000001,0.8656380971272787,0.003719511616491537,0.8218661348025004,0.005251086769315123,0.8884183168411255,0.001147665802788821,0.06655218700567882,0.004977543583777925,0.03333333333333333,0.031180478223116176,0.16666666666666666,0.04249182927993988,0.0001663358610433837,4.62329752715583e-06
RESPONSE_TO_PUNISHER,mlp,3,4.767266666666666,0.2570594698190689,0.008054117579558437,0.8073171575864156,0.009163426496718207,0.8884183168411255,0.001147665802788821,0.08110116173823674,0.009580424028668452,0.016666666666666666,0.023570226039551587,0.09166666666666667,0.04249182927993987,0.004851635235051314,0.0003131737405015037
RESPONSE_TO_REWARDER,elastic_net,3,1.418033333333333,0.8669139941533407,0.004461662703188451,0.8334574302037557,0.003425114489970342,0.8849319020907084,0.0050062138495231825,0.051474470645189285,0.006111504553058347,0.041666666666666664,0.02357022603955158,0.25,0.07359800721939871,0.00016412867504792908,5.536332498513755e-06
RESPONSE_TO_REWARDER,mlp,3,5.9561,0.27028290430704754,0.0027662013752795503,0.8132550915082296,0.0032959773037450485,0.8849319020907084,0.0050062138495231825,0.07167676587899525,0.0036013840542357535,0.008333333333333333,0.011785113019775794,0.05833333333333333,0.01178511301977579,0.004382601318260034,0.00015767610662263922
REWARD,elastic_net,3,1.3597000000000001,0.882597804069519,0.0073612092999573485,0.8450230360031128,0.007223482945538932,0.8995449741681417,0.0020662522386193176,0.054521914571523666,0.005181103435896228,0.06666666666666667,0.023570226039551584,0.25833333333333336,0.04714045207910317,0.0001464802771806717,9.894504010985737e-06
REWARD,mlp,3,5.2207,0.25636357069015503,0.010353476114879811,0.8250747323036194,0.004296553045213267,0.8995449741681417,0.0020662522386193176,0.07447024931510289,0.006337365512578833,0.008333333333333333,0.011785113019775794,0.049999999999999996,0.02041241452319315,0.005059762081752221,0.0006527108806181698
