model,pred_true_cosine_mean_mean,retrieved_true_cosine_mean_mean,retrieval_cosine_regret_mean_mean,oracle_hit_at_1_mean,oracle_hit_at_5_mean,embedding_mse_mean_mean
ridge,0.9024243041872978,0.8599847480654716,0.05778354126960035,0.01168224024454465,0.04238780780089831,0.00012066846174997481
linear,0.9018516197800637,0.8595775902271271,0.058190702088177164,0.011213281032515263,0.04197506389661897,0.00012136955720047495
elastic_net,0.8769913464784622,0.8406470194458961,0.058368922676891026,0.04062499999999997,0.20104166666666665,0.000152743898070125
mean,0.8963167190551758,0.8530769720673561,0.06469130264595147,0.0044882122181858,0.01678070082999949,0.0001278034224014493
mlp,0.25678685680031776,0.8243574996789297,0.0746584550167123,0.019791666666666624,0.08229166666666662,0.004890287896462975
