tag,model,pred_true_cosine_mean_mean,retrieved_true_cosine_mean_mean,retrieval_cosine_regret_mean_mean,oracle_hit_at_1_mean,oracle_hit_at_5_mean,embedding_mse_mean_mean
COMMUNICATION,linear,0.8682686805725097,0.8212378263473511,0.0840889737010002,0.0080257143266763,0.0347709729370666,0.0001603364798938
COMMUNICATION,mean,0.8628094553947449,0.8155412197113037,0.0897855311632156,0.0053490578390751,0.0171166845875566,0.0001664015988353
COMMUNICATION,ridge,0.8688269853591919,0.8215792655944825,0.0837474927306175,0.0085590476600096,0.0320914414608153,0.0001596625370439
CONTRIBUTION,linear,0.9305134534835816,0.9004316091537475,0.0485129803419113,0.0043349432141141,0.0203208026667546,8.733713766559959e-05
CONTRIBUTION,mean,0.9250875592231752,0.8975184679031372,0.0514261074364185,0.0016252828292829,0.0070438701680656,9.388882463099436e-05
CONTRIBUTION,ridge,0.9305739045143128,0.9004492282867431,0.0484953336417675,0.0043349432141141,0.0203208026667546,8.726244850549847e-05
PUNISHMENT,linear,0.9079285502433776,0.8651612043380738,0.0607306040823459,0.0071564882463928,0.0352375734093463,0.0001143856818089
PUNISHMENT,mean,0.90365571975708,0.8628114342689515,0.0630803883075714,0.0066070460595824,0.0165153446921402,0.0001194083422888
PUNISHMENT,ridge,0.9081653594970704,0.8652935147285461,0.0605983316898346,0.0077059387958433,0.0368889523334525,0.0001140978652983
RESPONSE_TO_END_GAME,linear,0.9180319905281068,0.8829048037528991,0.0413171254098415,0.0111307594066214,0.0339283959973615,0.0001023543300107
RESPONSE_TO_END_GAME,mean,0.9143519639968872,0.8781494498252869,0.0460725054144859,0.0026525198938992,0.0148484976071182,0.000106747096288
RESPONSE_TO_END_GAME,ridge,0.918298852443695,0.8830417990684509,0.0411801896989345,0.0116612633854013,0.0344603034258206,0.0001020294526824
RESPONSE_TO_OTHERS_OUTCOME,linear,0.9079407811164856,0.8653445363044738,0.0428863547742366,0.0202710935295709,0.0657493199217879,0.0001143643690738
RESPONSE_TO_OTHERS_OUTCOME,mean,0.8952647089958191,0.8488240599632263,0.0594068124890327,0.0010958986368822,0.0153440698084758,0.0001292335160542
