scope,n_games,n_player_game_rows,n_players,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max
all_raw,376,3952,3952,14.791964697327332,6.0790892607465,0.0,0.0,1.1250000000000004,5.0,10.764423076923077,17.5,20.0,20.0,20.0,20.0,20.0
matched_all,366,3906,3906,14.889510486779898,6.018032336919958,0.0,0.0,1.314102564102564,5.0,11.008620689655173,17.618181818181817,20.0,20.0,20.0,20.0,20.0
valid_only,335,3682,3682,14.873421936717673,6.016511550844828,0.0,0.0,1.3793103448275863,5.0,10.960384615384616,17.618181818181817,20.0,20.0,20.0,20.0,20.0
