metric_scope,metric,n_groups,mean_abs_error,median_abs_error
paper_index_scenario,equality_index_mean,6,0.08566666666666671,0.05199999999999999
paper_index_scenario,intentions_index_mean,6,0.08371651785714285,0.08300000000000002
paper_index_scenario,kindness_index_mean,6,0.2970149410774411,0.2866666666666666
paper_index_scenario,payoff_index_mean,6,0.1832061883001092,0.16474524977068594
paper_index_scenario,predictability_index_mean,6,0.320038821472645,0.30999999999999994
paper_index_scenario,prosociality_index_mean,6,0.19136430142709263,0.19133333333333347
paper_index_session,delegation_index_mean,4,0.5057142857142858,0.4971428571428571
scenario,C_decision_nonnull_rate,6,0.07500000000000001,0.0
scenario,PD_decision_nonnull_rate,6,0.14500000000000002,0.0
scenario,SH_decision_nonnull_rate,6,0.14500000000000002,0.0
scenario,TGReceiver_decision_direct_mean,6,0.42196865371313586,0.4907407407407407
scenario,TGReceiver_decision_nonnull_rate,6,0.11,0.0
scenario,TGSender_decision_nonnull_rate,6,0.09375,0.0
scenario,UGProposer_decision_direct_mean,6,0.4283333333333334,0.2599999999999998
scenario,UGProposer_decision_nonnull_rate,6,0.16875,0.0
scenario,UGResponder_decision_direct_mean,6,0.7934065934065934,0.9199999999999999
scenario,UGResponder_decision_nonnull_rate,6,0.14750000000000002,0.0
session,C_delegated,4,0.29999999999999993,0.22999999999999998
session,PD_delegated,4,0.58,0.6
session,SH_delegated,4,0.5800000000000001,0.5800000000000001
session,TGReceiver_delegated,4,0.44,0.47
session,TGSender_delegated,4,0.375,0.37999999999999995
session,UGProposer_delegated,4,0.675,0.6799999999999999
session,UGResponder_delegated,4,0.59,0.5700000000000001
