custom_id,estimated_input_chars,estimated_input_tokens_char4
argyle_pgg_match__pid_argyle_anes2016_300477__game_5mhtM66ewYHNxSp4q__p001__g001,3358,840
argyle_pgg_match__pid_argyle_anes2016_300477__game_2TquMDieEiixty8AN__p001__g002,6286,1572
argyle_pgg_match__pid_argyle_anes2016_300477__game_65crAkEscRbHNJXbW__p001__g003,3066,766
argyle_pgg_match__pid_argyle_anes2016_300477__game_3EG5RaDj4z7hkT2JD__p001__g004,3699,925
argyle_pgg_match__pid_argyle_anes2016_300477__game_PmcxhmDRj2tN3cECC__p001__g005,14470,3618
argyle_pgg_match__pid_argyle_anes2016_300477__game_925LF9k9CXpz8KjQm__p001__g006,19939,4985
argyle_pgg_match__pid_argyle_anes2016_300477__game_ASQtYBWx6cGN27KxL__p001__g007,4926,1232
argyle_pgg_match__pid_argyle_anes2016_300477__game_DYFJDsdGg8bppBJ7P__p001__g008,5755,1439
argyle_pgg_match__pid_argyle_anes2016_300477__game_CbDvrXGkphmfGtH3G__p001__g009,11961,2990
argyle_pgg_match__pid_argyle_anes2016_300477__game_FvbM5EM5aB5pcjLpA__p001__g010,8883,2221
argyle_pgg_match__pid_argyle_anes2016_300477__game_C5Cd8Yq5dDbdycXKB__p001__g011,6516,1629
argyle_pgg_match__pid_argyle_anes2016_300477__game_AyQkFs97hRTki5zWR__p001__g012,7623,1906
argyle_pgg_match__pid_argyle_anes2016_300477__game_7oRFMBwqmesGX7t3H__p001__g013,14783,3696
argyle_pgg_match__pid_argyle_anes2016_300477__game_fMhhGrfpZH9ign2AK__p001__g014,8433,2108
argyle_pgg_match__pid_argyle_anes2016_300477__game_i7C4Y4NiesraiSwwb__p001__g015,6717,1679
argyle_pgg_match__pid_argyle_anes2016_300477__game_7tfDsTHHnxsgrhE3d__p001__g016,9110,2278
argyle_pgg_match__pid_argyle_anes2016_300477__game_r7Bk7fEwX3HSRrXMZ__p001__g017,4334,1084
argyle_pgg_match__pid_argyle_anes2016_300477__game_7FQezekfKk3zctLN8__p001__g018,10489,2622
argyle_pgg_match__pid_argyle_anes2016_300477__game_2khRAszouj8vP8ZfP__p001__g019,5861,1465
argyle_pgg_match__pid_argyle_anes2016_300477__game_CoHyYysb84APn5gDE__p001__g020,5865,1466
argyle_pgg_match__pid_argyle_anes2016_300477__game_2KKC9nMd8nRXfgH5G__p001__g021,6999,1750
