game_id,treatment_name,config_id,player,player_key,num_rounds,interaction_mode,max_observed_contribution,mean_contribution,mean_contribution_rate,first_contribution,first_contribution_rate,final_contribution,final_contribution_rate,contribution_sd,zero_contribution_rate,full_contribution_rate,contribution_slope,message_count,messages_per_round,rounds_with_message_rate,reward_given_units,reward_given_events,reward_given_round_rate,reward_received_units,reward_received_events,reward_received_round_rate,punish_given_units,punish_given_events,punish_given_round_rate,punish_received_units,punish_received_events,punish_received_round_rate,top1_count,top1_share,probability_mass,probability_share
2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,2,SLOTH,2TDnnb4wn9rwy3CYZ::SLOTH,10,punishment_reward,20.0,4.2,0.21000000000000002,20.0,1.0,0.0,0.0,5.7115866641610396,0.1,0.1,-0.5672727272727273,0,0.0,0.0,0.0,0,0.0,8.0,8,0.8,0.0,0,0.0,33.0,8,0.8,1,0.00078125,0.97,0.0007578125
2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,2,GORILLA,2TDnnb4wn9rwy3CYZ::GORILLA,10,punishment_reward,20.0,12.9,0.645,8.0,0.4,15.0,0.75,3.0713731999438516,0.0,0.0,0.22636363636363635,0,0.0,0.0,23.0,23,0.8,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,19,0.01484375,16.509999999999998,0.012898437499999998
2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,2,DUCK,2TDnnb4wn9rwy3CYZ::DUCK,10,punishment_reward,20.0,13.0,0.65,20.0,1.0,10.0,0.5,4.216370213557839,0.0,0.2,-0.49090909090909085,0,0.0,0.0,0.0,0,0.0,8.0,8,0.8,36.0,10,0.9,0.0,0,0.0,12,0.009375,11.170000000000002,0.008726562500000002
2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,2,CHICKEN,2TDnnb4wn9rwy3CYZ::CHICKEN,10,punishment_reward,20.0,10.2,0.51,10.0,0.5,20.0,1.0,6.268084945889685,0.2,0.1,0.6109090909090908,0,0.0,0.0,0.0,0,0.0,7.0,7,0.7,0.0,0,0.0,3.0,2,0.2,0,0.0,3.3500000000000005,0.0026171875000000006
3EG5RaDj4z7hkT2JD,VALIDATION_10_T,10,SLOTH,3EG5RaDj4z7hkT2JD::SLOTH,6,punishment,20.0,15.0,0.75,20.0,1.0,10.0,0.5,8.366600265340756,0.16666666666666666,0.6666666666666666,-0.7857142857142858,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,4,0.003125,8.25,0.0064453125
3EG5RaDj4z7hkT2JD,VALIDATION_10_T,10,GORILLA,3EG5RaDj4z7hkT2JD::GORILLA,6,punishment,20.0,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.16666666666666666,28,0.021875,21.87,0.017085937500000002
3EG5RaDj4z7hkT2JD,VALIDATION_10_T,10,DUCK,3EG5RaDj4z7hkT2JD::DUCK,6,punishment,20.0,8.666666666666666,0.43333333333333335,6.0,0.3,10.0,0.5,2.0655911179772892,0.0,0.0,0.2285714285714286,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.16666666666666666,0.0,0,0.0,0,0.0,1.880000000000001,0.0014687500000000009
6sSM4xSyZQkaxyHav,VALIDATION_5_C,5,SLOTH,6sSM4xSyZQkaxyHav::SLOTH,6,reward,20.0,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,1,0.16666666666666666,0.16666666666666666,7.0,7,0.8333333333333334,7.0,7,1.0,0.0,0,0.0,0.0,0,0.0,4,0.003125,9.749999999999998,0.007617187499999999
6sSM4xSyZQkaxyHav,VALIDATION_5_C,5,GORILLA,6sSM4xSyZQkaxyHav::GORILLA,6,reward,20.0,16.666666666666668,0.8333333333333334,20.0,1.0,20.0,1.0,8.16496580927726,0.16666666666666666,0.8333333333333334,0.14285714285714282,0,0.0,0.0,5.0,5,0.5,6.0,6,0.8333333333333334,0.0,0,0.0,0.0,0,0.0,0,0.0,1.3000000000000005,0.0010156250000000005
6sSM4xSyZQkaxyHav,VALIDATION_5_C,5,DUCK,6sSM4xSyZQkaxyHav::DUCK,6,reward,20.0,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,2,0.3333333333333333,0.3333333333333333,16.0,16,1.0,7.0,7,0.8333333333333334,0.0,0,0.0,0.0,0,0.0,28,0.021875,19.699999999999996,0.015390624999999996
