treatment_name,player,most_aligned_count,most_aligned_share,treatment_total
VALIDATION_0_C,CHICKEN,25,0.78125,32
VALIDATION_0_C,RABBIT,4,0.125,32
VALIDATION_0_C,DOG,1,0.03125,32
VALIDATION_0_C,SLOTH,1,0.03125,32
VALIDATION_0_C,GORILLA,1,0.03125,32
VALIDATION_0_T,RABBIT,13,0.40625,32
VALIDATION_0_T,MOOSE,13,0.40625,32
VALIDATION_0_T,SLOTH,5,0.15625,32
VALIDATION_0_T,OWL,1,0.03125,32
VALIDATION_10_C,SLOTH,27,0.84375,32
VALIDATION_10_C,DUCK,3,0.09375,32
VALIDATION_10_C,GORILLA,2,0.0625,32
VALIDATION_10_T,GORILLA,28,0.875,32
VALIDATION_10_T,SLOTH,4,0.125,32
VALIDATION_11_C,GORILLA,17,0.53125,32
VALIDATION_11_C,CHICK,15,0.46875,32
VALIDATION_11_T,SLOTH,17,0.53125,32
VALIDATION_11_T,CHICK,13,0.40625,32
VALIDATION_11_T,SNAKE,1,0.03125,32
VALIDATION_11_T,OWL,1,0.03125,32
VALIDATION_12_C,GORILLA,26,0.8125,32
VALIDATION_12_C,DOG,3,0.09375,32
VALIDATION_12_C,DUCK,2,0.0625,32
VALIDATION_12_C,PARROT,1,0.03125,32
VALIDATION_12_T,SLOTH,17,0.53125,32
VALIDATION_12_T,CHICKEN,6,0.1875,32
VALIDATION_12_T,DUCK,5,0.15625,32
VALIDATION_12_T,DOG,2,0.0625,32
VALIDATION_12_T,GORILLA,2,0.0625,32
VALIDATION_13_C,SLOTH,9,0.28125,32
VALIDATION_13_C,COW,6,0.1875,32
VALIDATION_13_C,GORILLA,5,0.15625,32
VALIDATION_13_C,PINGUIN,3,0.09375,32
VALIDATION_13_C,PARROT,3,0.09375,32
VALIDATION_13_C,CHICK,3,0.09375,32
VALIDATION_13_C,CROCODILE,2,0.0625,32
VALIDATION_13_C,CHICKEN,1,0.03125,32
VALIDATION_13_T,SNAKE,11,0.34375,32
VALIDATION_13_T,MONKEY,11,0.34375,32
VALIDATION_13_T,CHICKEN,8,0.25,32
VALIDATION_13_T,OWL,1,0.03125,32
VALIDATION_13_T,DOG,1,0.03125,32
VALIDATION_14_C,CHICKEN,22,0.6875,32
VALIDATION_14_C,PARROT,5,0.15625,32
VALIDATION_14_C,SLOTH,3,0.09375,32
VALIDATION_14_C,GORILLA,1,0.03125,32
VALIDATION_14_C,DOG,1,0.03125,32
VALIDATION_14_T,SLOTH,12,0.375,32
VALIDATION_14_T,DUCK,11,0.34375,32
VALIDATION_14_T,GORILLA,7,0.21875,32
VALIDATION_14_T,PARROT,2,0.0625,32
VALIDATION_15_C,SLOTH,16,0.5,32
VALIDATION_15_C,COW,15,0.46875,32
VALIDATION_15_C,OWL,1,0.03125,32
VALIDATION_15_T,GORILLA,13,0.40625,32
VALIDATION_15_T,SLOTH,9,0.28125,32
VALIDATION_15_T,CROCODILE,4,0.125,32
VALIDATION_15_T,PARROT,2,0.0625,32
VALIDATION_15_T,CHICKEN,1,0.03125,32
VALIDATION_15_T,COW,1,0.03125,32
VALIDATION_15_T,DUCK,1,0.03125,32
VALIDATION_15_T,DOG,1,0.03125,32
VALIDATION_16_C,CHICKEN,16,0.5,32
VALIDATION_16_C,CHICK,14,0.4375,32
VALIDATION_16_C,RABBIT,1,0.03125,32
VALIDATION_16_C,SLOTH,1,0.03125,32
VALIDATION_16_T,CHICKEN,18,0.5625,32
VALIDATION_16_T,MOOSE,12,0.375,32
VALIDATION_16_T,GORILLA,2,0.0625,32
VALIDATION_17_C,DOG,19,0.59375,32
VALIDATION_17_C,OWL,8,0.25,32
VALIDATION_17_C,DUCK,2,0.0625,32
VALIDATION_17_C,MOOSE,2,0.0625,32
VALIDATION_17_C,COW,1,0.03125,32
VALIDATION_17_T,GORILLA,25,0.78125,32
VALIDATION_17_T,SLOTH,3,0.09375,32
VALIDATION_17_T,MOOSE,2,0.0625,32
VALIDATION_17_T,CROCODILE,1,0.03125,32
VALIDATION_17_T,ELEPHANT,1,0.03125,32
VALIDATION_18_C,DUCK,17,0.53125,32
VALIDATION_18_C,SLOTH,8,0.25,32
VALIDATION_18_C,CHICKEN,6,0.1875,32
VALIDATION_18_C,GORILLA,1,0.03125,32
VALIDATION_18_T,GORILLA,19,0.59375,32
VALIDATION_18_T,SLOTH,13,0.40625,32
VALIDATION_19_C,GORILLA,18,0.5625,32
VALIDATION_19_C,SLOTH,13,0.40625,32
VALIDATION_19_C,CHICKEN,1,0.03125,32
VALIDATION_19_T,SLOTH,18,0.5625,32
VALIDATION_19_T,CHICKEN,12,0.375,32
VALIDATION_19_T,DUCK,1,0.03125,32
VALIDATION_19_T,GORILLA,1,0.03125,32
VALIDATION_1_C,SLOTH,28,0.875,32
VALIDATION_1_C,DUCK,3,0.09375,32
VALIDATION_1_C,GORILLA,1,0.03125,32
VALIDATION_1_T,SLOTH,30,0.9375,32
VALIDATION_1_T,GORILLA,2,0.0625,32
VALIDATION_2_C,DUCK,17,0.53125,32
VALIDATION_2_C,GORILLA,14,0.4375,32
VALIDATION_2_C,SLOTH,1,0.03125,32
VALIDATION_2_T,GORILLA,19,0.59375,32
VALIDATION_2_T,DUCK,12,0.375,32
VALIDATION_2_T,SLOTH,1,0.03125,32
VALIDATION_3_C,SLOTH,21,0.65625,32
VALIDATION_3_C,CHICKEN,8,0.25,32
VALIDATION_3_C,GORILLA,3,0.09375,32
VALIDATION_3_T,GORILLA,25,0.78125,32
VALIDATION_3_T,DOG,4,0.125,32
VALIDATION_3_T,DUCK,2,0.0625,32
VALIDATION_3_T,CHICKEN,1,0.03125,32
VALIDATION_4_C,SLOTH,29,0.90625,32
VALIDATION_4_C,DUCK,3,0.09375,32
VALIDATION_4_T,DOG,14,0.4375,32
VALIDATION_4_T,MOOSE,12,0.375,32
VALIDATION_4_T,CHICKEN,6,0.1875,32
VALIDATION_5_C,DUCK,28,0.875,32
VALIDATION_5_C,SLOTH,4,0.125,32
VALIDATION_5_T,GORILLA,23,0.71875,32
VALIDATION_5_T,SLOTH,9,0.28125,32
VALIDATION_6_C,RABBIT,20,0.625,32
VALIDATION_6_C,SLOTH,8,0.25,32
VALIDATION_6_C,CHICKEN,3,0.09375,32
VALIDATION_6_C,DUCK,1,0.03125,32
VALIDATION_6_T,SLOTH,10,0.3125,32
VALIDATION_6_T,MOOSE,8,0.25,32
VALIDATION_6_T,CHICK,6,0.1875,32
VALIDATION_6_T,PARROT,2,0.0625,32
VALIDATION_6_T,RABBIT,2,0.0625,32
VALIDATION_6_T,GORILLA,2,0.0625,32
VALIDATION_6_T,COW,1,0.03125,32
VALIDATION_6_T,DOG,1,0.03125,32
VALIDATION_7_C,SLOTH,20,0.625,32
VALIDATION_7_C,RABBIT,8,0.25,32
VALIDATION_7_C,DOG,4,0.125,32
VALIDATION_7_T,OWL,16,0.5,32
VALIDATION_7_T,PARROT,7,0.21875,32
VALIDATION_7_T,SLOTH,5,0.15625,32
VALIDATION_7_T,DUCK,4,0.125,32
VALIDATION_8_C,SLOTH,23,0.71875,32
VALIDATION_8_C,DOG,7,0.21875,32
VALIDATION_8_C,GORILLA,2,0.0625,32
VALIDATION_8_T,CHICKEN,28,0.875,32
VALIDATION_8_T,GORILLA,3,0.09375,32
VALIDATION_8_T,DUCK,1,0.03125,32
VALIDATION_9_C,COW,25,0.78125,32
VALIDATION_9_C,PARROT,6,0.1875,32
VALIDATION_9_C,SLOTH,1,0.03125,32
VALIDATION_9_T,OWL,22,0.6875,32
VALIDATION_9_T,COW,5,0.15625,32
VALIDATION_9_T,DUCK,2,0.0625,32
VALIDATION_9_T,SLOTH,2,0.0625,32
VALIDATION_9_T,PINGUIN,1,0.03125,32
