custom_id,persona_pid,game_id,treatment_name,metric,matched_value,candidate_uniform_value,diff
argyle_pgg_match__pid_argyle_anes2016_300477__game_2KKC9nMd8nRXfgH5G__p001__g021,argyle_anes2016_300477,2KKC9nMd8nRXfgH5G,VALIDATION_19_C,mean_contribution_rate,0.506551724137931,0.45948275862068966,0.04706896551724138
argyle_pgg_match__pid_argyle_anes2016_300477__game_2TDnnb4wn9rwy3CYZ__p001__g026,argyle_anes2016_300477,2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,mean_contribution_rate,0.6345000000000001,0.50375,0.13075000000000003
argyle_pgg_match__pid_argyle_anes2016_300477__game_2TquMDieEiixty8AN__p001__g002,argyle_anes2016_300477,2TquMDieEiixty8AN,VALIDATION_0_T,mean_contribution_rate,1.0,0.9166666666666667,0.08333333333333326
argyle_pgg_match__pid_argyle_anes2016_300477__game_2khRAszouj8vP8ZfP__p001__g019,argyle_anes2016_300477,2khRAszouj8vP8ZfP,VALIDATION_18_C,mean_contribution_rate,0.9108695652173913,0.9565217391304348,-0.04565217391304355
argyle_pgg_match__pid_argyle_anes2016_300477__game_3EG5RaDj4z7hkT2JD__p001__g004,argyle_anes2016_300477,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,mean_contribution_rate,0.825,0.7277777777777777,0.09722222222222221
argyle_pgg_match__pid_argyle_anes2016_300477__game_3EQGxadfbmAKaACgZ__p001__g032,argyle_anes2016_300477,3EQGxadfbmAKaACgZ,VALIDATION_5_T,mean_contribution_rate,0.9916666666666666,0.9166666666666667,0.07499999999999984
argyle_pgg_match__pid_argyle_anes2016_300477__game_3v9ji6wNY7sXHe8cM__p001__g029,argyle_anes2016_300477,3v9ji6wNY7sXHe8cM,VALIDATION_4_C,mean_contribution_rate,0.80625,0.42857142857142855,0.3776785714285715
argyle_pgg_match__pid_argyle_anes2016_300477__game_5R7YRmti4R5GiJKpi__p001__g036,argyle_anes2016_300477,5R7YRmti4R5GiJKpi,VALIDATION_7_T,mean_contribution_rate,0.9710526315789474,0.9613157894736842,0.009736842105263155
argyle_pgg_match__pid_argyle_anes2016_300477__game_5mhtM66ewYHNxSp4q__p001__g001,argyle_anes2016_300477,5mhtM66ewYHNxSp4q,VALIDATION_0_C,mean_contribution_rate,0.9666666666666667,0.6833333333333333,0.2833333333333333
argyle_pgg_match__pid_argyle_anes2016_300477__game_65crAkEscRbHNJXbW__p001__g003,argyle_anes2016_300477,65crAkEscRbHNJXbW,VALIDATION_10_C,mean_contribution_rate,0.9208333333333333,0.7083333333333333,0.21250000000000002
argyle_pgg_match__pid_argyle_anes2016_300477__game_6BxRfLcBtXYodAS8h__p001__g037,argyle_anes2016_300477,6BxRfLcBtXYodAS8h,VALIDATION_8_C,mean_contribution_rate,0.90125,0.6333333333333333,0.2679166666666667
argyle_pgg_match__pid_argyle_anes2016_300477__game_6Pxb9DsQpyk22cJNr__p001__g023,argyle_anes2016_300477,6Pxb9DsQpyk22cJNr,VALIDATION_1_C,mean_contribution_rate,0.7346875,0.6385416666666666,0.09614583333333349
argyle_pgg_match__pid_argyle_anes2016_300477__game_6pQRuemJv5faRcZft__p001__g040,argyle_anes2016_300477,6pQRuemJv5faRcZft,VALIDATION_9_T,mean_contribution_rate,0.7858333333333333,0.6218518518518519,0.1639814814814814
argyle_pgg_match__pid_argyle_anes2016_300477__game_6sSM4xSyZQkaxyHav__p001__g031,argyle_anes2016_300477,6sSM4xSyZQkaxyHav,VALIDATION_5_C,mean_contribution_rate,0.9833333333333333,0.9166666666666667,0.06666666666666654
argyle_pgg_match__pid_argyle_anes2016_300477__game_7FQezekfKk3zctLN8__p001__g018,argyle_anes2016_300477,7FQezekfKk3zctLN8,VALIDATION_17_T,mean_contribution_rate,0.98,0.763157894736842,0.21684210526315795
argyle_pgg_match__pid_argyle_anes2016_300477__game_7Y6PBvgZNqtriKzaZ__p001__g038,argyle_anes2016_300477,7Y6PBvgZNqtriKzaZ,VALIDATION_8_T,mean_contribution_rate,0.9075,0.8083333333333333,0.09916666666666663
argyle_pgg_match__pid_argyle_anes2016_300477__game_7oRFMBwqmesGX7t3H__p001__g013,argyle_anes2016_300477,7oRFMBwqmesGX7t3H,VALIDATION_15_C,mean_contribution_rate,0.9857142857142857,0.8021978021978022,0.18351648351648342
argyle_pgg_match__pid_argyle_anes2016_300477__game_7tfDsTHHnxsgrhE3d__p001__g016,argyle_anes2016_300477,7tfDsTHHnxsgrhE3d,VALIDATION_16_T,mean_contribution_rate,0.99,0.9066666666666667,0.08333333333333326
argyle_pgg_match__pid_argyle_anes2016_300477__game_7ywewvEuctuz4Rq8j__p001__g027,argyle_anes2016_300477,7ywewvEuctuz4Rq8j,VALIDATION_3_C,mean_contribution_rate,0.8667307692307692,0.7054487179487179,0.1612820512820513
argyle_pgg_match__pid_argyle_anes2016_300477__game_8GneB6qmtDLSnbcJT__p001__g030,argyle_anes2016_300477,8GneB6qmtDLSnbcJT,VALIDATION_4_T,mean_contribution_rate,0.89375,0.6071428571428571,0.28660714285714295
argyle_pgg_match__pid_argyle_anes2016_300477__game_925LF9k9CXpz8KjQm__p001__g006,argyle_anes2016_300477,925LF9k9CXpz8KjQm,VALIDATION_11_T,mean_contribution_rate,0.8846153846153846,0.7884615384615384,0.09615384615384615
argyle_pgg_match__pid_argyle_anes2016_300477__game_9oyspxPncwXdAkruR__p001__g025,argyle_anes2016_300477,9oyspxPncwXdAkruR,VALIDATION_2_C,mean_contribution_rate,0.6545,0.60625,0.048250000000000015
argyle_pgg_match__pid_argyle_anes2016_300477__game_AJ4ikZuWJeJcEXhgZ__p001__g028,argyle_anes2016_300477,AJ4ikZuWJeJcEXhgZ,VALIDATION_3_T,mean_contribution_rate,0.9971153846153846,0.9352564102564102,0.06185897435897447
argyle_pgg_match__pid_argyle_anes2016_300477__game_ASQtYBWx6cGN27KxL__p001__g007,argyle_anes2016_300477,ASQtYBWx6cGN27KxL,VALIDATION_12_C,mean_contribution_rate,0.975,0.9027777777777777,0.0722222222222223
argyle_pgg_match__pid_argyle_anes2016_300477__game_Aj2G7CTuhLZ7Z2SPK__p001__g033,argyle_anes2016_300477,Aj2G7CTuhLZ7Z2SPK,VALIDATION_6_C,mean_contribution_rate,0.98671875,0.7478365384615385,0.23888221153846145
argyle_pgg_match__pid_argyle_anes2016_300477__game_AyQkFs97hRTki5zWR__p001__g012,argyle_anes2016_300477,AyQkFs97hRTki5zWR,VALIDATION_14_T,mean_contribution_rate,1.0,0.8728070175438596,0.1271929824561404
argyle_pgg_match__pid_argyle_anes2016_300477__game_C5Cd8Yq5dDbdycXKB__p001__g011,argyle_anes2016_300477,C5Cd8Yq5dDbdycXKB,VALIDATION_14_C,mean_contribution_rate,0.7086842105263158,0.7697368421052632,-0.06105263157894736
argyle_pgg_match__pid_argyle_anes2016_300477__game_CbDvrXGkphmfGtH3G__p001__g009,argyle_anes2016_300477,CbDvrXGkphmfGtH3G,VALIDATION_13_C,mean_contribution_rate,0.9773529411764705,0.9674632352941177,0.009889705882352828
argyle_pgg_match__pid_argyle_anes2016_300477__game_CoHyYysb84APn5gDE__p001__g020,argyle_anes2016_300477,CoHyYysb84APn5gDE,VALIDATION_18_T,mean_contribution_rate,0.21739130434782608,0.14130434782608695,0.07608695652173914
argyle_pgg_match__pid_argyle_anes2016_300477__game_DYFJDsdGg8bppBJ7P__p001__g008,argyle_anes2016_300477,DYFJDsdGg8bppBJ7P,VALIDATION_12_T,mean_contribution_rate,0.525,0.625,-0.09999999999999998
argyle_pgg_match__pid_argyle_anes2016_300477__game_FAuuG8S2iw8wkGRnA__p001__g034,argyle_anes2016_300477,FAuuG8S2iw8wkGRnA,VALIDATION_6_T,mean_contribution_rate,0.9071874999999999,0.8305288461538463,0.07665865384615367
argyle_pgg_match__pid_argyle_anes2016_300477__game_Fm7uYc98E2b6kcoDE__p001__g024,argyle_anes2016_300477,Fm7uYc98E2b6kcoDE,VALIDATION_1_T,mean_contribution_rate,0.8728125,0.7145833333333332,0.15822916666666675
argyle_pgg_match__pid_argyle_anes2016_300477__game_FvbM5EM5aB5pcjLpA__p001__g010,argyle_anes2016_300477,FvbM5EM5aB5pcjLpA,VALIDATION_13_T,mean_contribution_rate,0.9647058823529412,0.9669117647058824,-0.0022058823529411686
argyle_pgg_match__pid_argyle_anes2016_300477__game_HmA52oSS75D5Z2W8a__p001__g039,argyle_anes2016_300477,HmA52oSS75D5Z2W8a,VALIDATION_9_C,mean_contribution_rate,0.9013888888888888,0.5996296296296296,0.30175925925925917
argyle_pgg_match__pid_argyle_anes2016_300477__game_PmcxhmDRj2tN3cECC__p001__g005,argyle_anes2016_300477,PmcxhmDRj2tN3cECC,VALIDATION_11_C,mean_contribution_rate,0.9807692307692307,0.7532051282051282,0.22756410256410253
argyle_pgg_match__pid_argyle_anes2016_300477__game_PrfKWppTZdvPhe4oN__p001__g022,argyle_anes2016_300477,PrfKWppTZdvPhe4oN,VALIDATION_19_T,mean_contribution_rate,0.7879310344827586,0.7189655172413794,0.06896551724137923
argyle_pgg_match__pid_argyle_anes2016_300477__game_SFohXkBYvScM7Y7rC__p001__g035,argyle_anes2016_300477,SFohXkBYvScM7Y7rC,VALIDATION_7_C,mean_contribution_rate,0.9960526315789474,0.9805263157894738,0.01552631578947361
argyle_pgg_match__pid_argyle_anes2016_300477__game_fMhhGrfpZH9ign2AK__p001__g014,argyle_anes2016_300477,fMhhGrfpZH9ign2AK,VALIDATION_15_T,mean_contribution_rate,0.9428571428571428,0.9560439560439561,-0.013186813186813251
argyle_pgg_match__pid_argyle_anes2016_300477__game_i7C4Y4NiesraiSwwb__p001__g015,argyle_anes2016_300477,i7C4Y4NiesraiSwwb,VALIDATION_16_C,mean_contribution_rate,0.9266666666666666,0.9600000000000001,-0.03333333333333344
argyle_pgg_match__pid_argyle_anes2016_300477__game_r7Bk7fEwX3HSRrXMZ__p001__g017,argyle_anes2016_300477,r7Bk7fEwX3HSRrXMZ,VALIDATION_17_C,mean_contribution_rate,0.93,0.6263157894736842,0.3036842105263159
argyle_pgg_match__pid_argyle_anes2016_300605__game_2KKC9nMd8nRXfgH5G__p002__g021,argyle_anes2016_300605,2KKC9nMd8nRXfgH5G,VALIDATION_19_C,mean_contribution_rate,0.506551724137931,0.45948275862068966,0.04706896551724138
argyle_pgg_match__pid_argyle_anes2016_300605__game_2TDnnb4wn9rwy3CYZ__p002__g026,argyle_anes2016_300605,2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,mean_contribution_rate,0.6352500000000001,0.50375,0.13150000000000006
argyle_pgg_match__pid_argyle_anes2016_300605__game_2TquMDieEiixty8AN__p002__g002,argyle_anes2016_300605,2TquMDieEiixty8AN,VALIDATION_0_T,mean_contribution_rate,0.85,0.9166666666666667,-0.06666666666666676
argyle_pgg_match__pid_argyle_anes2016_300605__game_2khRAszouj8vP8ZfP__p002__g019,argyle_anes2016_300605,2khRAszouj8vP8ZfP,VALIDATION_18_C,mean_contribution_rate,0.9739130434782609,0.9565217391304348,0.017391304347826098
argyle_pgg_match__pid_argyle_anes2016_300605__game_3EG5RaDj4z7hkT2JD__p002__g004,argyle_anes2016_300605,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,mean_contribution_rate,0.9341666666666667,0.7277777777777777,0.20638888888888896
argyle_pgg_match__pid_argyle_anes2016_300605__game_3EQGxadfbmAKaACgZ__p002__g032,argyle_anes2016_300605,3EQGxadfbmAKaACgZ,VALIDATION_5_T,mean_contribution_rate,0.9916666666666667,0.9166666666666667,0.07499999999999996
argyle_pgg_match__pid_argyle_anes2016_300605__game_3v9ji6wNY7sXHe8cM__p002__g029,argyle_anes2016_300605,3v9ji6wNY7sXHe8cM,VALIDATION_4_C,mean_contribution_rate,0.71875,0.42857142857142855,0.29017857142857145
