game_id,treatment_name,n_requests,n_players,top1_total,top1_unique_players,top1_effective_n,top1_effective_n_share_of_players,top1_top_player,top1_top_player_count,top1_top_player_share,top1_uniform_expected_share,probability_unique_players,probability_effective_n,top_probability_player,top_probability_share
2KKC9nMd8nRXfgH5G,VALIDATION_19_C,32,4,32.0,3,2.2208524585450715,0.5552131146362679,GORILLA,18.0,0.5625,0.25,4,3.4126970192314348,GORILLA,0.4378125
2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,32,4,32.0,3,2.193800143154352,0.548450035788588,GORILLA,19.0,0.59375,0.25,4,2.8606708497586277,GORILLA,0.5159374999999999
2TquMDieEiixty8AN,VALIDATION_0_T,32,10,32.0,4,3.0963991630307413,0.30963991630307414,RABBIT,13.0,0.40625,0.1,9,5.390396345823949,MOOSE,0.335625
2khRAszouj8vP8ZfP,VALIDATION_18_C,32,4,32.0,4,3.0185483223920655,0.7546370805980164,DUCK,17.0,0.53125,0.25,4,3.693004109498548,DUCK,0.42124999999999996
3EG5RaDj4z7hkT2JD,VALIDATION_10_T,32,3,32.0,2,1.4575692649810903,0.4858564216603634,GORILLA,28.0,0.875,0.3333333333333333,3,2.173036486392192,GORILLA,0.6834375
3EQGxadfbmAKaACgZ,VALIDATION_5_T,32,4,32.0,2,1.8114543351456713,0.45286358378641783,GORILLA,23.0,0.71875,0.25,4,2.333363316978799,GORILLA,0.578125
3v9ji6wNY7sXHe8cM,VALIDATION_4_C,32,7,32.0,2,1.3649655016647284,0.19499507166638977,SLOTH,29.0,0.90625,0.14285714285714285,5,2.9104430719998993,SLOTH,0.5828125000000001
5R7YRmti4R5GiJKpi,VALIDATION_7_T,32,10,32.0,4,3.41785180872263,0.341785180872263,OWL,16.0,0.5,0.1,7,5.097174723846534,OWL,0.31718749999999996
5mhtM66ewYHNxSp4q,VALIDATION_0_C,32,10,32.0,5,2.17646580194983,0.217646580194983,CHICKEN,25.0,0.78125,0.1,7,3.480149068508851,CHICKEN,0.49625
65crAkEscRbHNJXbW,VALIDATION_10_C,32,3,32.0,3,1.7135323579168615,0.5711774526389538,SLOTH,27.0,0.84375,0.3333333333333333,3,2.3676281253058447,SLOTH,0.670625
6BxRfLcBtXYodAS8h,VALIDATION_8_C,32,6,32.0,3,2.1024637917818048,0.35041063196363414,SLOTH,23.0,0.71875,0.16666666666666666,5,3.2520821218006217,SLOTH,0.48499999999999993
6Pxb9DsQpyk22cJNr,VALIDATION_1_C,32,3,32.0,3,1.56371133134066,0.5212371104468867,SLOTH,28.0,0.875,0.3333333333333333,3,2.443083764710314,SLOTH,0.6365625
6pQRuemJv5faRcZft,VALIDATION_9_T,32,15,32.0,5,2.7251572823088885,0.1816771521539259,OWL,22.0,0.6875,0.06666666666666667,8,5.3126117857962445,OWL,0.453125
6sSM4xSyZQkaxyHav,VALIDATION_5_C,32,4,32.0,2,1.4575692649810903,0.3643923162452726,DUCK,28.0,0.875,0.25,4,2.5031816583165534,DUCK,0.615625
7FQezekfKk3zctLN8,VALIDATION_17_T,32,19,32.0,5,2.23596424324933,0.11768232859207,GORILLA,25.0,0.78125,0.05263157894736842,13,5.694197785573794,GORILLA,0.484375
7Y6PBvgZNqtriKzaZ,VALIDATION_8_T,32,6,32.0,3,1.56371133134066,0.26061855522344335,CHICKEN,28.0,0.875,0.16666666666666666,6,3.2294230933297676,CHICKEN,0.5378125
7oRFMBwqmesGX7t3H,VALIDATION_15_C,32,13,32.0,3,2.2480046710829824,0.1729234362371525,SLOTH,16.0,0.5,0.07692307692307693,7,3.3881996169847617,SLOTH,0.43750000000000006
