player,most_aligned_count,most_aligned_share,top_k_probability_mass,top_k_probability_share
SLOTH,368,0.2875,309.79000000000025,0.2420234375000002
GORILLA,262,0.2046875,259.7799999999999,0.20295312499999993
CHICKEN,162,0.1265625,152.50999999999982,0.11914843749999986
DUCK,115,0.08984375,147.77,0.11544531250000001
DOG,58,0.0453125,75.06999999999992,0.05864843749999994
COW,54,0.0421875,47.490000000000016,0.03710156250000001
CHICK,51,0.03984375,48.510000000000005,0.03789843750000001
OWL,50,0.0390625,40.29999999999998,0.03148437499999999
MOOSE,49,0.03828125,50.79,0.0396796875
RABBIT,48,0.0375,46.400000000000006,0.036250000000000004
PARROT,28,0.021875,47.51,0.037117187499999996
SNAKE,12,0.009375,10.81,0.0084453125
MONKEY,11,0.00859375,16.259999999999998,0.012703125
CROCODILE,7,0.00546875,10.500000000000002,0.008203125000000002
PINGUIN,4,0.003125,7.449999999999999,0.005820312499999999
ELEPHANT,1,0.00078125,3.349999999999999,0.0026171874999999993
