bootstrap_iter,metric_family,metric,distance_kind,n_treatments,mean_value,median_value,score
0,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.057788671796292795,0.057788671796292795,0.057788671796292795
0,distribution_distance,final_total_surplus,wasserstein_1d,2,1.9372282608695652,1.9372282608695652,1.9372282608695652
0,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.6457427536231882,0.6457427536231882,0.6457427536231882
0,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.3284923510466988,0.3284923510466988,0.3284923510466988
0,distribution_distance,trade_ratio,wasserstein_1d,2,0.13444668896812623,0.13444668896812623,0.13444668896812623
0,distribution_distance,acceptance_rate,wasserstein_1d,2,0.04277375201288244,0.04277375201288244,0.04277375201288244
0,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.29383358048432473,0.29383358048432473,0.29383358048432473
0,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.1433163296359774,0.1433163296359774,0.1433163296359774
0,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.4075348200072074,0.4075348200072074,0.4075348200072074
0,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.12529621257980872,0.12529621257980872,0.12529621257980872
1,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.15715562061140587,0.15715562061140587,0.15715562061140587
1,distribution_distance,final_total_surplus,wasserstein_1d,2,2.0213768115942035,2.0213768115942035,2.0213768115942035
1,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.6737922705314012,0.6737922705314012,0.6737922705314012
1,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.24667874396135273,0.24667874396135273,0.24667874396135273
1,distribution_distance,trade_ratio,wasserstein_1d,2,0.04894965949464738,0.04894965949464738,0.04894965949464738
1,distribution_distance,acceptance_rate,wasserstein_1d,2,0.058373590982286644,0.058373590982286644,0.058373590982286644
1,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.22609295543007515,0.22609295543007515,0.22609295543007515
1,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.11668745169394258,0.11668745169394258,0.11668745169394258
1,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.3911786678234046,0.3911786678234046,0.3911786678234046
1,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.07063612687437876,0.07063612687437876,0.07063612687437876
2,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.07181629709894749,0.07181629709894749,0.07181629709894749
2,distribution_distance,final_total_surplus,wasserstein_1d,2,1.4308876811594202,1.4308876811594202,1.4308876811594202
