tag,alignment_score,k_with,k_without,n_with,n_without,sil_with,sil_without,db_with,db_without,ch_with,ch_without
PUNISHMENT,0.6424263159868223,6,7,1812,1879,0.36157453060150146,0.40357667207717896,0.8525508974638639,0.7897455614975047,1844.0625,2296.797119140625
REWARD,0.7977607075738319,6,7,1815,1876,0.3727318346500397,0.3808048367500305,0.8572268927733503,0.8642302852917715,1927.82373046875,2129.95849609375
COMMUNICATION,0.6425544017077504,7,6,1870,1821,0.3737906813621521,0.38614794611930847,0.8350535832235862,0.8460635433298256,1818.7808837890625,1931.045654296875
