factor,direction,split,eval_granularity,model,method,r2,r2_oos_train_mean,rmse,mae
all_or_nothing,false_to_true,all_or_nothing/false_to_true,config_treatment,ridge,config_only,-0.5360052253140479,-0.5293326447216713,0.1053817760954698,0.086669848359183
all_or_nothing,false_to_true,all_or_nothing/false_to_true,config_treatment,ridge,synthetic,-0.4453648566948696,-0.4390860281253159,0.1022251867771451,0.0831793196057559
all_or_nothing,false_to_true,all_or_nothing/false_to_true,config_treatment,ridge,oracle,-0.162203242788868,-0.157154500327302,0.0916664069722911,0.0763761665817612
all_or_nothing,true_to_false,all_or_nothing/true_to_false,config_treatment,ridge,config_only,-0.2975579698439912,-0.2291612267741929,0.0868801731159312,0.0636441617368604
all_or_nothing,true_to_false,all_or_nothing/true_to_false,config_treatment,ridge,synthetic,-0.2138345367371044,-0.1498510147150114,0.0840305174544839,0.0629149056257921
all_or_nothing,true_to_false,all_or_nothing/true_to_false,config_treatment,ridge,oracle,0.1113849564669131,0.1582255418072333,0.071897555289596,0.0540858571262613
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,config_treatment,ridge,config_only,-1.1197666748304362,-1.0967163014963273,0.111726694331489,0.0873774754446747
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,config_treatment,ridge,synthetic,-1.137407934558214,-1.1141657299118966,0.1121906406320514,0.0871261844409928
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,config_treatment,ridge,oracle,-0.3754186345388572,-0.3604623125090533,0.0899974846169401,0.0724215654792008
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,config_treatment,ridge,config_only,-0.1195303750626024,-0.0811793630194419,0.0879189698782291,0.0719273039674455
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,config_treatment,ridge,synthetic,0.0011434039879828,0.0353605741481984,0.0830455223640013,0.0636787725207849
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,config_treatment,ridge,oracle,0.3326285601046397,0.355490262385167,0.0678810355207606,0.055880262048732
mpcr,high_to_low,mpcr/high_to_low,config_treatment,ridge,config_only,-0.8796802263391228,-0.8791021392158378,0.1108303186073387,0.0913079451622383
mpcr,high_to_low,mpcr/high_to_low,config_treatment,ridge,synthetic,-0.4893794778339122,-0.4889214259345751,0.0986550402308127,0.0776699112021764
mpcr,high_to_low,mpcr/high_to_low,config_treatment,ridge,oracle,-0.7484714765101794,-0.7479337420424554,0.1068921644770869,0.086672970678843
mpcr,low_to_high,mpcr/low_to_high,config_treatment,ridge,config_only,-0.4180569503491134,-0.2700450049198575,0.0897236164001848,0.077461822622793
mpcr,low_to_high,mpcr/low_to_high,config_treatment,ridge,synthetic,-0.5099179570208032,-0.352317873186232,0.0925841425026878,0.0844230051441076
mpcr,low_to_high,mpcr/low_to_high,config_treatment,ridge,oracle,0.0942751996134876,0.1888116635373998,0.071706423767269,0.0626985849469046
num_rounds,high_to_low,num_rounds/high_to_low,config_treatment,ridge,config_only,0.3670725060731874,0.622614137328235,0.0563115798802108,0.0485801269748778
