factor,direction,split,eval_granularity,model,method,r2,r2_oos_train_mean,rmse,mae,r2_ceiling,r2_oos_train_mean_ceiling,rmse_ceiling,r2_gap_to_ceiling,r2_oos_gap_to_ceiling,rmse_gap_to_ceiling
all_or_nothing,false_to_true,all_or_nothing/false_to_true,config_treatment,ridge,config_only,-0.5360052253140479,-0.5293326447216713,0.1053817760954698,0.086669848359183,1.0,1.0,0.0,1.536005225314048,1.5293326447216713,0.1053817760954698
all_or_nothing,false_to_true,all_or_nothing/false_to_true,config_treatment,ridge,synthetic,-0.4453648566948696,-0.4390860281253159,0.1022251867771451,0.0831793196057559,1.0,1.0,0.0,1.4453648566948696,1.439086028125316,0.1022251867771451
all_or_nothing,false_to_true,all_or_nothing/false_to_true,config_treatment,ridge,oracle,-0.162203242788868,-0.157154500327302,0.0916664069722911,0.0763761665817612,1.0,1.0,0.0,1.162203242788868,1.157154500327302,0.0916664069722911
all_or_nothing,true_to_false,all_or_nothing/true_to_false,config_treatment,ridge,config_only,-0.2975579698439912,-0.2291612267741929,0.0868801731159312,0.0636441617368604,1.0,1.0,0.0,1.2975579698439912,1.229161226774193,0.0868801731159312
all_or_nothing,true_to_false,all_or_nothing/true_to_false,config_treatment,ridge,synthetic,-0.2138345367371044,-0.1498510147150114,0.0840305174544839,0.0629149056257921,1.0,1.0,0.0,1.2138345367371044,1.1498510147150114,0.0840305174544839
all_or_nothing,true_to_false,all_or_nothing/true_to_false,config_treatment,ridge,oracle,0.1113849564669131,0.1582255418072333,0.071897555289596,0.0540858571262613,1.0,1.0,0.0,0.8886150435330868,0.8417744581927666,0.071897555289596
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,config_treatment,ridge,config_only,-1.1197666748304362,-1.0967163014963273,0.111726694331489,0.0873774754446747,1.0,1.0,0.0,2.1197666748304362,2.0967163014963273,0.111726694331489
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,config_treatment,ridge,synthetic,-1.137407934558214,-1.1141657299118966,0.1121906406320514,0.0871261844409928,1.0,1.0,0.0,2.137407934558214,2.1141657299118966,0.1121906406320514
default_contrib_prop,false_to_true,default_contrib_prop/false_to_true,config_treatment,ridge,oracle,-0.3754186345388572,-0.3604623125090533,0.0899974846169401,0.0724215654792008,1.0,1.0,0.0,1.3754186345388573,1.3604623125090534,0.0899974846169401
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,config_treatment,ridge,config_only,-0.1195303750626024,-0.0811793630194419,0.0879189698782291,0.0719273039674455,1.0,1.0,0.0,1.1195303750626024,1.081179363019442,0.0879189698782291
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,config_treatment,ridge,synthetic,0.0011434039879828,0.0353605741481984,0.0830455223640013,0.0636787725207849,1.0,1.0,0.0,0.9988565960120172,0.9646394258518016,0.0830455223640013
default_contrib_prop,true_to_false,default_contrib_prop/true_to_false,config_treatment,ridge,oracle,0.3326285601046397,0.355490262385167,0.0678810355207606,0.055880262048732,1.0,1.0,0.0,0.6673714398953603,0.644509737614833,0.0678810355207606
mpcr,high_to_low,mpcr/high_to_low,config_treatment,ridge,config_only,-0.8796802263391228,-0.8791021392158378,0.1108303186073387,0.0913079451622383,1.0,1.0,0.0,1.8796802263391228,1.8791021392158378,0.1108303186073387
mpcr,high_to_low,mpcr/high_to_low,config_treatment,ridge,synthetic,-0.4893794778339122,-0.4889214259345751,0.0986550402308127,0.0776699112021764,1.0,1.0,0.0,1.4893794778339122,1.488921425934575,0.0986550402308127
