model,folds_ok,fit_eval_seconds_mean,pred_true_cosine_mean_mean,pred_true_cosine_mean_std,retrieved_true_cosine_mean_mean,retrieved_true_cosine_mean_std,oracle_true_cosine_mean_mean,oracle_true_cosine_mean_std,retrieval_cosine_regret_mean_mean,retrieval_cosine_regret_mean_std,oracle_hit_at_1_mean,oracle_hit_at_1_std,oracle_hit_at_5_mean,oracle_hit_at_5_std,embedding_mse_mean_mean,embedding_mse_mean_std
elastic_net,5,30.137819999999998,0.8686406016349792,0.0045800418494287756,0.8214521765708923,0.006804768552782146,0.9053267717361451,0.0023255952357462274,0.08387460410594941,0.0053790066961508605,0.008022854630519037,0.0041440845674410726,0.033700020549287224,0.00938441904385819,0.00015988683444447815,5.021010286207545e-06
linear,5,2.56936,0.8682686805725097,0.004539812112254136,0.8212378263473511,0.006858766566690661,0.9053267717361451,0.0023255952357462274,0.08408897370100021,0.005373026533421501,0.00802571432667632,0.004787847112749236,0.034770972937066616,0.010035187515425925,0.00016033647989388555,4.971892296033259e-06
mean,5,0.26672,0.8628094553947449,0.007574670424706261,0.8155412197113037,0.009530604644675386,0.9053267717361451,0.0023255952357462274,0.08978553116321564,0.008500444253697165,0.005349057839075186,0.0023931847044615564,0.01711668458755669,0.0082328799993441,0.000166401598835364,8.529785373568579e-06
mlp,5,853.20252,0.8548225641250611,0.007647732173933619,0.8110828638076782,0.009638949993146606,0.9053267717361451,0.0023255952357462274,0.09424391984939576,0.007929833738995,0.004810005113427287,0.0019925239461390325,0.022458589363115462,0.005246714854724867,0.00017788648547139018,8.734052259173004e-06
ridge,5,0.40364000000000005,0.8688269853591919,0.004576682934048871,0.8215792655944825,0.006683568813747423,0.9053267717361451,0.0023255952357462274,0.08374749273061752,0.005430119527574689,0.008559047660009655,0.004283099374148196,0.03209144146081537,0.009121921360303114,0.0001596625370439142,5.016098080212672e-06
