metric,num_treatments,mae,rmse,spearman
final_round_normalized_efficiency,40,0.5034551852565403,0.572087920493773,0.05984990619136961
final_total_contribution_rate,40,0.43527438733632984,0.48747984151407425,0.3873147000075586
first_round_normalized_efficiency,40,0.11044460280960071,0.13853974580801456,0.47729831144465296
first_round_total_contribution_rate,40,0.1037941282188815,0.1255147860828902,0.6306111925882962
mean_round_normalized_efficiency,40,0.2836246319429806,0.34522056677732194,0.008818011257035649
mean_total_contribution_rate,40,0.23828817901958316,0.29145658019292436,0.302251407129456
