config_feature,config_value,n_games,n_player_game_rows,n_always_full,share_always_full,delta_vs_overall_full_share,n_always_zero,share_always_zero,delta_vs_overall_zero_share,full_to_zero_count_ratio
CONFIG_allOrNothing,False,183,1960,412,0.21020408163265306,-0.09368736742008629,23,0.01173469387755102,-0.014378977397410576,17.91304347826087
CONFIG_allOrNothing,True,183,1946,775,0.3982528263103803,0.09436137725764093,79,0.040596094552929084,0.014482423277967487,9.810126582278482
CONFIG_chat,False,184,1933,440,0.22762545266425246,-0.07626599638848688,60,0.031039834454216243,0.004926163179254647,7.333333333333333
CONFIG_chat,True,182,1973,747,0.3786112519006589,0.07471980284791957,42,0.021287379624936646,-0.0048262916500249504,17.785714285714285
CONFIG_defaultContribProp,0,193,2078,611,0.2940327237728585,-0.009858725279880853,46,0.02213666987487969,-0.003977001400081906,13.282608695652174
CONFIG_defaultContribProp,1,173,1828,576,0.3150984682713348,0.01120701921859546,56,0.030634573304157548,0.0045209020291959515,10.285714285714286
CONFIG_punishmentExists,False,183,1972,538,0.27281947261663286,-0.031071976436106485,62,0.03144016227180527,0.005326490996843677,8.67741935483871
CONFIG_punishmentExists,True,183,1934,649,0.3355739400206825,0.03168249096794318,40,0.020682523267838676,-0.0054311480071229205,16.225
CONFIG_rewardExists,False,184,1983,566,0.2854261220373172,-0.01846532701542214,56,0.028240040342914774,0.0021263690679531773,10.107142857142858
CONFIG_rewardExists,True,182,1923,621,0.32293291731669266,0.01904146826395331,46,0.02392095683827353,-0.002192714436688066,13.5
CONFIG_showNRounds,False,180,1914,626,0.3270637408568443,0.02317229180410496,46,0.024033437826541274,-0.0020802334484203225,13.608695652173912
CONFIG_showNRounds,True,186,1992,561,0.2816265060240964,-0.02226494302864296,56,0.028112449799196786,0.0019987785242351896,10.017857142857142
CONFIG_showOtherSummaries,False,188,1994,662,0.3319959879638917,0.028104538911152332,53,0.02657973921765296,0.00046606794269136304,12.49056603773585
CONFIG_showOtherSummaries,True,178,1912,525,0.274581589958159,-0.029309859094580337,49,0.025627615062761507,-0.00048605621220008943,10.714285714285714
CONFIG_showPunishmentId,False,183,1950,610,0.3128205128205128,0.00892906376777347,53,0.02717948717948718,0.0010658159045255841,11.50943396226415
CONFIG_showPunishmentId,True,183,1956,577,0.2949897750511247,-0.008901674001614623,49,0.025051124744376277,-0.0010625465305853198,11.775510204081632
CONFIG_showRewardId,False,183,1950,610,0.3128205128205128,0.00892906376777347,53,0.02717948717948718,0.0010658159045255841,11.50943396226415
CONFIG_showRewardId,True,183,1956,577,0.2949897750511247,-0.008901674001614623,49,0.025051124744376277,-0.0010625465305853198,11.775510204081632
