config_feature,n_values,n_player_game_rows,overall_full_share,overall_zero_share,max_full_share_gap,max_zero_share_gap,min_group_size,max_group_size
CONFIG_allOrNothing,2,3906,0.30389144905273935,0.026113671274961597,0.18804874467772723,0.02886140067537806,1946,1960
CONFIG_chat,2,3906,0.30389144905273935,0.026113671274961597,0.15098579923640645,0.009752454829279597,1933,1973
CONFIG_punishmentExists,2,3906,0.30389144905273935,0.026113671274961597,0.06275446740404966,0.010757639003966597,1934,1972
CONFIG_showOtherSummaries,2,3906,0.30389144905273935,0.026113671274961597,0.05741439800573267,0.0009521241548914525,1912,1994
CONFIG_showNRounds,2,3906,0.30389144905273935,0.026113671274961597,0.04543723483274792,0.004079011972655512,1914,1992
CONFIG_rewardExists,2,3906,0.30389144905273935,0.026113671274961597,0.03750679527937545,0.004319083504641243,1923,1983
CONFIG_defaultContribProp,2,3906,0.30389144905273935,0.026113671274961597,0.021065744498476313,0.008497903429277857,1828,2078
CONFIG_showRewardId,2,3906,0.30389144905273935,0.026113671274961597,0.017830737769388094,0.002128362435110904,1950,1956
CONFIG_showPunishmentId,2,3906,0.30389144905273935,0.026113671274961597,0.017830737769388094,0.002128362435110904,1950,1956
