feature,marginal_tv,n_eval_values,coef_abs_mean,tag
CONFIG_chat,0.20813713623420718,2,0.5466158964741089,REWARD
CONFIG_punishmentExists,0.20324728134392206,2,0.6112656314984518,REWARD
CONFIG_numRounds,0.0956779148267828,10,0.25413167337602727,REWARD
CONFIG_showOtherSummaries,0.09019987817282152,2,0.21640190298060732,REWARD
CONFIG_showNRounds,0.06954618320187848,2,0.18176141077201577,REWARD
CONFIG_rewardMagnitude,0.06201656817692505,6,0.15537173980719068,REWARD
CONFIG_allOrNothing,0.053853823878888624,2,0.12241278772070328,REWARD
CONFIG_MPCR,0.05095417500912223,10,0.13240392579557866,REWARD
CONFIG_punishmentMagnitude,0.04825184672159339,9,0.14690357640446422,REWARD
CONFIG_defaultContribProp,0.0473992166118656,2,0.11856138702055503,REWARD
CONFIG_playerCount,0.042745127124234165,10,0.14353000507569458,REWARD
CONFIG_showRewardId,0.03918915920953524,2,0.09880672958611773,REWARD
CONFIG_showPunishmentId,0.03918915920953524,2,0.09880672958611773,REWARD
