family_name,metric,run_name,mean_value,stderr,n_groups,bootstrap_mean,bootstrap_p05,bootstrap_p95
gpt-5-mini,mean_delegation,baseline_gpt_5_mini,0.376942798824073,0.014812678229085103,4.0,,,
gpt-5-mini,trust_proxy,baseline_gpt_5_mini,0.610468628758753,0.050818680116433805,16.0,,,
gpt-5-mini,mean_delegation,demographic_only_row_resampled_seed_0_gpt_5_mini,0.3740818934304674,0.040806672900580335,4.0,,,
gpt-5-mini,trust_proxy,demographic_only_row_resampled_seed_0_gpt_5_mini,0.6094387252775588,0.037128097689037805,16.0,,,
gpt-5-mini,mean_delegation,twin_sampled_seed_0_gpt_5_mini,0.3371770591543486,0.10826898311636927,4.0,,,
gpt-5-mini,trust_proxy,twin_sampled_seed_0_gpt_5_mini,0.4537490798390378,0.02539004350124881,16.0,,,
gpt-5-mini,mean_delegation,twin_sampled_unadjusted_seed_0_gpt_5_mini,0.37037804317614353,0.08476124461728075,4.0,,,
gpt-5-mini,trust_proxy,twin_sampled_unadjusted_seed_0_gpt_5_mini,0.4114748295289711,0.036209439606535075,16.0,,,
gpt-5-mini,mean_delegation,human_ceiling,,,,0.019183367915604006,0.009678440472833743,0.03147143314814238
gpt-5-mini,trust_proxy,human_ceiling,,,,0.14425073696270171,0.12360676954735657,0.16902905895036666
gpt-5.1,mean_delegation,baseline_gpt_5_1,1.1140784347363848,0.23796931974781171,4.0,,,
gpt-5.1,trust_proxy,baseline_gpt_5_1,0.6060247141091488,0.06757399190627293,16.0,,,
gpt-5.1,mean_delegation,demographic_only_row_resampled_seed_0_gpt_5_1,1.072575321457455,0.17884487825157883,4.0,,,
gpt-5.1,trust_proxy,demographic_only_row_resampled_seed_0_gpt_5_1,0.6130407572263286,0.06554810149528437,16.0,,,
gpt-5.1,mean_delegation,twin_sampled_seed_0_gpt_5_1,0.9305546625627377,0.16996967051806205,4.0,,,
gpt-5.1,trust_proxy,twin_sampled_seed_0_gpt_5_1,0.5728732475725364,0.07639635905820952,16.0,,,
gpt-5.1,mean_delegation,twin_sampled_unadjusted_seed_0_gpt_5_1,0.9824171125519903,0.28684355623230084,4.0,,,
gpt-5.1,trust_proxy,twin_sampled_unadjusted_seed_0_gpt_5_1,0.5503800559515377,0.07636670767252887,16.0,,,
gpt-5.1,mean_delegation,human_ceiling,,,,0.018141422039995348,0.010140488241248826,0.028804207741024018
gpt-5.1,trust_proxy,human_ceiling,,,,0.14499880917270408,0.11993447884807572,0.17039040962621133
