metric_family,metric,distance_kind,bootstrap_mean,bootstrap_median,bootstrap_p05,bootstrap_p95,n_treatments,model_score,median_value
distribution_distance,final_surplus_ratio,wasserstein_1d,0.08523921457460518,0.08203463598548545,0.060351283087403895,0.11883633526110776,6,0.16317554977425133,0.17117848070224895
distribution_distance,proposer_net_surplus,wasserstein_1d,0.21183595465524813,0.2091798113990143,0.15291076526130876,0.27158259832625775,6,1.0658224759674033,1.0998526936026936
distribution_distance,trade_ratio,wasserstein_1d,0.06797582398285279,0.06684263085347675,0.053457674934879025,0.08475754889508054,6,0.21709180735315647,0.22149018979084345
distribution_distance,acceptance_rate,wasserstein_1d,0.043697497316156735,0.043710047333235746,0.019678518274532784,0.06865637046796466,6,0.4156815741960669,0.4174718196457327
distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.22412902300732113,0.22028407030216396,0.1731512853971294,0.28299505619807985,6,0.8545938263964471,0.886002097582588
distribution_distance,declined_proposer_net_surplus,wasserstein_1d,0.28520649703212203,0.2821796999549703,0.2109469805273191,0.36637260231523566,6,1.331583476009348,1.4544951923076923
distribution_distance,accepted_trade_ratio,wasserstein_1d,0.09858760927367494,0.09559180861113147,0.07557709193352218,0.13254972955156819,6,0.1688906733962261,0.18629363361506224
distribution_distance,declined_trade_ratio,wasserstein_1d,0.06552498699033417,0.0643728444449432,0.047640802191853855,0.08383979470596684,6,0.22521661506352378,0.22447894047799996
distribution_distance,final_total_surplus,wasserstein_1d,1.440452994620114,1.4357597716293369,1.047703804347826,1.9051747090469897,6,2.6393417874396135,3.0312499999999996
distribution_distance,mean_player_final_surplus,wasserstein_1d,0.4801509982067047,0.47858659054311237,0.3492346014492753,0.6350582363489965,6,0.8797805958132047,1.0104166666666665
