method,r2,r2_oos_train_mean,rmse,source
config_only,0.1837344945402851,0.1999584182908097,0.072854211080572,model_baseline
synthetic,0.2741887564915095,0.2886148301074998,0.0686990582181685,best_k=8
oracle,0.206863713536658,0.2226279257314493,0.0718146168018439,best_k=6
noise_ceiling,0.47939594870097746,0.48974336676041486,0.05818254437068026,sampling_floor
