method,metric,point,bootstrap_mean,ci_low,ci_high,n_boot,n_groups
config_only,r2,0.183734494540285,0.14295561852429955,-0.3542374131809217,0.4921938741051503,5000,40
config_only,r2_oos_train_mean,0.19995841829080985,0.18344713208979607,-0.257695614779754,0.5136829082555695,5000,40
config_only,rmse,0.07285421108057208,0.0722939496565531,0.05547603454465219,0.08898410962965773,5000,40
synthetic,r2,0.27418875649150953,0.2364234509793938,-0.2652832806632986,0.571215511795458,5000,40
synthetic,r2_oos_train_mean,0.28861483010749966,0.2728355511434713,-0.17794555370922457,0.5904902519162627,5000,40
synthetic,rmse,0.06869905821816852,0.06806373436140017,0.051216287900028884,0.08497069016996031,5000,40
oracle,r2,0.2068637135366579,0.16239058948963014,-0.4656140495754931,0.5450623733000378,5000,40
oracle,r2_oos_train_mean,0.2226279257314493,0.2021323976691031,-0.35583311749219154,0.5706023242609954,5000,40
oracle,rmse,0.0718146168018439,0.07106939346879726,0.05439864878392689,0.09049574575838339,5000,40
noise_ceiling,r2,0.47939594870097746,0.44549305675691486,-0.009383106306066029,0.7318152349212247,5000,40
noise_ceiling,r2_oos_train_mean,0.48974336676041486,0.4731186761545303,0.06684052599300834,0.7393948770499272,5000,40
noise_ceiling,rmse,0.05818254437068026,0.05761547392319757,0.04288881833145333,0.07491871603776211,5000,40
