metric,n_treatments,mean_abs_error,median_abs_error
act_rate,10,0.22400000000000003,0.13000000000000003
check_rate,8,0.2375,0.22999999999999998
fast_rate,2,0.22,0.22
mean_action_premium,5,1.3,1.56
mean_action_premium_after_check,4,0.645,0.6300000000000001
mean_action_premium_fast,1,0.7399999999999999,0.7399999999999999
mean_action_premium_slow,1,1.64,1.64
mean_action_premium_without_check,4,0.8949999999999999,0.7999999999999998
mean_fast_premium_if_act,1,2.32,2.32
mean_fast_premium_if_no_act,1,1.42,1.42
mean_process_premium_if_act,4,0.5650000000000001,0.27
mean_process_premium_if_no_act,4,0.935,1.03
mean_return_pct,10,6.872,6.449999999999999
mean_send_if_act,5,1.7400000000000002,1.7200000000000006
mean_send_if_act_after_check,4,0.8800000000000001,1.0299999999999998
mean_send_if_act_fast,1,0.7200000000000006,0.7200000000000006
mean_send_if_act_slow,1,3.04,3.04
mean_send_if_act_without_check,4,0.44500000000000006,0.28000000000000025
mean_send_if_no_act,5,0.7120000000000004,0.20000000000000018
mean_send_if_no_act_after_check,4,1.0750000000000002,1.1199999999999997
mean_send_if_no_act_fast,1,0.020000000000000462,0.020000000000000462
mean_send_if_no_act_slow,1,1.4000000000000004,1.4000000000000004
mean_send_if_no_act_without_check,4,0.61,0.6399999999999999
pattern_checked_act,8,0.3375,0.35
pattern_checked_no_act,8,0.12499999999999999,0.09
pattern_fast_act,2,0.03,0.03
pattern_fast_no_act,2,0.19,0.19
pattern_slow_act,2,0.11000000000000001,0.11000000000000001
pattern_slow_no_act,2,0.18999999999999997,0.18999999999999997
pattern_unchecked_act,8,0.0875,0.06
pattern_unchecked_no_act,8,0.15,0.12000000000000001
