metric,num_treatments,mean_abs_diff_from_human_mean,mean_abs_z_score,median_abs_z_score,mean_percentile_within_humans,median_percentile_within_humans,within_human_range_rate,within_human_iqr_rate
final_round_normalized_efficiency,40,0.4020607760617624,1.3317250660369222,0.7871652822256088,0.30049642769154966,0.2,0.7268292682926829,0.3829268292682927
final_total_contribution_rate,40,0.35533679067186624,2.476619238814703,1.5175848464027748,0.28098084503572307,0.09090909090909091,0.5560975609756098,0.29024390243902437
first_round_normalized_efficiency,40,0.17975865715919767,1.2068938978047954,1.026248686387337,0.6593532889874354,0.75,0.7902439024390244,0.3463414634146341
first_round_total_contribution_rate,40,0.1624106821095749,1.2554384474456028,1.0036479829307345,0.6253187361419068,0.7272727272727273,0.7926829268292683,0.3951219512195122
mean_round_normalized_efficiency,40,0.2114311113516739,1.1759249757016366,0.8312701706172845,0.40256775067750683,0.4,0.8,0.37317073170731707
mean_total_contribution_rate,40,0.19296941447174704,1.6524919691351643,1.1499334106054597,0.4124439517122444,0.3333333333333333,0.6926829268292682,0.2926829268292683
mean_within_round_contribution_rate_var,40,0.05752521889814316,1.5835610143075678,1.2930137788940959,0.17306048287755604,0.08333333333333333,0.573170731707317,0.24634146341463414
messages_per_round,26,2.1987814754506103,1.6744581538068322,0.9517320507926436,0.691162541162541,0.7777777777777778,0.7655677655677655,0.3553113553113553
punish_actor_round_rate,20,0.1300124632219,1.295731283556894,1.0430480326075078,0.18455492424242423,0.15,0.69,0.255
reward_actor_round_rate,22,0.17153906565047164,1.2904836380545188,1.1137864917550404,0.11771941638608306,0.05,0.6488888888888888,0.1288888888888889
round_normalized_efficiency_decay_slope,40,0.4320704749566253,1.498304819894695,0.9560253250376243,0.25302044838630205,0.1111111111111111,0.6219512195121951,0.275609756097561
round_normalized_efficiency_rmse_to_treatment_mean,40,0.1604267675220386,1.3494953973011476,0.6917035084076164,0.5317067011579206,0.5227272727272727,0.7560975609756098,0.4170731707317073
rounds_with_chat_rate,26,0.4637364233225567,1.8062513026679272,1.507556722888818,0.9202334702334702,0.9583333333333334,0.6336996336996337,0.1978021978021978
total_contribution_rate_decay_slope,40,0.35554099820554397,2.3359990453850563,1.746331648464805,0.23560174919931018,0.09090909090909091,0.4926829268292683,0.2097560975609756
total_contribution_rate_rmse_to_treatment_mean,40,0.12239278735577093,2.0849101806646937,1.0435574323539387,0.6820189701897019,0.7777777777777778,0.675609756097561,0.3048780487804878
total_contribution_rate_sd,40,0.07361965481221663,1.792307101906021,1.1723007441273279,0.5136511456023651,0.4583333333333333,0.5634146341463414,0.2658536585365854
