run_base,metric,n_orig_turns,n_calc_ui_turns,human_mean,orig_mean,calc_ui_mean,orig_std,calc_ui_std,w1_orig_vs_human,w1_calc_ui_vs_human,w1_improvement
BL · pgg_aligned_v3,trade_ratio,432,414,0.9408550618620063,1.3697916666666667,1.3679549114331722,0.525921328369804,0.49579791316540817,0.42893660480466034,0.427099849571166,0.0018367552334943582
BL · pgg_aligned_v3,proposer_net_surplus,432,414,1.5162037037037037,0.2962962962962963,0.31014492753623185,0.4837021439484806,0.5259851380689755,1.263425925925926,1.2478462157809984,0.015579710144927539
Twin · pgg_aligned_v3,trade_ratio,396,360,0.9408550618620063,1.3103956228956228,1.3894907407407406,0.48762386327446383,0.5705354480180266,0.36954056103361654,0.4486356788787344,-0.07909511784511786
Twin · pgg_aligned_v3,proposer_net_surplus,396,360,1.5162037037037037,0.2777777777777778,0.27249999999999996,0.5400721155653413,0.6127754482679606,1.2698232323232326,1.264351851851852,0.005471380471380627
Twin · bargain_card_v1,trade_ratio,423,405,0.9408550618620063,1.2687155240346728,1.3290123456790124,0.49054737467041987,0.5527073767302447,0.3278604621726667,0.38815728381700604,-0.06029682164433936
Twin · bargain_card_v1,proposer_net_surplus,423,405,1.5162037037037037,0.26808510638297867,0.2992592592592592,0.5650564291914704,0.5348814978434511,1.2675827423167851,1.2571296296296297,0.01045311268715543
Twin · descriptive_card_v1,trade_ratio,405,387,0.9408550618620063,1.276337448559671,1.3087855297157622,0.46376866334080774,0.4753170097665182,0.3354823866976644,0.36793046785375594,-0.032448081156091546
Twin · descriptive_card_v1,proposer_net_surplus,405,387,1.5162037037037037,0.2908641975308642,0.33953488372093027,0.548299723231702,0.6445660685622401,1.2461111111111112,1.198115848406546,0.04799526270456522
Twin · no_econ_games_v1,trade_ratio,405,414,0.9408550618620063,1.3656378600823043,1.380636070853462,0.49931603204388675,0.4881789400818856,0.4247827982202982,0.43978100899145584,-0.01499821077115765
Twin · no_econ_games_v1,proposer_net_surplus,405,414,1.5162037037037037,0.3108641975308642,0.27439613526570045,0.49494281383317085,0.6037495542327725,1.2482407407407408,1.259279388083736,-0.011038647342995311
Twin · ultimatum_only_v1,trade_ratio,423,378,0.9408550618620063,1.3335303388494877,1.2685185185185186,0.4717352104853174,0.4786623819321247,0.3926752769874815,0.32766345665651214,0.06501182033096936
Twin · ultimatum_only_v1,proposer_net_surplus,423,378,1.5162037037037037,0.28652482269503543,0.353968253968254,0.5360154003674849,0.5854023344436573,1.2682230102442869,1.19510582010582,0.07311719013846685
