metric,run_name,mean_value,stderr,n_groups
player_final_surplus,baseline_gpt_5_1_pgg_aligned_v3,1.52960401112575,0.3177007266058006,6
player_proposer_mean_trade_ratio,baseline_gpt_5_1_pgg_aligned_v3,0.41184363027526927,0.024995615624511636,6
player_proposer_acceptance_rate,baseline_gpt_5_1_pgg_aligned_v3,0.10516090860293759,0.02646859398089979,6
round_end_surplus_ratio,baseline_gpt_5_1_pgg_aligned_v3,0.24562901427491682,0.022023397035017534,6
round_mean_trade_ratio,baseline_gpt_5_1_pgg_aligned_v3,0.41014409524240086,0.02664901255190881,6
round_acceptance_rate,baseline_gpt_5_1_pgg_aligned_v3,0.12488105694627434,0.017179201871759083,6
player_final_surplus,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,1.5585274120743227,0.2995659421264092,6
player_proposer_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.3575195656640511,0.01928055469060022,6
player_proposer_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.10943091149040805,0.011613937799068197,6
round_end_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.26164407941490464,0.02013779846662492,6
round_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.3593310001143744,0.019401410663041824,6
round_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.14432247908601836,0.009323827509320443,6
player_final_surplus,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,1.4614395769287072,0.3321847266338877,6
player_proposer_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.3465607912454496,0.017788293880564448,6
player_proposer_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.12811386815010004,0.011261247604706419,6
round_end_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.23076454940616664,0.026110911680947587,6
round_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.34577582518270567,0.01962951199950402,6
round_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.14803530473820328,0.005928532605018031,6
player_final_surplus,twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,1.6701887926887924,0.3149959263616289,6
player_proposer_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,0.38003332716363775,0.019059187190131402,6
player_proposer_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,0.12906244989578322,0.02400202248646334,6
round_end_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,0.26601127957856385,0.015390327885063285,6
round_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,0.38412283333647707,0.019623839493676208,6
round_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,0.15933742183742183,0.014736652236652237,6
player_final_surplus,twin_sampled_unadjusted_seed_0_gpt_5_1_no_econ_games_v1,1.5449032247945291,0.3186220835774774,6
player_proposer_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_no_econ_games_v1,0.3889945607323591,0.01995768994486457,6
player_proposer_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_no_econ_games_v1,0.08209379857930584,0.012972348573940027,6
round_end_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_no_econ_games_v1,0.2384299830345417,0.0176186601192939,6
round_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_no_econ_games_v1,0.3867132939583387,0.020689412334363243,6
round_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_no_econ_games_v1,0.11283774598991991,0.009060812737421884,6
player_final_surplus,twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,1.451179732103645,0.32126447111685,6
player_proposer_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,0.37593058331149765,0.023827817542703814,6
player_proposer_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,0.16780303030303031,0.01704282170574294,6
round_end_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,0.23926211103013265,0.013970792812790168,6
round_mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,0.37922276438145647,0.023023233623166932,6
round_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,0.1766731322890743,0.01541112518461394,6
