metric,run_name,mean_value,stderr,n_groups
final_surplus_ratio,baseline_gpt_5_1_pgg_aligned_v3,0.2691325342060255,0.03796815372322638,6
mean_trade_ratio,baseline_gpt_5_1_pgg_aligned_v3,0.40911528865803876,0.02726841296994781,6
mean_acceptance_rate,baseline_gpt_5_1_pgg_aligned_v3,0.11582308593178157,0.020942385038073528,6
final_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.28969934182042273,0.03378381137365926,6
mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.3567847038180781,0.0192798971765387,6
mean_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,0.12155007816716436,0.010741805775898932,6
final_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.2540029191768393,0.04556029853931967,6
mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.34243220378352873,0.02004857926782399,6
mean_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_bargain_card_v1,0.14340567510857363,0.00401567513152654,6
final_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,0.3055129317479994,0.03344657549068419,6
mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,0.38003332716363764,0.01905918719013142,6
mean_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,0.14749278499278498,0.017282775707833507,6
final_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_no_econ_games_v1,0.27462599730981335,0.03491044606477622,6
mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_no_econ_games_v1,0.3856844873739765,0.02103731152232467,6
mean_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_no_econ_games_v1,0.09979147932046482,0.007927857968346124,6
final_surplus_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,0.26872227676257127,0.029054089419538645,6
mean_trade_ratio,twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,0.3751332582086169,0.024368895596824307,6
mean_acceptance_rate,twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,0.17339884350753917,0.014242120960755946,6
