treatment_name,metric_family,metric,distance_kind,score,run_name,run_label,cell_label
CHIP2__GAME_1,distribution_distance,final_surplus_ratio,wasserstein_1d,0.1657245589229788,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip2 / Game 1
CHIP2__GAME_1,distribution_distance,trade_ratio,wasserstein_1d,0.245358158695577,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip2 / Game 1
CHIP2__GAME_1,distribution_distance,acceptance_rate,wasserstein_1d,0.3657407407407407,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip2 / Game 1
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,final_surplus_ratio,wasserstein_1d,0.1802390714219183,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip2 / Alt
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,trade_ratio,wasserstein_1d,0.2531006159478382,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip2 / Alt
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,acceptance_rate,wasserstein_1d,0.3564814814814815,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip2 / Alt
CHIP3__GAME_1,distribution_distance,final_surplus_ratio,wasserstein_1d,0.2123851690693594,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip3 / Game 1
CHIP3__GAME_1,distribution_distance,trade_ratio,wasserstein_1d,0.2045267489711934,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip3 / Game 1
CHIP3__GAME_1,distribution_distance,acceptance_rate,wasserstein_1d,0.3796296296296296,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip3 / Game 1
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,final_surplus_ratio,wasserstein_1d,0.1781375503092146,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip3 / Alt
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,trade_ratio,wasserstein_1d,0.2225079832718721,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip3 / Alt
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,acceptance_rate,wasserstein_1d,0.3888888888888888,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip3 / Alt
CHIP4__GAME_1,distribution_distance,final_surplus_ratio,wasserstein_1d,0.2196405869512137,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip4 / Game 1
CHIP4__GAME_1,distribution_distance,trade_ratio,wasserstein_1d,0.1937683715461493,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip4 / Game 1
CHIP4__GAME_1,distribution_distance,acceptance_rate,wasserstein_1d,0.375,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip4 / Game 1
CHIP4__GAME_2_ALT_PROFILE,distribution_distance,final_surplus_ratio,wasserstein_1d,0.261326493647373,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip4 / Alt
CHIP4__GAME_2_ALT_PROFILE,distribution_distance,trade_ratio,wasserstein_1d,0.19836860670194,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip4 / Alt
CHIP4__GAME_2_ALT_PROFILE,distribution_distance,acceptance_rate,wasserstein_1d,0.4212962962962963,baseline_gpt_5_mini_pgg_aligned_v3,Baseline,Chip4 / Alt
CHIP2__GAME_1,distribution_distance,final_surplus_ratio,wasserstein_1d,0.1705415039004711,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,Twin Unadjusted,Chip2 / Game 1
CHIP2__GAME_1,distribution_distance,trade_ratio,wasserstein_1d,0.1650340846215029,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,Twin Unadjusted,Chip2 / Game 1
CHIP2__GAME_1,distribution_distance,acceptance_rate,wasserstein_1d,0.3703703703703703,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,Twin Unadjusted,Chip2 / Game 1
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,final_surplus_ratio,wasserstein_1d,0.0850667516654934,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,Twin Unadjusted,Chip2 / Alt
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,trade_ratio,wasserstein_1d,0.1774833319972208,twin_sampled_unadjusted_seed_0_gpt_5_mini_pgg_aligned_v3,Twin Unadjusted,Chip2 / Alt
