run_name,run_label,feature_family,feature_name,metric,n_games,feature_mean,feature_std,outcome_within_treatment_corr,signed_gap_within_treatment_corr,abs_gap_within_treatment_corr
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,trust_return_share_mean,final_surplus_ratio,131,39.860050890585235,11.579967538923347,0.02660713584651772,0.026607135846517773,-0.014592325452896623
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,trust_send_amount,final_surplus_ratio,131,47.12468193384224,20.576159795451872,0.016385050855715202,0.01638505085571515,0.005914187056949705
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,ultimatum_min_acceptable_to_self,final_surplus_ratio,131,22.709923664122137,12.188575072658008,0.02230439680973786,0.022304396809737805,-0.028817195990180233
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,ultimatum_offer_to_other,final_surplus_ratio,131,47.68447837150128,13.138923252472306,0.017723731857524353,0.01772373185752433,-0.05775347010724319
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,ultimatum_rejection_rate,final_surplus_ratio,131,20.407124681933844,10.352941699820889,0.05264899585598178,0.052648995855981776,-0.07751631923680016
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,dictator_offer_to_other,mean_acceptance_rate,131,38.37150127226464,11.520078437928445,0.12921154715007035,0.12921154715007035,0.15238857373406195
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,trust_return_share_mean,mean_acceptance_rate,131,39.860050890585235,11.579967538923347,0.1565260674194789,0.15652606741947886,0.11630044706401581
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,trust_send_amount,mean_acceptance_rate,131,47.12468193384224,20.576159795451872,0.3279710187546718,0.32797101875467166,0.22204770801480367
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,ultimatum_min_acceptable_to_self,mean_acceptance_rate,131,22.709923664122137,12.188575072658008,-0.17447118514649998,-0.17447118514649992,-0.1582508097764817
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,ultimatum_offer_to_other,mean_acceptance_rate,131,47.68447837150128,13.138923252472306,0.08743573867177891,0.0874357386717789,0.09329322899390594
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,ultimatum_rejection_rate,mean_acceptance_rate,131,20.407124681933844,10.352941699820889,-0.20221160579451952,-0.20221160579451947,-0.1863980047887851
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,dictator_offer_to_other,mean_trade_ratio,131,38.37150127226464,11.520078437928445,0.032176856028619825,0.03217685602861981,0.0371210027027878
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,trust_return_share_mean,mean_trade_ratio,131,39.860050890585235,11.579967538923347,0.2738817712406112,0.2738817712406113,0.2640822337713154
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,trust_send_amount,mean_trade_ratio,131,47.12468193384224,20.576159795451872,0.10041566766299888,0.10041566766299888,0.08983995949889267
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,ultimatum_min_acceptable_to_self,mean_trade_ratio,131,22.709923664122137,12.188575072658008,0.09714746591496395,0.09714746591496394,0.09445598371876504
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,ultimatum_offer_to_other,mean_trade_ratio,131,47.68447837150128,13.138923252472306,0.0522157287275756,0.05221572872757562,0.049688660142535465
twin_sampled_unadjusted_seed_0_gpt_5_1_descriptive_card_v1,Twin Descriptive,explicit_card_cues,ultimatum_rejection_rate,mean_trade_ratio,131,20.407124681933844,10.352941699820889,0.10070027908927054,0.1007002790892705,0.09562154242236381
twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,Twin Ultimatum Only,explicit_card_cues,ultimatum_min_acceptable_to_self,final_surplus_ratio,133,22.305764411027567,11.630032317453812,-0.06758936179591699,-0.06758936179591696,0.10932439249500782
twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,Twin Ultimatum Only,explicit_card_cues,ultimatum_offer_to_other,final_surplus_ratio,133,47.36842105263158,13.059386703589754,-0.011846642795228426,-0.011846642795228448,0.0012788150422258875
twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,Twin Ultimatum Only,explicit_card_cues,ultimatum_rejection_rate,final_surplus_ratio,133,20.35087719298246,10.193937244653583,-0.023221639631954016,-0.023221639631954057,0.07433778670085793
twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,Twin Ultimatum Only,explicit_card_cues,ultimatum_min_acceptable_to_self,mean_acceptance_rate,133,22.305764411027567,11.630032317453812,-0.32661209073352,-0.32661209073352,-0.26914282421242613
twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,Twin Ultimatum Only,explicit_card_cues,ultimatum_offer_to_other,mean_acceptance_rate,133,47.36842105263158,13.059386703589754,0.027678292236204015,0.027678292236204056,0.0292870666022236
twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,Twin Ultimatum Only,explicit_card_cues,ultimatum_rejection_rate,mean_acceptance_rate,133,20.35087719298246,10.193937244653583,-0.3114698279376331,-0.3114698279376332,-0.25011380232487807
twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,Twin Ultimatum Only,explicit_card_cues,ultimatum_min_acceptable_to_self,mean_trade_ratio,133,22.305764411027567,11.630032317453812,0.08458806240625578,0.0845880624062558,0.0771583310256431
twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,Twin Ultimatum Only,explicit_card_cues,ultimatum_offer_to_other,mean_trade_ratio,133,47.36842105263158,13.059386703589754,-0.12332761530427108,-0.1233276153042711,-0.12859615677254038
twin_sampled_unadjusted_seed_0_gpt_5_1_ultimatum_only_v1,Twin Ultimatum Only,explicit_card_cues,ultimatum_rejection_rate,mean_trade_ratio,133,20.35087719298246,10.193937244653583,0.06953570962833694,0.06953570962833694,0.06052771108980753
twin_sampled_unadjusted_seed_0_gpt_5_1_pgg_aligned_v3,Twin Unadjusted (PGG Card),explicit_card_cues,behavioral_stability,final_surplus_ratio,131,67.0559796437659,9.453272636577388,0.17682109675267046,0.1768210967526705,-0.23691372899345026
